head,tail,sentence
中信证券,中金公司,【投行要涨薪？应届生月薪3.8万？！头部券商投行人才战开打，保代增员迅猛！监管对奖金发放将这样约束】近期，一张显示头部券商投行涨薪数据的图片在社交媒体上疯传，中信证券、中金公司的高底薪水平刺激大家的眼球，应届生底薪将涨到3.8万！对此，有内部员工表示应该是真的
中信证券,中金公司,业内人士分析，中信证券或向中金公司薪资待遇看齐
华灿光电,三安光电,8月7日，上证报记者从知情人士处获悉，华灿光电已经起诉三安光电侵犯其专利，法院已正式立案
三安光电,华灿光电,从市值、营收等角度讲，三安光电是绝对的行业龙头老大，其最新的市值已经高达1800多亿，而华灿光电才150多亿
丰元股份,比亚迪,【丰元股份：子公司丰元锂能已开始向比亚迪批量供货】丰元股份8月8日在深交所“互动易”平台回答投资者提问时称：公司子公司丰元锂能在上半年通过比亚迪合格供应商审核，自2021年7月起，已根据接收到的比亚迪对磷酸铁锂的定期定量采购需求，正式开始批量供货
三一重工,贵州茅台,本周北向资金对729只股票的持股数增加，对832只股票进行了减仓，其中对三一重工加仓金额最大，对贵州茅台减仓金额最大
格力电器,美的集团,格力电器回购金额超68.93亿元，美的集团7月进行了27.56亿元回购
温氏股份,正虹科技,【两猪企披露7月数据，温氏股份肉猪销量上升】8月6日晚间，生猪养殖企业温氏股份(300498)与正虹科技(000702)分别披露销售简报
数码科技,星星科技,【锤子科技又被破产，抖音带货一哥罗永浩：已和债权方和解，有百亿生意要做】8月5日，北京锤子数码科技有限公司(下称“北京锤子”)新增一条破产重整信息，申请人为A股上市公司星星科技(300256.SZ)全资子公司星星精密科技(深圳)有限公司
长虹华意,四川长虹,【长虹华意：2021上半年全球市场占有率首破30%】8月6日，e公司记者从四川长虹(600839)获悉，旗下长虹华意(000404)在上半年全球冰箱压缩机市场占有率首次突破30%，其中欧洲市场占有率接近40%
中国电信,中国联通,中国电信和中国联通2.1GHz基站联合招标24万站，超出市场预期，考虑到后续的3.5GHz基站，预计电联今年的新建基站数量将超过预期的32万站
全柴动力,美锦能源,【氢燃料电池概念异动，全柴动力涨停】8月6日，氢燃料电池概念异动拉升，截至发稿，全柴动力、美锦能源双双涨停
