复星医药	昊海生科	港股医美概念股拉升，瑞丽医美涨12.66%，时代天使涨6.7%，复星医药涨3.11%，康哲药业涨1.39%，昊海生科涨0.73%
比亚迪	多氟多	【抱紧比亚迪“大腿”！“涨价王”公司再签大单，今年净利已增超53倍】11月15日晚，多氟多(002407.SZ)发布“关于签署战略合作协议的公告”称，公司近日与深圳市比亚迪供应链管理有限公司(下称比亚迪供应链公司)签订了《战略合作协议》，比亚迪供应链公司拟在合作协议有效期内向公司采购总数量不低于56050吨的六氟磷酸锂产品
盾安环境	格力电器	【盾安环境：公司控股股东拟变更为格力电器，明日复牌】盾安环境公告，格力电器拟受让盾安精工所持公司2.7亿股份(占截至本公告披露日公司总股本的29.48%)，转让价款约21.9亿元；同时，格力电器拟以现金方式认购公司向特定对象非公开发行的1.39亿股票，认购价款约8.1亿元
中国石化	中国石油	【中国工程院院士马永生升任中国石化集团董事长】中国石油化工集团有限公司今日召开中层以上管理人员大会
格力电器	盾安环境	【格力电器：拟受让盾安环境29.48%股份】格力电器(000651)11月16日晚间公告，公司拟受让浙江盾安精工集团有限公司所持浙江盾安人工环境股份有限公司2.7亿股股份（占本公告日标的公司总股本的29.48%），转让价款约21.9亿元；同时，公司拟以现金方式认购盾安环境向特定对象非公开发行的1.39亿股股票认购价款约8.1亿元
格力电器	盾安环境	此次非公开发行完成后，格力电器将持有盾安环境4.1亿股股份，占发行后公司总股本的38.78%
福立旺	比亚迪	【福立旺：与比亚迪的合作目前只在天窗和天线等业务】福立旺公布异动公告，与比亚迪的合作目前只在天窗、门锁和天线等业务
中利集团	上海电气	【中利集团：子公司签订七份光伏组件购销合同】中利集团(002309)11月16日晚间公告，近期，公司全资子公司苏州腾晖光伏技术有限公司分别与国网浙江综合能源服务有限公司、黄石金能光伏有限公司、湖州南浔电力规划设计院有限公司、宁波宁电新能源开发有限公司、上海电气输配电集团有限公司签署七份光伏组件购销合同，约定腾晖光伏销售总价约3亿元的光伏组件
绿盟科技	中国电信	【绿盟科技：入围中国电信2021年安全数据中心建设工程项目】记者获悉，11月，中国电信发布“2021年安全数据中心之态势感知模块(集团及31省)建设工程-省态势感知软件中标候选人公示”，绿盟科技成功入围
岭南股份	易事特	【岭南股份与易事特签署战略合作协议】11月15日，岭南股份与易事特正式签署战略合作协议
长江电力	云南能投	【长江电力：子公司拟出资15.3亿元与三峡集团云南能投成立合资公司】长江电力公告，全资子公司长电新能与公司控股股东中国三峡集团的全资子公司三峡集团云南能投按照51%和49%的比例共同出资30亿元(长电新能出资15.3亿元)，设立长电云南能源投资有限责任公司(“长电云能”)
