head,tail,sentence,time,head_code,tail_code,src,relation
长城汽车,比亚迪,港股新能源汽车股拉升走高，吉利汽车涨近5%，蔚来涨超4%，长城汽车、小鹏汽车涨超3%，东风集团股份、比亚迪股份等跟涨,2022-12-16 10:38:00,601633.SH,002594.SZ,10jqka,同涨
东方航空,中国国航,港股航空股走低，美兰空港跌超9%，中国东方航空股份、中国国航等跟跌,2022-12-16 09:45:00,600115.SH,601111.SH,10jqka,同跌
凯盛新材,新华制药,凯盛新材在互动平台表示，公司目前暂时未直接向新华制药供应氯化亚砜产品，公司有向酮基布洛芬厂家供应氯化亚砜，供货量占公司氯化亚砜整体销量的比例不大,2022-12-16 09:20:00,301069,000756.SZ,10jqka,供应
春秋航空,吉祥航空,11月，国有三大航司（国航、南航、东航）、春秋航空、吉祥航空等在运力投入、旅客周转量指标上均继续同比下降,2022-12-16 03:45:00,601021.SH,603885.SH,10jqka,同行
沃森生物,新华制药,沃森生物：新冠病毒变异株mRNA疫苗获得Ⅲ期临床试验伦理审查批件；新华制药：正在全力以赴组织市场急需的布洛芬片、维生素C片等药品生产；喜悦智行：悦扬投资拟减持公司不超4.19%股份,2022-12-16 19:16:00,300142.SZ,000756.SZ,10jqka,未知Unknown
天鹅股份,乾景园林,上交所消息，12月12日至12月16日，上交所对天鹅股份、乾景园林等严重异常波动股票和*ST泽达、*ST紫晶、*ST凯乐、ST曙光等风险警示股票进行重点监控，对35起加剧市场波动、误导投资者决策、影响交易秩序的异常交易行为及时采取了暂停投资者账户交...,2022-12-16 18:00:00,603029.SH,603778.SH,10jqka,同行
方大集团,精工钢构,方大集团：拟在江西省赣州市章贡区使用自筹资金投资建设方大（赣州）低碳智造总部基地，主要生产PVDF铝单板、纳米铝单板等新材料、智慧幕墙系统、BIPV光伏建筑一体化系统、铝合金构件、精工钢构件，计划总投资22亿元人民币,2022-12-16 17:16:00,000055.SZ,600496.SH,10jqka,未知Unknown
比亚迪,安井食品,北向资金尾盘流入超80亿元，比亚迪、盐湖股份、安井食品尾盘明...,2022-12-16 15:07:00,002594.SZ,603345.SH,10jqka,同行
天齐锂业,赣锋锂业,港股锂矿板块午后走低，天齐锂业跌超5%，赣锋锂业跌近3%,2022-12-16 13:12:00,002466.SZ,002460.SZ,10jqka,同跌
天地在线,海天瑞声,虚拟数字人板块异动拉升，天地在线涨超7%，凡拓数创、软通动力、海天瑞声等跟涨,2022-12-15 10:40:00,002995,688787,10jqka,同涨
君实生物,康希诺,港股抗疫概念股下挫，阿里健康跌超5%，平安好医生跌超4%，京东健康跌近4%，君实生物、康希诺生物跌超3%,2022-12-15 09:42:00,688180,688185,10jqka,同跌
广汽集团,比亚迪,港股新能源汽车股走低，理想汽车、蔚来、小鹏汽车跌超3%，广汽集团、比亚迪股份等跟跌,2022-12-15 09:40:00,601238.SH,002594.SZ,10jqka,同跌
宁德时代,歌尔股份,宁德时代、歌尔股份、隆基绿能分别净买入4.19亿元、2.35亿元、2.15亿元,2022-12-15 17:30:00,300750.SZ,002241.SZ,10jqka,同涨
比亚迪,长城汽车,港股汽车股走低，小鹏汽车跌超3%，蔚来汽车、理想汽车跌近3%，比亚迪股份、长城汽车跌近2%,2022-12-14 10:37:00,002594.SZ,601633.SH,10jqka,同跌
白云山,同仁堂,港股中医药板块异动下挫，白云山跌近6%，中国中药跌近3%，同仁堂国药等跟跌,2022-12-14 10:11:00,600332.SH,600085.SH,10jqka,同跌
中国联通,中国电信,港股中国铁塔盘中涨超10%，中国联通、中国电信分别与中国铁塔签署《商务定价协议》和《服务协议》事项，2023年度日常关联交易预计上限金额分别为480亿元和1000亿元,2022-12-14 10:04:00,600050.SH,601728,10jqka,同涨
昂立教育,凯文教育,教育板块异动拉升，昂立教育触及涨停，科德教育、豆神教育、学大教育、凯文教育等跟涨,2022-12-14 09:47:00,600661.SH,002659.SZ,10jqka,同涨
东诚药业,同仁堂,东诚药业拟收购新映像公司100%股权，加码核药产业；同仁堂拟收购京宜生物51%股权，补充药酒产能；长江健康拟收购江和药业58%股权，拓展新冠口服小分子药业务,2022-12-14 05:36:00,002675.SZ,600085.SH,10jqka,同行
电连技术,东方集团,据上证报，12月13日晚，电连技术、东方集团双双宣布，终止此前推进的并购事宜,2022-12-14 02:48:00,300679.SZ,600811.SH,10jqka,未知Unknown
中国电信,中国联通,据新华社，在此间深圳举行的2022碳达峰碳中和论坛暨深圳国际低碳城论坛上，深圳虚拟电厂管理中心13日与中国铁塔、中国电信、中国移动、中国联通、华为数字能源等单位签订虚拟电厂建设合作协议，将合力推动全市5G基站储能系统到2023年全部接入该...,2022-12-14 20:01:00,601728,600050.SH,10jqka,合作
广济药业,万润科技,广济药业：公司拟与深圳万润科技股份有限公司旗下全资子公司深圳万润新能源有限公司就5.99MW分布式光伏发电项目签订投资合作协议,2022-12-14 18:52:00,000952.SZ,002654.SZ,10jqka,合作
北方稀土,厦门钨业,北方稀土：公司拟参与厦门钨业全资子公司福建省长汀金龙稀土有限公司增资扩股同步引入员工持股项目，即公司拟以货币资金出资约1.05亿元（实际入股价格按照厦门钨业在福建省产权交易中心公开征集的战略投资者入股价格确定），以非公开协议方式投...,2022-12-14 18:41:00,600111.SH,600549.SH,10jqka,合作
联得装备,京东方,"联得装备：与重庆京东方显示技术有限公司签署了设备采购订单，订单含税金额为76,670,500元人民币，未税金额67,850,000元",2022-12-14 15:43:00,300545.SZ,000725.SZ,10jqka,供应
中国石油,辽河油田,据央视新闻，入冬以来，国内调峰能力最大储气库中国石油辽河油田储气库群采气井火力全开，12月13日，日采气量超过上一采气期2800万立方米的最高纪录，创建库以来最高点,2022-12-14 13:24:00,601857,000817.SZ,10jqka,同行
浙江医药,中欣氟材,钠创新能源首席科学家马紫峰重点介绍了钠离子电池工作原理特点，阐述了钠创作为链主型企业带动浙江医药、中欣氟材等企业联动开发钠电电解液原料，推动钠...,2022-12-13 10:54:00,600216.SH,002915.SZ,10jqka,同行
长城汽车,比亚迪,港股新能源汽车异动拉升，零跑汽车涨超4%，吉利汽车涨超3%，长城汽车、比亚迪股份等跟涨,2022-12-13 09:43:00,601633.SH,002594.SZ,10jqka,同涨
蓝帆医疗,国际医学,蓝帆医疗：拟在上海市浦东新区上海国际医学园区投资建设蓝帆医疗科创总部及产业化基地项目,2022-12-13 20:34:00,002382.SZ,000516.SZ,10jqka,投资
