head,tail,sentence,time,head_code,tail_code,src,relation
浙江医药,中欣氟材,钠创新能源首席科学家马紫峰重点介绍了钠离子电池工作原理特点，阐述了钠创作为链主型企业带动浙江医药、中欣氟材等企业联动开发钠电电解液原料，推动钠...,2022-12-13 10:54:00,600216.SH,002915.SZ,10jqka,同行
长城汽车,比亚迪,港股新能源汽车异动拉升，零跑汽车涨超4%，吉利汽车涨超3%，长城汽车、比亚迪股份等跟涨,2022-12-13 09:43:00,601633.SH,002594.SZ,10jqka,同涨
蓝帆医疗,国际医学,蓝帆医疗：拟在上海市浦东新区上海国际医学园区投资建设蓝帆医疗科创总部及产业化基地项目,2022-12-13 20:34:00,002382.SZ,000516.SZ,10jqka,投资
新华制药,比亚迪,港股通（沪）方面，山东新华制药股份、华虹半导体分别获净买入1.21亿港元、1.0亿港元；恒生中国企业净卖出额居首，金额为6.13亿港元；港股通（深）方面，美团-W、比亚迪股份分别获净买入2.82亿港元、2.24亿港元；...,2022-12-13 17:32:00,000756.SZ,002594.SZ,10jqka,同涨
濮耐股份,八一钢铁,濮耐股份：中标八一钢铁炼钢耐材整体承包项目，期限五年，预计中标金额合计，12.48亿元（含税）,2022-12-13 16:55:00,002225.SZ,600581.SH,10jqka,供应
中国铝业,江西铜业,港股稀土永磁板块走低，五矿资源跌超4%，中国稀土跌近4%，中国铝业、江西铜业股份跌超3%,2022-12-12 09:47:00,601600.SH,600362.SH,10jqka,同跌
山东黄金,紫金矿业,港股有色金属板块普跌，五矿资源跌超5%，山东黄金跌近4%，紫金矿业跌超3%,2022-12-12 09:38:00,600547.SH,601899.SH,10jqka,同跌
三特索道,西安饮食,景点及旅游、酒店及餐饮板块异动拉升，三特索道涨超8%，大连亚圣、长白山、西安饮食、同庆楼等跟涨，消息上，12月13日0时起“通信行程卡”服务正式下线,2022-12-12 09:34:00,002159.SZ,000721.SZ,10jqka,同涨
新华制药,白云山,港股医药股逆市上扬，山东新华制药股份涨近11%，中国中药涨近5%，白云山、四环医药等跟涨,2022-12-12 09:33:00,000756.SZ,600332.SH,10jqka,同涨
中国电信,中国联通,今日，中国电信、中国联通、中国移动三大运营商先后表示，将按照相关法律规定，自12月13日0时“通信行程卡”服务下线后，同步删除用户行程相关数据，依法保障个人信息安全,2022-12-12 21:39:00,601728,600050.SH,10jqka,同行
中国宝安,芳源股份,中国宝安：下属子公司贝特瑞拟减持芳源股份不超4.4%,2022-12-12 18:55:00,000009.SZ,688148,10jqka,被减持
海汽集团,海马汽车,海汽集团消息，12月11日上午，海汽集团与海马汽车新能源汽车产销对接交流暨战略合作签约仪式在海口举行,2022-12-12 17:26:00,603069.SH,000572.SZ,10jqka,合作
包钢股份,北方稀土,包钢股份：经包钢集团协调，公司与北方稀土协商，拟将稀土精矿价格调整为不含税35313元/吨,2022-12-12 16:51:00,600010.SH,600111.SH,10jqka,合作
联得装备,京东方,联得装备：近日，必联网（https://www.ebnew.com）发布了《京东方重庆第6代AMOLED（柔性）生产线项目评标结果公示公告》，深圳市联得自动化装备股份有限公司为该项目第一中标候选人,2022-12-12 15:41:00,300545.SZ,000725.SZ,10jqka,供应
宜宾纸业,五粮液,宜宾纸业：控股股东四川省宜宾五粮液集团有限公司被确定为四川银鸽竹浆纸业有限公司重整投资人，五粮液集团将新设全资子公司取得四川银鸽的经营性资产和相关业务，承诺有偿委托宜宾纸业全面托管新设主体的生产经营，符合条件后优先以公允价格向...,2022-12-12 15:37:00,600793.SH,000858.SZ,10jqka,被增持
工商银行,中国银行,据中新网，自12日起，重庆市启动本外币合一银行结算账户体系试点，本次试点将在工商银行重庆市分行、中国银行重庆市分行部分营业网点开展,2022-12-12 14:18:00,601398.SH,601988,10jqka,同行
和胜股份,宁德时代,和胜股份公告，与宁德时代签订《战略合作协议》，进一步加深双方在新能源产业的合作，开展新能源汽车电池系统下箱体等深入合作,2022-12-11 16:39:00,002824.SZ,300750.SZ,10jqka,合作
易事特,东方集团,易事特公告，广东恒锐拟将其持有的公司17.94%的股权协议转让给广物控股集团，自股份过户完成后，东方集团在未来五年内不可撤销地放弃持有公司的31.78%股份的表决权，东方集团支持广物控股集团在上市公司董事会中取得过半数席位，广物控股集团取...,2022-12-11 16:32:00,300376.SZ,600811.SH,10jqka,被增持
新华网,中国中车,新华网消息，中国中车旗下中车时代电动汽车股份有限公司（中车电动）制造的自动驾驶大巴客车“新巴客”城市系列C12AI（2020年完成设计）近日在法国巴黎市郊完成各项调试，准备正式开始载客运营,2022-12-10 18:40:00,603888.SH,601766.SH,10jqka,未知Unknown
永兴材料,永兴特钢,永兴材料公告，全资子公司江西永兴特钢新能源科技有限公司生产设施排查检修已完成，于2022年12月9日恢复生产,2022-12-09 07:47:00,002756.SZ,002756.SZ,10jqka,上级
