head,tail,sentence,time,head_code,tail_code,src,relation
宁德时代,协鑫能科,小财注：斯诺威公司第一顺位重整投资人的为宁德时代，备选重整投资人为协鑫能科,2022-12-16 10:31:35,300750.SZ,002015.SZ,eastmoney,未知Unknown
申万宏源,宏源证券,【春季行情仍可期待！申万宏源投资战略年会推演2023年A股行情三阶段】12月15日，申万宏源召开2023投资战略年会，会上，申万宏源证券总裁杨玉成及来自研究所的各大首席分析师从资本市场发展现状、宏观经济及A股配置等方面进行了阐述,2022-12-16 01:20:13,000166.SZ,000562.SZ,eastmoney,合作
帝欧家居,华西证券,【帝欧家居发可转债当年业绩变脸，华西证券2保代领罚单】中国证监会网站今日公布“关于对方维、袁宗采取暂不受理与行政许可有关文件3个月措施的决定”,2022-12-16 21:00:06,002798.SZ,002926.SZ,eastmoney,纠纷
中曼石油,申万宏源,"【中曼石油：实控人拟协议转让2.75%公司股份】中曼石油公告，为归还股票质押融资贷款、降低股票质押风险，实际控制人朱逢学与青岛皓云、申万宏源签署了《股份转让协议》，朱逢学拟通过协议转让其持有的1,100万股公司股份票(占公司总股本的2.75%)，标的股份转让价格为13.02元/股，转让价款共计1.43亿元",2022-12-16 20:23:58,603619.SH,000166.SZ,eastmoney,被增持
天鹅股份,乾景园林,上交所：本周对天鹅股份、乾景园林等严重异常波动股票和*ST泽达、*ST紫晶、*ST凯乐、ST曙光等风险警示股票进行重点监控,2022-12-16 18:01:24,603029.SH,603778.SH,eastmoney,未知Unknown
上能电气,宁德时代,【上能电气：宁德时代是公司的主要储能电池供应商之一】上能电气在互动平台表示，在国内市场，公司与宁德时代已建立合作关系，宁德时代是公司的主要储能电池供应商之一,2022-12-16 14:50:52,300827,300750.SZ,eastmoney,合作
国星光电,光电股份,公司控股子公司佛山市国星光电股份有限公司有布局半导体业务,2022-12-15 11:26:32,002449.SZ,600184.SH,eastmoney,上级
格力地产,大连友谊,盘面上，免税店概念开盘活跃，格力地产5连板，大连友谊3连板,2022-12-15 09:29:50,600185.SH,000679.SZ,eastmoney,同行
中国石化,中化国际,【专家建言LPG市场高质量发展之道：话语权定价权亟待提升，中国需求或支撑LPG价格】在12月14日由中远海运大连投资有限公司、上海石油天然气交易中心、上海证券报、中国金融信息中心、中国石化炼油销售有限公司、中化国际(控股)股份有限公司、大连商品交易所等单位联合举办的首届(2022)中国LPG产业峰会上，多位权威专家表示，LPG产业链各环节需要进一步加强团结合作，以此稳固产业链与供应链基础盘，进一步提升LPG市场竞争力，助力能源保供及低碳转型,2022-12-15 08:17:27,600028.SH,600500.SH,eastmoney,未知Unknown
康希诺,长城汽车,康希诺肌注式及吸入用新冠疫苗被推荐作为第二剂次加强免疫接种；国泰航空客流同比大增较疫前仍跌8成；黄光裕向国美零售提供2亿贷款；腾讯3.5亿港元回购股份；长城汽车1.54亿港元回购股份,2022-12-15 07:49:36,688185,601633.SH,eastmoney,未知Unknown
格力电器,顺丰控股,【“炒香”预制菜，金融“添火加柴”！】格力电器、顺丰控股、农夫山泉等多家上市公司跨界进入预制菜行业，发展空间广阔的预制菜成为了资本市场上的“香饽饽”,2022-12-15 20:39:28,000651.SZ,002352.SZ,eastmoney,同行
中国医药,众生药业,【数据复盘：半导体板块活跃，主力资金6亿封板中国医药】12月15日主力资金净买入前20大个股中，主力净买排名第一的是众生药业，净买额7.2亿元；主力净买排名第二的是中国医药，净买额6.4亿元,2022-12-15 18:56:54,600056.SH,002317.SZ,eastmoney,未知Unknown
宁德时代,歌尔股份,宁德时代、歌尔股份、隆基绿能分别获净买入4.19亿元、2.35亿元、2.15亿元,2022-12-15 17:32:12,300750.SZ,002241.SZ,eastmoney,未知Unknown
宁德时代,歌尔股份,宁德时代、歌尔股份、隆基绿能分别获净买入4.19亿元、2.35亿元、2.15亿元,2022-12-15 17:30:21,300750.SZ,002241.SZ,eastmoney,增持
上海沿浦,金鹰重工,【上海沿浦：中标5.87亿元金鹰重工铁路专用集装箱物料项目】上海沿浦(605128)12月15日晚间公告，中标金鹰重工的铁路专用集装箱物料项目,2022-12-15 17:19:49,605128,301048,eastmoney,供应
