,head,tail,relation,sentence,time,head_code,tail_code
0,上海机场,白云机场,同行,继续推荐国际旅客占比高、免税经营更为灵活的上海机场，关注产能空间持续打开，商业消费有望迎高成长的白云机场及估值处历史底部的北京首都机场,2022-02-14 08:58:14,600009.SH,600004.SH
1,赣锋锂业,中铝国际,同涨,有色金属板块集体上涨，赣锋锂业涨7%，中铝国际涨超4%,2022-02-17 12:08:27,002460.SZ,601068.SH
2,贵州茅台,宁德时代,竞争,贵州茅台超过宁德时代，重回公募基金头号重仓股,2022-01-25 17:10:52,600519.SH,300750.SZ
3,瑞玛工业,拓普集团,未知Unknown,瑞玛工业在互动平台表示：公司精密紧固件产品、精密冲压零部件产品通过拓普集团、采埃孚天合、哈曼集团、上海延锋等客户间接向包括北美地区在内的新能源汽车整车厂供应，基于商业保密要求，公司未向前述客户统计除自身供应产品外的其他项目相关...,2021-12-10 21:59:00,2976,601689.SH
4,宁德时代,海通证券,未知Unknown,宁德时代今日出现8.367亿元平价大宗交易，成交价每股569.13元，海通证券上海余姚路卖出，机构接盘,2022-01-20 16:27:54,300750.SZ,600837.SH
5,常熟银行,江苏银行,同涨,截至9:50，银行ETF华夏（515020）成分股常熟银行大涨超4%，江苏银行涨超3%,2022-01-13 10:08:37,601128.SH,600919.SH
6,比亚迪,广汽集团,同涨,港股汽车股走高，理想汽车涨超4%，小鹏汽车涨超2%，比亚迪股份、广汽集团跟涨,2022-01-14 15:30:39,002594.SZ,601238.SH
7,硅宝科技,正泰电器,未知Unknown,云财经讯，硅宝科技(300019)在接受机构调研时表示，公司光伏太阳能用胶已全面进入太阳能光伏组件、BIPV等多个领域，公司已与隆基、尚德、海泰等光伏头部企业开展合作，三季度新增光伏用胶客户正泰电器，前三季度光伏胶营业收入同比增长296%,2021-12-17 13:17:10,300019.SZ,601877.SH
8,中国平安,中国银行,未知Unknown,【中国平安：聘任邓斌为公司首席投资官】中国平安公告，聘任邓斌出任公司首席投资官，邓斌的任职资格尚待中国银行保险监督管理委员会核准,2022-01-20 18:35:17,601318.SH,601988
9,中信证券,中国石油,未知Unknown,云财经讯，中信证券给予中国石油A股买进的初始评级，目标价7元人民币；中国石油H股买进的初始评级，目标价5.20港元,2022-02-22 14:14:52,600030.SH,601857
10,立昂微,柘中股份,合作,【立昂微：拟由控股子公司金瑞泓微电子取得国晶半导体58.69%股权】立昂微(605358)2月7日晚间公告，公司控股子公司金瑞泓微电子与康峰投资、柘中股份、嘉兴康晶签署了《关于国晶(嘉兴)半导体有限公司之重组框架协议》,2022-02-07 18:26:09,605358,002346.SZ
11,焦作万方,东兴证券,未知Unknown,焦作万方公告，近日，公司收到东兴证券《关于终止焦作万方2020年非公开发行股票的函》，公司主承销商东兴证券称因无法完成承销总结性文件的报送工作，决定终止公司2020年非公开发行股票事宜,2021-12-03 20:50:00,000612.SZ,601198.SH
12,葛洲坝,凯伦股份,合作,基于中国葛洲坝电力公司新能源项目投、建、营一体化平台和凯伦股份CSPV全生命周期光伏屋顶解决方案的优势，双方同意同等条件下优先推荐使用对方的相关资...,2021-11-23 09:43:00,600068.SH,300715.SZ
13,西仪股份,风范股份,同涨,【连板股继续活跃 涨停率超60%】高位人气妖股继续活跃，西仪股份11个一字连板，三羊马涨停开板后10连板，蓝科高新8连板，金山股份、风范股份6连板，昨日31只连板股目前19只涨停，涨停晋级率达61.29%,2021-12-20 10:02:03,002265.SZ,601700.SH
14,海螺水泥,西部建设,增持,海螺水泥：拟以自有资金17.6亿元参与认购西部建设非公开发行的A股股份，认购数量为2.51亿股,2021-12-21 19:04:24,600585,002302.SZ
15,孚能科技,华友钴业,合作,【孚能科技：与华友钴业签订战略合作协议】孚能科技公告，与华友钴业签订战略合作协议，公司自2021年12月至2025年12月31日拟向华友钴业采购16.15万吨三元前驱体,2021-12-02 17:08:47,688567,603799.SH
16,行动教育,美凯龙,合作,【行动教育：与红星美凯龙达成战略合作】从行动教育了解到，12月30日，在红星美凯龙总部，红星美凯龙、行动教育正式达成战略合作，双方强强联手将在人才战略上进行深度战略合作，构建更加全面更加深层的人才合作和交流机制，共同致力打造家居行业的人才生态圈,2021-12-31 12:29:28,605098,601828
17,森特股份,新华都,增持,云财经讯，森特股份(603098)12月31日晚间公告，新华都集团及其一致行动人通过集中竞价交易增持公司150万股，本次权益变动后，合计持有公司2725.72万股，占总股本的比例为5.06%,2021-12-31 21:49:08,603098.SH,002264.SZ
18,紫金矿业,北方华创,未知Unknown,千亿市值股中，紫金矿业、北方华创、中国中免的业绩增幅依次为139.67%、100%、60%,2022-01-17 07:40:15,601899.SH,002371.SZ
19,东风汽车,赣锋锂业,合作,1月22日，由东风汽车公司与赣锋锂业合作开发的东风 - 赣锋高比能固态电池E70示范运营车在江西省新余市全球首发,2022-01-24 14:01:08,600006.SH,002460.SZ
20,重庆建工,冀东装备,同跌,大基建板块开盘走低，汇通集团、中国海城、重庆建工、华兰集团、冀东装备等跌超5%,2022-02-15 09:38:18,600939.SH,000856.SZ
21,国检集团,金隅集团,未知Unknown,云财经讯，1月27日，国检集团中标金隅集团智能化和信息化重点示范项目——曲阳金隅水泥有限公司智能安全管控项目,2022-01-28 17:13:00,603060.SH,601992.SH
22,工商银行,建设银行,未知Unknown,净卖出中国移动5.85亿港元、工商银行3.26亿港元、建设银行2.55亿港元；净买入药明生物4.92亿港元,2022-02-17 17:40:03,601398.SH,601939
23,三安光电,回天新材,未知Unknown,从增持金额看，近5日增持金额在1千万元以上的有9家，增持金额最多的是三安光电，期间累计增持3451.55万股，增持金额合计11.96亿元；其次是回天新材，增持量为807.86万股，增持金额1.24亿元,2021-12-20 09:55:50,600703.SH,300041.SZ
24,中国动力,中国船舶,合作,中国动力：拟与中船工业集团、中国船舶通过以各自持有的柴油机动力业务相关公司股权共同对中国动力全资子公司增资并由该子公司向中船重工集团支付现金购买资产的方式，规范柴油机动力业务同业竞争,2022-01-11 16:50:00,600482.SH,600150.SH
25,万丰奥威,比亚迪,合作,万丰奥威在互动平台表示，公司和比亚迪合作主要为供应铝合金轮毂，目前配套比例40%以上，合作良好，子公司重庆万丰在2021年度比亚迪新能源汽车核心供应商大会上荣获年度最佳合作伙伴,2021-12-21 09:43:00,002085.SZ,002594.SZ
26,华友钴业,当升科技,合作,【华友钴业：与当升科技签订《战略合作协议》】华友钴业公告，与当升科技签订《战略合作协议》，协议约定在华友钴业向当升科技提供有竞争优势的金属原料计价方式与前驱体加工费的条件下，2022年至2025 年当升科技计划向公司采购三元前驱体30-35万吨,2021-11-30 18:53:54,603799.SH,300073.SZ
27,中国能建,葛洲坝,未知Unknown,尼鲁姆-杰卢姆水电站项目位于巴控克什米尔地区，由中国能建葛洲坝集团为牵头方和中国机械设备进出口总公司组成的联合体负责建设，由中国能建葛洲坝集团三公司牵头实施，于2008年1月正式开工,2021-12-22 03:46:02,601868,600068.SH
28,上汽集团,宁德时代,合作,上汽集团在互动平台表示，公司新能源车的电池主要由上汽与宁德时代合资成立的上汽时代（电池）和时代上汽（电芯）两家公司提供,2021-12-10 17:47:00,600104.SH,300750.SZ
29,吉大通信,中国联通,供应,吉大通信公告，全资子公司长邮通信预中标中国移动、中国联通合计9406.28万元集中采购项目,2021-12-15 19:40:00,300597.SZ,600050.SH
30,思维列控,远望谷,被减持,【思维列控：远望谷拟适时出售公司股票】思维列控公告，远望谷(002161)目前持有公司股份1249.7万股，占公司当前总股本的4.59%,2021-12-03 19:18:59,603508.SH,002161.SZ
31,赣锋锂业,重庆钢铁,同涨,港股有色金属板块普涨，金川国际涨近6%，赣锋锂业涨近5%，重庆钢铁股份涨超4%,2021-11-17 13:05:00,002460.SZ,601005.SH
32,国新能源,中国动力,未知Unknown,根据TrendForce集邦咨询研究显示，随着中国新能源汽车产业的快速发展，动力电池退役量逐年走高，2021年中国动力电池报废量预计将超过18GWh，到2025年将达91GWh,2021-12-09 13:44:00,600617.SH,600482.SH
33,南方轴承,建设银行,未知Unknown,南方轴承：向建设银行申请1.2亿元授信额度,2021-12-17 18:26:00,002553.SZ,601939
34,奥特佳,长安汽车,被投资,云财经讯，奥特佳：控股股东正在筹划本公司控制权转让事宜，已与中国长安汽车集团有限公司签署了《股份转让意向协议》，交易对方拟合计受让公司9.9%股份，同时本公司拟筹划向交易对方非公开发行股票，股票停牌,2022-02-14 18:49:22,002239.SZ,000625.SZ
35,太阳纸业,晨鸣纸业,同行,为保障供应链稳定，太阳纸业、晨鸣纸业等上市公司纷纷通过开辟多元化纸浆来源，积极扩大林地建设等方式应对,2022-01-21 06:59:29,002078.SZ,000488.SZ
36,中国电信,永福股份,未知Unknown,同时，福建省人民政府发展研究中心处长朱四海、厦门市国资委党委副书记、二级巡视员傅建洪、华为数字能源、中国电信、福建紫金新能源、中国移动通信集团设计院、永福股份将作主题发言,2021-12-16 13:51:20,601728,300712.SZ
37,宏润建设,杉杉股份,合作,云财经讯，宏润建设：与杉杉股份签署战略合作框架协议，公司拟并购整合杉杉股份的光伏新能源资产及业务，双方拟通过杉杉股份向公司转让宁波尤利卡太阳能股份有限公司股份的方式完成光伏电池组件资产和业务的合作,2022-01-13 16:27:37,002062.SZ,600884.SH
38,三特索道,天风证券,减持,【三特索道：拟出售天风证券不超2848.99万股】三特索道(002159)2月11日晚间公告，公司拟出售天风证券股份不超过2848.99万股,2022-02-11 19:36:42,002159.SZ,601162.SH
39,西藏城投,西藏矿业,同涨,指数午后低位震荡，创业板指跌超1%，小金属、国防军工、煤炭等多板块活跃，盐湖提锂板块全天大涨，西藏城投、西藏矿业午后触及涨停，教育、消费电子板块走弱，天下秀午后直线封板，元宇宙概念跌幅收窄，三市个股跌多涨少，涨停股近70家，赚钱效...,2021-11-18 15:00:00,600773.SH,000762.SZ
40,洛阳玻璃,福莱特,同跌,港股光伏太阳能板块午后走低，保利协鑫能源(03800.HK)跌7.75%，新特能源(01799.HK)跌5.28%，洛阳玻璃(01108.HK)跌近5%，福莱特玻璃(06865.HK)跌超3%,2021-12-17 14:21:36,600876.SH,601865.SH
41,比亚迪,长城汽车,同涨,港股汽车股走高，理想汽车涨超4%，恒大汽车涨近4%，比亚迪股份涨近3%，长城汽车涨超2%,2022-02-23 10:33:22,002594.SZ,601633.SH
42,迈瑞医疗,宁德时代,同跌,2022年首个交易日指数高开低走，截至午盘，创业板指收跌2.19%，迈瑞医疗一度跌超10%，宁德时代跌超3%,2022-01-04 11:30:00,300760.SZ,300750.SZ
43,森马服饰,海澜之家,未知Unknown,推荐森马服饰(002563.SZ)(22年11倍PE)、海澜之家(600398.SH)(22年8倍PE),2022-02-15 09:43:29,002563.SZ,600398.SH
44,华夏银行,金麒麟,未知Unknown,【张健华：我国商业银行逐步重视发展绿色金融，加大绿色信贷投放力度】华夏银行行长张健华在第14届金麒麟金融峰会上表示，当前，我国商业银行逐步重视发展绿色金融，加大绿色信贷、绿色债券的投放力度，加快了绿色金融产品的创新,2021-12-13 14:51:03,600015.SH,603586.SH
45,三峡能源,彩虹集团,合作,由榆林市政府、三峡能源和彩虹集团合作开发的三峡榆林光伏装备制造产业园项目投资协议成功签约,2022-01-28 07:44:48,600905,3023
46,协鑫能科,智慧能源,上级,协鑫能科公告，公司拟以自有资金对全资子公司协鑫智慧能源（苏州）有限公司现金增资24亿元，本次增资完成后，协鑫智慧能源注册资本由36亿元变更为60亿元,2021-12-08 17:17:00,002015.SZ,600869.SH
