,head,tail,relation,sentence,time,head_code,tail_code
0,上海机场,白云机场,same_industry,继续推荐国际旅客占比高、免税经营更为灵活的上海机场，关注产能空间持续打开，商业消费有望迎高成长的白云机场及估值处历史底部的北京首都机场,2022-02-14 08:58:14,600009.SH,600004.SH
1,赣锋锂业,中铝国际,rise,有色金属板块集体上涨，赣锋锂业涨7%，中铝国际涨超4%,2022-02-17 12:08:27,002460.SZ,601068.SH
2,贵州茅台,宁德时代,compete,贵州茅台超过宁德时代，重回公募基金头号重仓股,2022-01-25 17:10:52,600519.SH,300750.SZ
3,瑞玛工业,拓普集团,unknown,瑞玛工业在互动平台表示：公司精密紧固件产品、精密冲压零部件产品通过拓普集团、采埃孚天合、哈曼集团、上海延锋等客户间接向包括北美地区在内的新能源汽车整车厂供应，基于商业保密要求，公司未向前述客户统计除自身供应产品外的其他项目相关...,2021-12-10 21:59:00,2976,601689.SH
4,宁德时代,海通证券,unknown,宁德时代今日出现8.367亿元平价大宗交易，成交价每股569.13元，海通证券上海余姚路卖出，机构接盘,2022-01-20 16:27:54,300750.SZ,600837.SH
5,常熟银行,江苏银行,rise,截至9:50，银行ETF华夏（515020）成分股常熟银行大涨超4%，江苏银行涨超3%,2022-01-13 10:08:37,601128.SH,600919.SH
6,比亚迪,广汽集团,rise,港股汽车股走高，理想汽车涨超4%，小鹏汽车涨超2%，比亚迪股份、广汽集团跟涨,2022-01-14 15:30:39,002594.SZ,601238.SH
7,硅宝科技,正泰电器,unknown,云财经讯，硅宝科技(300019)在接受机构调研时表示，公司光伏太阳能用胶已全面进入太阳能光伏组件、BIPV等多个领域，公司已与隆基、尚德、海泰等光伏头部企业开展合作，三季度新增光伏用胶客户正泰电器，前三季度光伏胶营业收入同比增长296%,2021-12-17 13:17:10,300019.SZ,601877.SH
8,中国平安,中国银行,unknown,【中国平安：聘任邓斌为公司首席投资官】中国平安公告，聘任邓斌出任公司首席投资官，邓斌的任职资格尚待中国银行保险监督管理委员会核准,2022-01-20 18:35:17,601318.SH,601988
9,中信证券,中国石油,unknown,云财经讯，中信证券给予中国石油A股买进的初始评级，目标价7元人民币；中国石油H股买进的初始评级，目标价5.20港元,2022-02-22 14:14:52,600030.SH,601857
10,立昂微,柘中股份,cooperate,【立昂微：拟由控股子公司金瑞泓微电子取得国晶半导体58.69%股权】立昂微(605358)2月7日晚间公告，公司控股子公司金瑞泓微电子与康峰投资、柘中股份、嘉兴康晶签署了《关于国晶(嘉兴)半导体有限公司之重组框架协议》,2022-02-07 18:26:09,605358,002346.SZ
11,焦作万方,东兴证券,unknown,焦作万方公告，近日，公司收到东兴证券《关于终止焦作万方2020年非公开发行股票的函》，公司主承销商东兴证券称因无法完成承销总结性文件的报送工作，决定终止公司2020年非公开发行股票事宜,2021-12-03 20:50:00,000612.SZ,601198.SH
12,葛洲坝,凯伦股份,cooperate,基于中国葛洲坝电力公司新能源项目投、建、营一体化平台和凯伦股份CSPV全生命周期光伏屋顶解决方案的优势，双方同意同等条件下优先推荐使用对方的相关资...,2021-11-23 09:43:00,600068.SH,300715.SZ
13,西仪股份,风范股份,rise,【连板股继续活跃 涨停率超60%】高位人气妖股继续活跃，西仪股份11个一字连板，三羊马涨停开板后10连板，蓝科高新8连板，金山股份、风范股份6连板，昨日31只连板股目前19只涨停，涨停晋级率达61.29%,2021-12-20 10:02:03,002265.SZ,601700.SH
14,海螺水泥,西部建设,increase_holding,海螺水泥：拟以自有资金17.6亿元参与认购西部建设非公开发行的A股股份，认购数量为2.51亿股,2021-12-21 19:04:24,600585,002302.SZ
15,孚能科技,华友钴业,cooperate,【孚能科技：与华友钴业签订战略合作协议】孚能科技公告，与华友钴业签订战略合作协议，公司自2021年12月至2025年12月31日拟向华友钴业采购16.15万吨三元前驱体,2021-12-02 17:08:47,688567,603799.SH
16,行动教育,美凯龙,cooperate,【行动教育：与红星美凯龙达成战略合作】从行动教育了解到，12月30日，在红星美凯龙总部，红星美凯龙、行动教育正式达成战略合作，双方强强联手将在人才战略上进行深度战略合作，构建更加全面更加深层的人才合作和交流机制，共同致力打造家居行业的人才生态圈,2021-12-31 12:29:28,605098,601828
