,id,datetime,event_type,text
0,1645671000,2022-02-24 10:50:00,产品行为-发布,英飞特：LED驱动电源将会有较大市场空间
1,1645669740,2022-02-24 10:29:00,产品行为-发布,雪榕生物：成立新医药公司向药品领域拓展 研发绣球菌药用...
2,1645668960,2022-02-24 10:16:00,产品行为-发布,联得装备：SOT半导体封装设备已交付无锡英飞凌生产现场
3,1645668120,2022-02-24 10:02:00,财经/交易-涨价,中顺洁柔：目前公司绝大多数产品已实施提价
4,1645665900,2022-02-24 09:25:00,财经/交易-跌停,A股三大指数集体低开
5,1645664820,2022-02-24 09:07:00,产品行为-发布,晨化股份：淮安晨化全面复产时间尚不确定
6,1645712760,2022-02-24 22:26:00,产品行为-发布,亿田智能：房地产相关政策的颁布，利好集成灶行业整体发展
7,1645712160,2022-02-24 22:16:00,产品行为-发布,家联科技：公司的产能将迎来大幅增长
8,1645711140,2022-02-24 21:59:00,产品行为-发布,国药集团针对奥密克戎开发了4款新冠疫苗
9,1645708560,2022-02-24 21:16:00,财经/交易-出售/收购,上交所向保隆科技就收购股权事项下发监管工作函
10,1645706220,2022-02-24 20:37:00,财经/交易-出售/收购,帝科股份：股东钱亚萍及其一致行动人拟继续合计减持不超过6%
11,1645705260,2022-02-24 20:21:00,组织关系-加盟,东华科技与中铁国际签订全面深化海外市场战略合作协议
12,1645704420,2022-02-24 20:07:00,组织关系-退出,恒大退出广州南沙恒大童世界项目，央企五矿集团接手
13,1645699200,2022-02-24 18:40:00,财经/交易-涨停,*ST澄星：股票近期累计涨幅较大，停牌核查
14,1645698180,2022-02-24 18:23:00,财经/交易-融资,欣旺达：拟20亿元投资欣智旺智能硬件宁乡综合生产基地项目
15,1645696620,2022-02-24 17:57:00,组织关系-退出,正邦科技：乌克兰孙公司业务已暂停 生猪养殖主业未受影响
16,1645693080,2022-02-24 16:58:00,财经/交易-出售/收购,明阳智能：股东蕙富凯乐拟减持不超过1.14%
17,1645692840,2022-02-24 16:54:00,产品行为-发布,陕西黑猫：拟1亿元设立黑猫物流
18,1645692180,2022-02-24 16:43:00,财经/交易-涨停,佳力图再度涨停，1家机构专用席位净卖出7272.81万元
19,1645690200,2022-02-24 16:10:00,财经/交易-融资,比亚迪投资铜博科技 后者专注于铜箔产品
20,1645685460,2022-02-24 14:51:00,产品行为-发布,南钢股份：金瑞新能源项目已进入设备安装调试阶段
21,1645681800,2022-02-24 13:50:00,产品行为-发布,元隆雅图：已安排大量生产冰墩墩雪容融相关冬奥特许商品
22,1645679700,2022-02-24 13:15:00,财经/交易-降价,港股保险板块下挫
23,1645678800,2022-02-24 13:00:00,财经/交易-降价,上证指数跌幅扩大至1%
24,1645587300,2022-02-23 11:35:00,财经/交易-出售/收购,通富微电：AMD成功收购赛灵思预计对公司将产生积极影响
25,1645585860,2022-02-23 11:11:00,财经/交易-降价,世界钢铁协会：中国1月粗钢产量同比下降11.2%
26,1645585800,2022-02-23 11:10:00,产品行为-发布,维信诺发布中国首款1Hz低功耗AMOLED显示屏 搭载该显示屏...
27,1645582860,2022-02-23 10:21:00,产品行为-发布,东方电气自主研制的亚洲单机容量最大风电机组下线
28,1645580640,2022-02-23 09:44:00,产品行为-发布,宁德时代携手三一重工 力推福建省换电重卡应用示范项目落地
29,1645576260,2022-02-23 08:31:00,产品行为-发布,中信证券：政策鼓励，推动新型储能发展
30,1645574040,2022-02-23 07:54:00,产品行为-发布,中国中化：连云港碳三项目首批装置试生产
31,1645571580,2022-02-23 07:13:00,产品行为-发布,中信建投：维持新能源车全年565万辆+销量预期
32,1645571460,2022-02-23 07:11:00,司法行为-罚款,特斯拉因空气污染被美环保署罚款27.5万美元
33,1645624380,2022-02-23 21:53:00,财经/交易-上市,上海纽脉医疗科技股份有限公司提交港交所上市申请
34,1645621080,2022-02-23 20:58:00,财经/交易-出售/收购,汇金通：拟2.84亿元收购重庆江电电力设备有限公司80%股权
35,1645614660,2022-02-23 19:11:00,财经/交易-出售/收购,新力金融：海螺水泥累计减持1%公司股份
36,1645613880,2022-02-23 18:58:00,财经/交易-融资,千禾味业：拟定增募资不超过5亿元
37,1645613520,2022-02-23 18:52:00,组织关系-加盟,利亚德：与怡亚通签署战略合作协议
