,id,datetime,event_type,text
0,1645673380,2022-02-24 11:29:40,产品行为-发布,迪普科技：公司相关产品大量应用于数据中心
1,1645670765,2022-02-24 10:46:05,产品行为-发布,英飞特：LED驱动电源将会有较大市场空间
2,1645669870,2022-02-24 10:31:10,财经/交易-涨停,快讯：氢能源板块震荡走高 京城股份涨停
3,1645668786,2022-02-24 10:13:06,产品行为-发布,联得装备：SOT半导体封装设备已交付无锡英飞凌生产现场
4,1645668206,2022-02-24 10:03:26,财经/交易-涨价,中顺洁柔：目前公司绝大多数产品已实施提价
5,1645667062,2022-02-24 09:44:22,财经/交易-涨停,供气供热板块拉升 宁波能源、*ST中天涨停
6,1645666819,2022-02-24 09:40:19,财经/交易-涨停,快讯：绿电概念股异动拉升 宁波能源涨停
7,1645666699,2022-02-24 09:38:19,财经/交易-跌停,基建股开盘弱势 韩建河山、诚邦股份跌停
8,1645664762,2022-02-24 09:06:02,产品行为-发布,晨化股份：淮安晨化全面复产时间尚不确定
9,1645660758,2022-02-24 07:59:18,产品行为-发布,中金公司：食品包装材料赛道优异 关注龙头扩产机遇
10,1645714092,2022-02-24 22:48:12,产品行为-发布,申昊科技：公司开关室操作机器人订单已落地，输电线路带电作业机器人在研发中
11,1645713270,2022-02-24 22:34:30,财经/交易-出售/收购,正荣地产：本集团一直在探讨出售若干资产以改善其整体流动资金状况的可能性
12,1645712715,2022-02-24 22:25:15,产品行为-发布,亿田智能：房地产相关政策的颁布，利好集成灶行业整体发展
13,1645711810,2022-02-24 22:10:10,产品行为-发布,家联科技：公司的产能将迎来大幅增长
14,1645710213,2022-02-24 21:43:33,财经/交易-融资,首创环保：拟9.92亿元投资地表水厂及配套清水管网项目
15,1645707385,2022-02-24 20:56:25,产品行为-发布,山水比德：对虚拟空间场景搭建探索尚处于前期阶段
16,1645706383,2022-02-24 20:39:43,财经/交易-出售/收购,帝科股份：钱亚萍及其一致行动人拟合计减持不超6%股份
17,1645704501,2022-02-24 20:08:21,产品行为-发布,保利发展等10家沪市房企债券发行人主动信披，回应关切提振信心
18,1645703655,2022-02-24 19:54:15,组织关系-加盟,东华科技与中铁国际签订全面深化海外市场战略合作协议
19,1645699566,2022-02-24 18:46:06,产品行为-发布,三一重工携手宁德时代 全国首条电动干线投运
20,1645698414,2022-02-24 18:26:54,产品行为-发布,上海银行：计划发行30亿元房地产项目并购主题债券
21,1645697782,2022-02-24 18:16:22,组织关系-加盟,中国能建：与中国银行签署战略合作协议
22,1645696476,2022-02-24 17:54:36,组织关系-加盟,中国电建：1月新签合同金额654.95亿元 同比增长3.1%
23,1645695502,2022-02-24 17:38:22,财经/交易-涨价,凯美特气：氖气已涨价 公司产品主要销往国外
24,1645695156,2022-02-24 17:32:36,财经/交易-出售/收购,北向资金净卖出中国平安9.64亿元
25,1645694970,2022-02-24 17:29:30,财经/交易-出售/收购,北上资金今日净买入紫金矿业7.48亿元、阳光电源4.26亿元
26,1645693813,2022-02-24 17:10:13,产品行为-发布,格尔软件：将持续关注东数西算工程相关技术研发及业务场景的拓展
27,1645693080,2022-02-24 16:58:00,财经/交易-出售/收购,明阳智能：股东蕙富凯乐拟减持不超过1.14%
28,1645690238,2022-02-24 16:10:38,产品行为-发布,生物股份：全资子公司金宇保灵生产猪圆环病毒2型、猪肺炎支原体二联灭活疫苗（重组杆状病毒DBN01株+DJ-166株）获得兽药产品批准文号批件
29,1645689777,2022-02-24 16:02:57,财经/交易-融资,比亚迪投资铜博科技 后者专注于铜箔产品
30,1645689702,2022-02-24 16:01:42,产品行为-发布,海思科：环泊酚注射液新适应症上市申请获得批准
31,1645688006,2022-02-24 15:33:26,产品行为-发布,东安动力：公司2022年计划产销整机76.9万台
32,1645685301,2022-02-24 14:48:21,产品行为-发布,南钢股份：金瑞新能源项目已进入设备安装调试阶段
33,1645684463,2022-02-24 14:34:23,产品行为-发布,仲景食品：预制食品目前处于研究开发阶段
34,1645681628,2022-02-24 13:47:08,财经/交易-融资,腾讯投资机器人流程自动化服务商影刀RPA
35,1645588557,2022-02-23 11:55:57,财经/交易-涨价,中粮科技：国际油价上涨对公司燃料乙醇产品利润具有积极作用
36,1645587207,2022-02-23 11:33:27,财经/交易-出售/收购,通富微电：AMD成功收购赛灵思预计对公司将产生积极影响
37,1645583870,2022-02-23 10:37:50,财经/交易-涨停,半导体板块持续拉升 北方华创涨停
