ID,event,S1,S2,S3,Correct
1,11股获融资净买入超亿元 平安银行获净买入最多,1,0,0,True
2,数据,0,0,1,False
3,北向资金今日净流入125.76亿元 大幅净买入中国平安13.53亿元、招商银行17.10亿元,0,0,1,True
4,向资金今日净卖出35.74亿元。宁德时代、中国平安、平安银行分别获净卖出6.6亿元、3.68亿元、2.57亿元。,0,0,1,True
5,平安银行拟于近期启动发行房地产并购主题债,1,1,1,True
6,月15日，《每日经济新闻》记者从平安银行处获悉，平安银行计划于近期启动首期50亿元房地产并购主题债券的发行工作，募集资金专项用于房地产项目并购贷款投放。,0,0,1,True
7,深国际：与万科签署战略合作协议,0,1,0,True
8,万科海外联交所公告 收购Enigma全部已发行股本,1,0,0,True
9,万科祝九胜：万科预计明年最低经营目标是比今年还下调,0,1,0,True
10,地产股开盘走强,0,0,1,True
11,惊呆打工人！万科年度优秀新员工 竟然不是人类？,0,0,1,True
12,万科退出万链关联公司股东 退出前持股50%,1,1,0,True
13,万科A：1月25日-26日 公司发行了2022年度第一期中期票据,1,1,0,True
14,房企融资逐渐活跃 一月销售下滑 但积极信号明显,0,0,1,True
15,神州高铁上演“地天板”,0,0,1,True
16,南玻A：2021年度净利润预增66%-109%,0,0,1,True
17,深科技：预挂牌转让深科技桂林100%股权,1,0,0,True
18,富奥股份：拟6.35亿元认购一汽富维非公开发行的全部股份,1,1,0,True
19,富奥股份：完成收购ABC Umformtechnik GmbH股份,0,0,1,True
20,大悦城：公开挂牌出售3.27亿元房产,1,0,1,True
21,大悦城：以公开挂牌的方式分层出售位于深圳市福田区福华一路1号深圳国际交易广场（大中华国际交易广场）的2层办公房产,1,0,0,True
22,房地产并购融资动作不断：大悦城获浦发招行各100亿融资额度,1,0,0,True
23,神州数码：2名副总裁辞职,0,0,1,True
24,国盾量子：与神州数码签署4049万元量子设备及系统采购合同,0,0,1,True
25,神州数码将参加微软年度IT盛会 发布白皮书推出新产品,1,1,1,True
26,神州数码：股东王晓岩拟减持不超过2%,1,0,0,True
27,中国天楹：签署如皋市生活垃圾分类项目政府采购合同,1,0,0,True
28,中集集团：中集冷云先后为6大国内的新冠疫苗生产企业提供冷链运输服务,1,1,0,True
29,东旭蓝天：签约鹿寨远道香颂·鹿鸣水岸7.99亿项目,1,1,0,True
30,泛海控股：拟将回购资金总额由3-5亿元下调至1-2亿元,1,1,1,True
31,三连板济南高新：拟收购的艾克韦生物所处行业与公司现有...,0,1,0,True
32,泛海控股：控股股东及其一致行动人1.06亿股将被拍卖,1,1,0,True
33,消费电子板块持续走强,0,0,1,True
34,德赛电池五天三板 1家机构净买入6292.03万元,0,1,0,True
35,德赛电池今日涨停 深股通买入9167万元,0,0,1,True
36,德赛电池：公司储能电芯业务预计2023年才能投产,1,1,1,True
37,汇丰控股(00005.HK)12月9日回购321.4万股,0,0,1,True
38,汇丰控股(00005.HK)2月22日回购295.4万股,0,0,1,True
39,深天马A：公司自2006年开始投入资源研发裸眼3D应用显示技术,0,1,0,True
40,深天马A：在AMOLED领域已量产项目和正在开发的项目已实现国内品牌客户全覆盖,1,1,0,True
41,方大集团：子公司产品入选第六批制造业单项冠军产品,1,0,0,True
42,皇庭国际：和瑞九鼎拟减持不超5%股份,0,0,1,True
43,皇庭国际：预挂牌转让深圳融发投资有限公司及重庆皇庭珠宝广场有限公司各不少于51%股权,1,0,0,True
44,华锦股份：拟收购辽宁北化全部股权,1,1,1,True
45,中移动联合中兴完成业界首个5G+UWB多维高精度定位商用验证,1,0,0,True
46,中兴通讯携手四川移动、佰才邦完成5G低空应急通讯系统商用验证,1,0,0,True
47,中兴通讯与东软睿驰达成战略合作 共同打造新一代车用操作...,0,1,0,True
48,中兴通讯董事长新年致辞：固本拓新 朝着“世界500强”的...,0,1,0,True
49,诚迈科技：董事会同意将持有的统信软件0.23%股权以合计3450万元人民币转让给苏州君联,1,0,0,True
50,中兴通讯(00763.HK)固网终端全球累计发货量超4亿台,0,0,1,True
51,中兴通讯退出中兴系统集成股东 新增股东南方银谷,1,0,0,True
52,百度牵头发布行业首个自动驾驶公交车系列标准,0,0,1,True
53,中兴旗下手机终端红魔入局元宇宙，已组建团队关注VR技术,1,1,0,True
54,中兴通讯：2021年净利同比预增52.59%-69.02%,0,0,1,True
55,中金：下调中兴通讯目标价至31港元 评级跑赢行业,0,1,0,True
56,一图看懂商汤科技IPO,0,0,1,False
