head,tail,sentence,time,head_code,tail_code,src,relation
平安银行,招商银行,推荐招商银行(03968)及平安银行,2022-02-11 10:34:17,000001.SZ,600036.SH,eastmoney,同行
平安银行,兴业银行,另据梳理，兴业银行、广发银行、平安银行表态将发行房地产项目并购主题债券，总金额200亿,2022-02-23 08:14:43,000001.SZ,601166.SH,yuncaijing,同行
南玻A,旗滨集团,(3)多业务布局的玻璃龙头旗滨集团、南玻A,2022-02-15 12:52:06,000012.SZ,601636.SH,eastmoney,同行
南玻A,旗滨集团,（3）多业务布局的玻璃龙头旗滨集团、南玻A,2021-12-28 08:22:27,000012.SZ,601636.SH,yuncaijing,同行
深圳能源,皖天然气,云财经讯，皖天然气：成功摘牌深圳能源燃气投资控股有限公司通过增资释放不超过45%股权项目中的10%股权，摘牌价格为8.39亿元,2022-01-14 15:37:00,000027.SZ,603689.SH,yuncaijing,投资
大悦城,浦发银行,根据双方约定，浦发银行为大悦城控股提供的并购融资额度为100亿元人民币，双方合作的内容包括但不限于并购顾问、并购贷款、并购基金、资产证券化以及基于并购相关业务需求创新的各类融资产品,2022-02-21 14:40:25,000031.SZ,600000.SH,yuncaijing,合作
大悦城,浦发银行,云财经讯，大悦城控股官方微信公众号发布的消息显示，2月18日，大悦城控股与浦发银行共同举行地产并购融资全面合作协议签约仪式,2022-02-21 14:40:25,000031.SZ,600000.SH,yuncaijing,合作
大悦城,招商银行,在该框架协议中，招商银行将优先为大悦城提供地产并购相关的综合金融服务，专项融资额度为100亿元,2022-02-14 18:43:42,000031.SZ,600036.SH,yuncaijing,供应
大悦城,招商银行,云财经讯，招商银行股份有限公司与大悦城控股集团股份有限公司签署地产并购融资战略合作协议,2022-02-14 18:43:42,000031.SZ,600036.SH,yuncaijing,合作
大悦城,招商银行,招商银行股份有限公司与大悦城控股集团股份有限公司签署地产并购融资战略合作协议,2022-02-14 18:44:00,000031.SZ,600036.SH,10jqka,合作
大悦城,招商银行,在该框架协议中，招商银行将优先为大悦城提供地产并购相关的综合金融服务，专项融资额度为100亿元,2022-02-14 19:20:46,000031.SZ,600036.SH,eastmoney,供应
大悦城,招商银行,在该框架协议中，招商银行将优先为大悦城提供地产并购相关的综合金融服务，专项融资额度为100亿元,2022-02-14 18:44:00,000031.SZ,600036.SH,10jqka,供应
大悦城,招商银行,【招商银行向大悦城控股提供100亿元并购专项额度】据媒体报道，2月14日，招商银行股份有限公司与大悦城控股集团股份有限公司签署地产并购融资战略合作协议,2022-02-14 19:20:46,000031.SZ,600036.SH,eastmoney,合作
大悦城,招商银行,大悦城控股的官网发布的消息显示：2月14日，大悦城控股与招商银行成功签署100亿元并购融资战略合作协议，双方将建立深度的地产并购融资战略合作关系,2022-02-21 14:40:25,000031.SZ,600036.SH,yuncaijing,合作
大悦城,阿拉丁,战略投资大悦城，是阿拉丁在商业地产领域的重要布局,2022-02-23 17:11:11,000031.SZ,688179,yuncaijing,投资
大悦城,阿拉丁,未来阿拉丁将通过资本＋科技，推动大悦城构建商业地产+社群经济新业态，以社群经济为线下商业地产赋能，助力行业创新探索,2022-02-23 17:11:11,000031.SZ,688179,yuncaijing,合作
