head,tail,sentence,time,head_code,tail_code,label,relation,src
平安银行,中国银行,【银行函证区块链服务平台投入应用】近日由大华会计师事务所（特殊普通合伙）发起、平安银行回函的4笔全流程自动化电子函证成功落地，标志着中国银行业协会银行函证区块链服务平台正式投入实际业务应用，为2022年审计高峰季电子函证的大规模推广应用奠定了坚实基础,2021-12-10 09:50:20,000001.SZ,601988,1,同行,eastmoney
万科A,世茂股份,物业管理板块持续拉升，招商积余涨超5%，力合科创、万科A、世茂股份、保利发展跟涨,2021-12-09 09:46:00,000002.SZ,600823.SH,1,同涨,10jqka
神州高铁,新华联,涨停股中，从收盘涨停板封单量来看，神州高铁最受追捧，收盘涨停板封单有3132.87万股；其次是太阳能、新华联等，涨停板封单分别有2356.52万股、1934.72万股,2021-12-23 15:25:47,000008.SZ,000620.SZ,1,同涨,yuncaijing
中兴通讯,上海银行,近日，中兴通讯与上海银行股份有限公司在深圳签署战略合作协议,2021-11-23 14:12:00,000063.SZ,601229.SH,1,合作,10jqka
申万宏源,宏源证券,申万宏源公告，公司所属申万宏源证券有限公司近日收到中国证监会《关于同意申万宏源证券有限公司向专业投资者公开发行公司债券注册的批复》,2021-12-15 18:26:00,000166.SZ,000562.SZ,0,上级,eastmoney
潍柴动力,中国重汽,云财经讯，1月14日，上海交大、潍柴动力、中国重汽未来商用车创新联合研究中心签约及揭牌仪式在济南举行,2022-01-14 20:25:48,000338.SZ,000951.SZ,1,合作,10jqka
潍柴动力,中国重汽,1月14日，上海交大、潍柴动力、中国重汽未来商用车创新联合研究中心签约及揭牌仪式在济南举行,2022-01-14 20:26:00,000338.SZ,000951.SZ,0,合作,eastmoney
民生控股,泛海控股,云财经讯，民生控股公告，董事会同意将持有的泛海控股股份有限公司境外附属公司泛海控股国际发展第三有限公司发行的美元债372万份(面值372万美元)向香港市场之独立第三方转让，转让价格不低于票面价值的78%(含78%)，具体事宜授权公司管理层负责实施,2022-02-13 17:23:26,000416.SZ,000046.SZ,0,未知Unknown,10jqka
丽珠集团,健康元,【丽珠集团解析新冠疫苗研发重大进展：序贯加强免疫效果好】日前，健康元(600380)和旗下控股的上市公司丽珠集团(000513)双双发布公告称，公司控股附属公司珠海市丽珠单抗生物技术有限公司与中国科学院生物物理研究所合作研发的“重组新型冠状病毒融合蛋白疫苗”(简称“V-01”)已完成序贯加强Ⅲ期临床试验的中期主数据分析，并获得了关键性数据,2022-02-20 18:09:58,000513.SZ,600380.SH,0,上级,yuncaijing
渝开发,金地集团,物业管理板块走强，渝开发涨停，金地集团、保利发展、招商积余跟涨,2021-12-20 09:36:50,000514.SZ,600383.SH,1,同涨,10jqka
岭南控股,九华旅游,景点及旅游板块持续下挫，雪松发展跌近8%，岭南控股、长白山、九华旅游跟跌,2022-02-11 14:17:55,000524.SZ,603199.SH,1,同跌,yuncaijing
靖远煤电,远兴能源,煤炭概念午后持续走弱，靖远煤电跌超6%，远兴能源、山西焦煤、晋控煤业跟跌,2022-01-14 13:06:00,000552.SZ,000683.SZ,1,同跌,eastmoney
泸州老窖,贵州茅台,整体来看，消费股再次成为公募基金青睐的投资方向，基金对于泸州老窖、贵州茅台的持股市值增加最多；医药股则成为公募基金减持的主要方向,2022-01-25 07:21:00,000568.SZ,600519.SH,1,同行,yuncaijing
长春高新,海尔生物,Wind数据显示，仅12月就有6只医药主题基金计划发行，此前遭遇重挫的个股重新回到基金经理视野，葛兰四季度大幅加仓长春高新，海尔生物等个股,2021-12-06 06:37:15,000661.SZ,688139.SH,0,未知Unknown,eastmoney
智度股份,国光电器,云财经讯，智度股份消息，日前，智度股份与国光电器共同投资设立元宇宙合资公司广州智度宇宙技术有限公司，该公司打造的国内首个艺术元宇宙社区——“Meta彼岸”，将于2月18号开启内测,2022-02-18 11:28:28,000676.SZ,002045.SZ,1,合作,yuncaijing
京东方,中兴通讯,据悉，共有13家中国企业进入全球PCT国际专利申请人排行榜前50位，包括华为、OPPO、京东方、中兴通讯、vivo、大疆、腾讯、小米等,2022-02-12 19:20:00,000725.SZ,000063.SZ,1,同行,eastmoney
京东方,东方集团,云财经讯，据合肥日报15日消息，12月14日下午，安徽省委常委、合肥市委书记虞爱华赴京与京东方集团董事长陈炎顺等商谈合作,2021-12-15 13:10:06,000725.SZ,600811.SH,1,合作,yuncaijing
新华制药,君实生物,港股抗疫概念股走低，歌礼制药跌超7%，山东新华制药股份跌近6%，君实生物、石药集团、腾盛博药、中国中药跌近4%，四环医药跌超3%,2022-02-22 09:51:00,000756.SZ,688180,1,同跌,yuncaijing
西藏矿业,久吾高科,盐湖提锂板块下挫，藏格矿业跌超5%，西藏矿业、沃顿科技、久吾高科跟跌,2021-12-30 10:27:34,000762.SZ,300631.SZ,1,同跌,eastmoney
广发证券,长江证券,【券商高管开年迎变动：广发证券新副董事长上任，长江证券内部提拔新副总裁】虎年开年伊始，券商已迎来一批重要人事变动！这背后或将酝酿业务的变阵,2022-02-12 10:10:37,000776.SZ,000783.SZ,1,同行,yuncaijing
云铝股份,中国铝业,【云铝股份披露定增结果：中国铝业获配约3.2亿元】云铝股份12月26日晚间公告披露定增结果，本次发行股份约3.4亿股，定增发行价格为8.83元/股，募集资金总额约为30亿元，其中，中央企业乡村产业投资基金股份有限公司获配约5亿元，中国铝业获配约3.2亿元,2021-12-26 18:29:44,000807.SZ,601600.SH,1,被增持,yuncaijing
启迪环境,绿茵生态,指数午后开盘急挫，随后震荡盘整，钴、锂电池、贵金属等多板块持续活跃，环保概念全天涨幅居前，启迪环境、绿茵生态等10股涨停，机场航运、教育板块延续弱势，景点及旅游全天领跌，三市个股跌多涨少，涨停股近60家，赚钱效应一般,2022-02-17 15:00:00,000826.SZ,002887.SZ,1,同涨,10jqka
中嘉博创,吴通控股,通信服务板块开盘走强，中嘉博创涨停，梦网科技、吴通控股、线上线下跟涨,2021-12-08 09:30:00,000889.SZ,300292.SZ,1,同涨,yuncaijing
嘉凯城,中信证券,【嘉凯城：广州凯隆拟被动减持不超6%股份】嘉凯城公告，公司持股5%以上股东广州凯隆与中信证券开展股票质押式回购交易业务，该业务已到期且债务未偿还完毕，广州凯隆所持公司股份存在因平仓导致被动减持的风险，拟计划通过集中竞价交易、大宗交易等方式减持公司股份合计不超过1.08亿股（占公司总股本的6%）,2021-12-29 20:05:07,000918.SZ,600030.SH,1,被减持,10jqka
海信家电,海尔智家,港股家电板块走低，海信家电跌近6%，JS环球生活跌超4%，TCL电子、海尔智家跌超2%,2021-12-29 13:05:00,000921.SZ,600690.SH,1,同跌,eastmoney
冀中能源,华北制药,【中国首个重组全人源抗狂犬病毒单克隆抗体投放市场】河北省首个获批上市的一类生物药——奥木替韦单抗注射液，经过冀中能源集团所属子公司华北制药17年研发，2月12日正式上市发布,2022-02-12 11:18:56,000937.SZ,600812.SH,1,上级,yuncaijing
中国重汽,中联重科,港股重型机械股走高，中国重汽涨超16%，中联重科涨超5%，第一拖拉机股份涨近4%,2021-12-13 09:59:00,000951.SZ,000157.SZ,1,同涨,10jqka
中国重汽,中联重科,港股重型机械股走高，中国重汽(03808.HK)涨超7%，中联重科(01157.HK)涨超4%，中国龙工(03339.HK)跟涨,2022-01-06 13:40:26,000951.SZ,000157.SZ,1,同涨,10jqka
中国重汽,中联重科,港股重型机械股走高，中国重汽涨近5%，中国龙工涨超2%，中联重科涨近2%,2022-01-07 10:32:00,000951.SZ,000157.SZ,1,同涨,10jqka
中国重汽,海螺水泥,建材水泥股、工程基建股大涨，中国重汽飙涨逾22%，中国建材、海螺水泥均涨超6%,2021-12-13 12:06:54,000951.SZ,600585,1,同涨,10jqka
锡业股份,罗平锌电,有色金属板块中，锡业股份、罗平锌电等公司相继发布2021年业绩预告,2022-01-27 02:23:33,000960.SZ,002114.SZ,1,同行,10jqka
盈峰环境,中联重科,【盈峰环境：全资子公司中标两个项目合计约6.56亿元】盈峰环境公告，全资子公司长沙中联重科环境产业有限公司收到两个项目的中标合作通知，中标总额预计为6.56亿元,2021-12-16 16:18:15,000967.SZ,000157.SZ,0,供应,yuncaijing
安泰科技,北方稀土,安泰科技在互动平台表示，公司目前稀土永磁制品产能5500吨，今年公司与北方稀土组建合资公司，“十四五”将建设万吨级的高端稀土永磁制品产业项目,2021-12-07 13:48:00,000969.SZ,600111.SH,1,合作,yuncaijing
华铁股份,山东高速,华铁股份公告，公司与山东高速集团有限公司签署战略合作协议，双方同意在山东高速集团权属企业负责运营管理的178对高速公路服务区及未来新建高速公路服务区（含停车区）内就给水卫生系统相关业务探索合作,2021-12-01 18:45:00,000976.SZ,600350.SH,1,合作,10jqka
华邦健康,凯盛新材,云财经讯，华邦健康(002004)在互动平台表示，公司控股子公司凯盛新材是全球最大氯化亚砜生产企业，年产能15万吨，在动力电池领域中，氯化亚砜可以作为生产双氟磺酰亚胺锂（LiFSI）的原料,2021-11-26 15:14:43,002004.SZ,301069,1,上级,eastmoney
华邦健康,凯盛新材,华邦健康在互动平台表示，公司控股子公司凯盛新材是全球最大氯化亚砜生产企业，年产能15万吨，在动力电池领域中，氯化亚砜可以作为生产双氟磺酰亚胺锂（LiFSI）的原料,2021-11-26 15:15:00,002004.SZ,301069,0,上级,eastmoney
精功科技,吉林化纤,精功科技：公司与吉林化纤正式签署编号为GFTHX211228的《碳化线装置购销合同》，合同总金额为6.80亿元，公司将向吉林化纤提供4条碳纤维生产线,2021-12-28 17:38:46,002006.SZ,000420.SZ,1,合作,eastmoney
