label,name,embeddings
company,603297,"[-0.05139599367976189, -0.1681499183177948, -0.1260889768600464, 0.23980994522571564, -0.09159617125988007, -0.02228330820798874, 0.07351807504892349, 0.6239347457885742, -0.13004685938358307, -0.4553622007369995, 0.6768175959587097, -0.32421860098838806, 0.0683363825082779, -0.08812759071588516, -0.029683653265237808, -0.030040059238672256, 0.06757815182209015, -0.03468954935669899, 0.13905996084213257, 0.6929874420166016, -0.05842561274766922, 0.058509331196546555, 0.6160088181495667, 0.07985125482082367, 0.04681254178285599, 0.1376221776008606, -0.09576565772294998, -0.04900630936026573, 0.0941888764500618, 0.018465107306838036, 0.28744709491729736, 0.17771238088607788, -0.6170009970664978, -0.46844008564949036, -0.2511805295944214, 0.3858850300312042, -0.23029522597789764, 0.17864741384983063, 0.7586379051208496, 0.2743546664714813, 0.6293571591377258, -0.4238344132900238, 0.31008589267730713, -0.1781250685453415, 0.09163984656333923, -0.01690717414021492, 0.028645973652601242, -0.08491361141204834, -0.23233449459075928, 0.4796323776245117, 0.40688103437423706, 0.5619189143180847, 0.2977833151817322, 0.3531818985939026, 0.053842008113861084, -0.2378394603729248, 0.4445885121822357, -0.16593901813030243, 0.6397008299827576, -0.11962011456489563, 0.48542124032974243, -0.3033464252948761, 0.18499784171581268, 0.07021375745534897]"
company,2668,"[0.6711965203285217, -0.4021661877632141, -0.5478664636611938, -0.6244726181030273, -0.12706907093524933, -0.20067769289016724, -0.019146744161844254, 0.38238096237182617, -0.41585034132003784, -0.01709355041384697, 0.8329521417617798, -0.44453883171081543, -0.226542130112648, 0.27339303493499756, 0.3535878658294678, 0.8307304382324219, -0.15385784208774567, -0.32902607321739197, -0.010870864614844322, -0.2726350724697113, -0.6419083476066589, -0.25970980525016785, 0.47080403566360474, 0.6053434014320374, 0.4222457706928253, -0.06913454830646515, -0.5850894451141357, -0.22387735545635223, -0.024670954793691635, 0.03646530583500862, -0.7720726132392883, 0.23281247913837433, -0.5681645274162292, -0.6024246215820312, -0.6366446018218994, 0.29855647683143616, -0.7347784042358398, -0.24917766451835632, 0.2452128827571869, 0.4912855625152588, -0.2675493359565735, 0.5934383273124695, 0.6784285306930542, -0.5323395133018494, -0.10965054482221603, 0.6970623135566711, 0.42984163761138916, 0.2173328697681427, 0.5179064273834229, 0.3755539357662201, 0.3105018436908722, 0.2689719796180725, -0.293280690908432, 0.543914258480072, 0.6649451851844788, -0.17881421744823456, 0.38793259859085083, 0.2709543704986572, 0.42339277267456055, 0.9430224895477295, -0.06403277069330215, -0.51123046875, 0.6380041241645813, -0.10347120463848114]"
company,601811,"[0.5986363291740417, 0.28822997212409973, -0.016454491764307022, 0.6368203163146973, -0.16753166913986206, 0.08494056761264801, 0.07051023840904236, 0.08674655109643936, -0.2881743609905243, 0.055080022662878036, 0.2965570092201233, -0.3348906636238098, 0.31153690814971924, -0.26984530687332153, 0.1719426065683365, 0.4091009497642517, -0.050663575530052185, -0.10889557003974915, 0.139794260263443, 0.05204571783542633, 0.05342290922999382, -0.29545095562934875, 0.6304954290390015, 0.16071197390556335, 0.5126653909683228, 0.030554810538887978, 0.16113023459911346, -0.473991334438324, -0.16447634994983673, 0.02187323570251465, 0.48897454142570496, 0.1787809282541275, -1.2133536338806152, -0.42597612738609314, -0.19264501333236694, 0.5712845921516418, -0.5790071487426758, 0.4730936288833618, -0.18871420621871948, 0.27508625388145447, 0.362976998090744, 0.6592918038368225, -0.22402435541152954, -0.7282525897026062, -0.5841169357299805, -0.08771300315856934, -0.4667321443557739, 0.1980672925710678, -0.0693795382976532, -0.037536974996328354, 0.9428276419639587, 0.1816054880619049, 0.39564862847328186, 0.4120006859302521, 0.45079994201660156, -0.4723563492298126, -0.1521996110677719, 0.5395484566688538, -0.3553942143917084, 0.4382685720920563, 0.4328671097755432, -0.34506672620773315, 0.5922139883041382, 0.24815447628498077]"
company,601595,"[-0.3164527416229248, -0.28089505434036255, 0.370970755815506, 0.9435716271400452, 0.36314448714256287, 0.27068519592285156, 0.8042231202125549, 0.09923074394464493, -0.6219603419303894, 0.014556003734469414, -0.27310872077941895, -0.13579918444156647, 0.2557738125324249, 0.021919013932347298, 0.5633565783500671, 0.500586986541748, -0.1178971379995346, -0.30479007959365845, 0.7793869972229004, -0.029803453013300896, -0.229575514793396, 0.02384485863149166, 0.19489707052707672, -0.5187544226646423, 0.6561598181724548, -0.32317692041397095, 0.2582269012928009, 0.47306737303733826, 0.07277864962816238, 0.3461361229419708, 0.16837354004383087, 0.06708987057209015, -0.8188498020172119, -0.4901333153247833, 0.6863062381744385, 0.35452571511268616, 0.08132139593362808, 0.1713811159133911, 0.3039928376674652, 0.32860448956489563, 0.0864221379160881, 0.20225949585437775, 0.3504582643508911, -0.26008036732673645, 0.056940484791994095, 0.13722042739391327, 0.6172856688499451, 0.3250870108604431, -0.008419433608651161, 0.6247009634971619, 0.16815626621246338, -0.20767585933208466, 0.3279351592063904, 0.5992871522903442, 0.9848784804344177, 0.31210821866989136, 0.11566154658794403, 0.2309177666902542, -0.5160135626792908, 0.5633395910263062, 0.3648912310600281, -0.517016589641571, -0.42922458052635193, -0.25249436497688293]"
company,600559,"[0.4066178798675537, -0.3860849440097809, 0.24739034473896027, 0.2611052989959717, -0.42221176624298096, -0.8178164958953857, 0.49988827109336853, 0.10497957468032837, -1.085478663444519, 0.5843278169631958, 0.09391899406909943, -0.4630894660949707, -0.4652552306652069, 0.1723138689994812, 0.8827071785926819, 0.601883053779602, 0.8578079342842102, 0.11775937676429749, 0.19070835411548615, 0.4941539466381073, 0.14818930625915527, 0.009771190583705902, 0.0923558920621872, 0.014575970359146595, 0.7837145328521729, -0.19475732743740082, 0.20165157318115234, -0.3722343146800995, 0.12875455617904663, 0.5070628523826599, 0.4078582227230072, -0.04449246823787689, -1.1189954280853271, -0.22605487704277039, -0.21672698855400085, 0.1522720903158188, -0.4192788004875183, 0.2476441115140915, -0.017591632902622223, 0.8555428981781006, 0.31776633858680725, 0.07200418412685394, 0.3187471032142639, 0.23027674853801727, -0.39363569021224976, 0.4051468074321747, -0.49645671248435974, -0.5694915652275085, 0.05413556098937988, 0.4288748502731323, 0.6168530583381653, 0.45438212156295776, 0.8066154718399048, 1.0341671705245972, 0.19728665053844452, 0.010489212349057198, 0.044420115649700165, 0.7191072702407837, -0.2944830060005188, 0.6967580318450928, 0.32685670256614685, -0.48918968439102173, -0.061129070818424225, 0.36119022965431213]"
company,601099,"[0.21933652460575104, -0.15925230085849762, 0.6241886615753174, 0.32456305623054504, 0.1193753182888031, -0.4405357539653778, 0.5825274586677551, -0.09648323804140091, -0.6766785383224487, 0.4514347016811371, 0.5137814283370972, 0.3948398530483246, -0.08388425409793854, -0.11621969938278198, 0.0796775221824646, 0.37211549282073975, 0.27063795924186707, 0.49292904138565063, 0.8058807253837585, 0.22748881578445435, 0.48091569542884827, -0.23603494465351105, 0.5831420421600342, -0.6208416223526001, 0.2821597754955292, 0.2756134569644928, -0.06904367357492447, -0.23874136805534363, -0.3665965795516968, 0.45955851674079895, 0.6932649612426758, 0.2966451048851013, -1.1101068258285522, -0.21629837155342102, -0.19263799488544464, -0.213314950466156, -0.3844437003135681, 0.6305338740348816, 0.39877617359161377, 0.2799839973449707, 0.22349311411380768, 0.6745790243148804, -0.07332891970872879, -0.19879648089408875, 0.1915549337863922, 0.5282812118530273, -0.2800947427749634, 0.0127584058791399, -0.1059333086013794, 0.10393635183572769, 0.8109577894210815, 0.3549121916294098, 0.6697932481765747, 0.5242140293121338, 0.05564555153250694, -0.16403509676456451, -0.10302778333425522, 0.930120587348938, 0.16506795585155487, 0.197000652551651, 0.37897953391075134, -0.43236464262008667, -0.03842245414853096, 0.6622720956802368]"
company,603708,"[0.3426457941532135, -0.2927009165287018, -0.13689224421977997, 0.005875044036656618, 0.40877118706703186, -0.2474142462015152, 0.14968951046466827, 0.5660812854766846, -0.4322638213634491, 0.8643547296524048, 0.3739970326423645, -0.22521276772022247, 0.20080411434173584, -0.0811963751912117, 0.412978857755661, 0.7295655012130737, 0.4175398051738739, -0.09803654253482819, -0.4356120526790619, 0.09591376036405563, 0.7429707646369934, 0.2786296308040619, 0.006432204507291317, 0.02363869734108448, 0.3674769401550293, -0.6406964659690857, 0.12838932871818542, -0.2651643753051758, -0.13209019601345062, 0.11849956959486008, 0.013192715123295784, -0.4848792552947998, -0.18389326333999634, -0.22547215223312378, -0.5652866959571838, 0.2969883680343628, 0.207158625125885, -0.11464008688926697, 0.6067094802856445, 0.39239293336868286, -0.2148403525352478, -0.05176721513271332, 0.24051515758037567, -0.3785509467124939, -0.4573439061641693, 0.8231114745140076, -0.05466749519109726, 0.5111202597618103, 0.43862223625183105, 0.1755111664533615, 0.3433593213558197, 0.6292366981506348, -0.016777632758021355, -0.02507428638637066, 0.5657559037208557, -0.2881050109863281, -0.03759106993675232, 0.5970529317855835, 0.3104802072048187, 0.41942882537841797, 0.39087915420532227, 0.11463162302970886, -0.01240164041519165, 0.3870740830898285]"
company,600701,"[1.0432461500167847, -0.050838273018598557, -0.12294512987136841, -0.25616514682769775, 0.624835193157196, -0.04580000787973404, -0.31175878643989563, 0.49284398555755615, -0.4332584738731384, -0.38281920552253723, 0.22103020548820496, -0.3192567527294159, 0.7833120226860046, -0.11182237416505814, -0.16460858285427094, 0.2380155473947525, 0.39164116978645325, 0.04807717353105545, 0.5198532938957214, -0.4419919550418854, 0.08948268741369247, -0.12441255152225494, 0.2588241398334503, -0.22851060330867767, 0.13505633175373077, -0.8752552270889282, -0.057918429374694824, -0.22643151879310608, -0.27078667283058167, -0.017351720482110977, 0.32323870062828064, -0.17776507139205933, -0.9454574584960938, -0.7300593256950378, -0.10439589619636536, -0.2108372151851654, -0.4873090386390686, 0.21033011376857758, 0.5810822248458862, 0.6201590299606323, -0.502848744392395, 0.48863109946250916, 0.08416636288166046, -0.6272721290588379, -0.375860333442688, 0.14326992630958557, -0.4080592393875122, -0.15650929510593414, -0.019980043172836304, 0.3437367379665375, -0.7006532549858093, 0.6958659887313843, -0.029919855296611786, 0.4393703043460846, 1.1339279413223267, 0.3567832112312317, 0.2018665373325348, 0.3564653992652893, -0.13922446966171265, 0.8876277208328247, 0.12170704454183578, -0.13944031298160553, -0.09442434459924698, -0.1795395314693451]"
company,600683,"[0.08763688057661057, -0.8398241400718689, 0.2523718774318695, 0.13625743985176086, -0.046450525522232056, -0.7384235858917236, 0.7079785466194153, 0.5477255582809448, -0.7916814684867859, 0.6413023471832275, 0.46009013056755066, 0.2896973788738251, 0.08787684142589569, -0.26372042298316956, 0.6758213639259338, 0.07815094292163849, 0.49554872512817383, 0.08733979612588882, 0.46835896372795105, -0.274213045835495, -0.04242481663823128, -0.700806200504303, 0.41420426964759827, -0.019288258627057076, 0.6626522541046143, 0.1859772801399231, 0.10823750495910645, 0.21906693279743195, 0.08954577893018723, -0.31376758217811584, -0.27033576369285583, 0.41500502824783325, -0.695783257484436, 0.039395522326231, 0.22656388580799103, 0.5704947710037231, 0.2787465453147888, -0.032589368522167206, 0.34091469645500183, -0.03119589202105999, 0.098145492374897, 0.9349432587623596, -0.2484467476606369, 0.03704417869448662, -0.022636653855443, 0.2818748950958252, 0.4794676899909973, 0.2048960030078888, 0.08399655669927597, 0.9530510902404785, 0.05128188803792, -0.4596625566482544, 0.6267050504684448, 1.178134799003601, 0.6424968242645264, 0.3877364695072174, 0.1973421722650528, -0.24263392388820648, -0.3710181415081024, 0.011872244998812675, 0.8989421129226685, 0.1546110212802887, 0.13013856112957, 0.43081900477409363]"
company,688012,"[-0.5863713622093201, -0.11650759726762772, 0.2522299289703369, 0.7333954572677612, 0.23029470443725586, 0.3180844783782959, 0.714337944984436, -0.15146903693675995, -0.5426883697509766, -0.016828173771500587, -0.016827968880534172, -0.003743306268006563, 0.24842308461666107, 0.2039663940668106, 0.37648382782936096, 0.2844810485839844, -0.12132389098405838, -0.09232287108898163, 0.9334388971328735, -0.013908781111240387, -0.26984649896621704, -0.015039719641208649, 0.16167007386684418, -0.4533490538597107, 0.45793095231056213, -0.3082771897315979, -0.0844351276755333, 0.36771416664123535, 0.08094123750925064, 0.31422388553619385, 0.27748510241508484, 0.11962341517210007, -0.9140061736106873, -0.6034094095230103, 0.6526557207107544, 0.5487154126167297, 0.07224305719137192, 0.2619785964488983, 0.1684207320213318, 0.2621539831161499, 0.4850795865058899, 0.14734740555286407, 0.03774172440171242, -0.5071263909339905, 0.2670333683490753, 0.06934414058923721, 0.5813769102096558, 0.34441888332366943, -0.010858078487217426, 0.662940502166748, 0.16510185599327087, 0.3713639974594116, 0.20953261852264404, 0.4563528895378113, 0.8179004192352295, 0.3006458282470703, 0.6684595346450806, 0.27029532194137573, -0.13508598506450653, 0.7241382598876953, 0.29641640186309814, -0.48146599531173706, -0.5865362286567688, -0.16143755614757538]"
