label,name,embeddings
company,603297,"[0.29957905411720276, -0.03664732351899147, 0.013644827529788017, 0.27715152502059937, -0.43595975637435913, 0.11947402358055115, 0.3048110902309418, 0.47899675369262695, -0.3262229859828949, -0.2154730260372162, 0.2896808981895447, -0.19220228493213654, 0.3139696717262268, -0.07943486422300339, -0.06879986077547073, -0.14181767404079437, -0.027479859068989754, -0.45165619254112244, 0.09935026615858078, 0.3655116558074951, -0.062056418508291245, 0.29459893703460693, 0.17728546261787415, 0.2992088794708252, -0.11503276973962784, 0.2954787015914917, 0.208065927028656, 0.08085639029741287, 0.3003006875514984, -0.1300058811903, 0.3806542456150055, 0.16722619533538818, -0.795410692691803, -0.5614317655563354, -0.06760264933109283, 0.5622930526733398, 0.018573271110653877, 0.03206591680645943, 0.6482388973236084, 0.5413352847099304, 0.41457101702690125, -0.49433913826942444, 0.17197059094905853, -0.2558142840862274, -0.0005499585531651974, 0.13101007044315338, -0.19007128477096558, -0.39112117886543274, -0.09630455076694489, 0.40809959173202515, 0.17513269186019897, 0.34908464550971985, 0.2687699496746063, 0.5819370746612549, -0.054745279252529144, -0.10415396839380264, 0.5161153674125671, -0.2134416699409485, 0.6347540616989136, -0.34898149967193604, 0.5100345015525818, 0.005478960461914539, 0.15853196382522583, 0.27536487579345703]"
company,2668,"[0.5190351605415344, -0.23298203945159912, -0.36562380194664, -0.2565665543079376, -0.3051951825618744, -0.29335275292396545, -0.255691260099411, -0.12721048295497894, -0.37588196992874146, -0.5030300617218018, 1.1196032762527466, -0.37648674845695496, -0.1257370114326477, 0.4615670442581177, 0.058878473937511444, 0.5459852814674377, -0.29926010966300964, -0.5792760252952576, 0.1516660898923874, -0.0794486254453659, -0.6791622638702393, -0.09257333725690842, 0.1968311369419098, 0.5775998830795288, 0.1291157603263855, -0.20656819641590118, -0.6081783771514893, -0.3148156404495239, -0.2208767682313919, 0.1395493745803833, -0.30339619517326355, 0.08857925981283188, -0.43290024995803833, -0.5854835510253906, -0.5263246893882751, 0.7243149280548096, -0.5096639394760132, 0.1964048445224762, 0.2168126106262207, 0.6411876678466797, -0.07460982352495193, 0.08606477081775665, 0.5694485306739807, -0.6521572470664978, 0.18505273759365082, 0.24197924137115479, 0.20697414875030518, -0.2127373218536377, 0.44203320145606995, 0.3100550174713135, 0.5038241147994995, -0.0792718455195427, -0.5192946791648865, 0.4251191318035126, 0.45087072253227234, -0.5990012884140015, 0.02376018464565277, -0.3776070475578308, 0.023176005110144615, 0.46960246562957764, -0.02815990149974823, -0.43027758598327637, 0.6165285706520081, -0.05901039391756058]"
company,601811,"[0.559425950050354, 0.1829177886247635, -0.28242310881614685, 0.15522335469722748, -0.3997562527656555, -0.01696239970624447, 0.04882199689745903, -0.45082664489746094, -0.649382472038269, 0.3444543182849884, 0.2283201664686203, -0.4444091320037842, 0.4367579221725464, -0.43027082085609436, 0.10737903416156769, 0.2635250389575958, -0.24763356149196625, -0.6480615735054016, 0.015937939286231995, -0.33041805028915405, 0.36481985449790955, -0.20348143577575684, 0.30613043904304504, 0.08211202174425125, 0.44128182530403137, -0.02049805223941803, 0.5676411390304565, -0.6200687289237976, -0.4717305600643158, -0.4720681607723236, 0.2662315368652344, -0.27400127053260803, -0.8401970863342285, -0.4130384624004364, 0.046441856771707535, 0.5198961496353149, -0.5611908435821533, 0.19995388388633728, -0.047303132712841034, 0.5015903115272522, 0.5232558846473694, 0.23338709771633148, -0.40757739543914795, -0.5793722867965698, -0.3272264003753662, 0.09821653366088867, -0.5219149589538574, -0.380746066570282, -0.17173707485198975, -0.24647016823291779, 0.7339403033256531, 0.33179527521133423, 0.4046439826488495, 0.08206024020910263, 0.3144725561141968, -0.6411019563674927, -0.18220505118370056, 0.140402689576149, -0.2436271756887436, 0.26889801025390625, 0.32965463399887085, -0.25022217631340027, 0.6747655272483826, 0.7334511876106262]"
company,601595,"[0.13920070230960846, 0.0643819123506546, -0.020346278324723244, 0.7003360986709595, -0.009627033956348896, -0.7354132533073425, 0.6953791379928589, -0.19141755998134613, -0.05157981067895889, -0.7664167284965515, -0.6793164014816284, -0.387799471616745, 0.4046604633331299, -0.13232040405273438, 0.4419933557510376, 1.2995524406433105, -0.6127722859382629, -0.7870265245437622, 0.41631412506103516, -0.032399192452430725, 0.4631134867668152, 0.7873668670654297, 0.391930490732193, -0.019748598337173462, 0.5473091006278992, -0.04298791661858559, 0.3911522924900055, -0.09432660788297653, -0.14535966515541077, -0.140978142619133, 0.3870036005973816, -0.46896305680274963, -0.7216403484344482, -0.47621625661849976, -0.1205143928527832, 0.6748619079589844, 0.35582050681114197, 0.04223858192563057, 0.3362754285335541, -0.15365979075431824, -0.02938787080347538, -0.026313865557312965, 0.2330295294523239, -0.23081913590431213, 0.1365228146314621, 0.21761088073253632, 0.09692687541246414, -0.3311300575733185, 0.17435239255428314, -0.08003281056880951, 0.06483094394207001, 0.227536141872406, 0.03516282141208649, 0.17157289385795593, 0.7766672372817993, -0.02874266915023327, 0.12299858033657074, -0.12313119322061539, -0.5249384641647339, 0.2501172721385956, -0.012376428581774235, -0.4857724905014038, -0.06794843077659607, 0.30184701085090637]"
company,600559,"[0.08274494111537933, 0.3028930127620697, -0.6178361773490906, 0.031512390822172165, -0.8178380131721497, -0.3707689046859741, 0.12377702444791794, -0.5325543284416199, -0.31055569648742676, 0.4620671570301056, -0.5290670990943909, -0.475023478269577, 0.48295527696609497, -0.03394602984189987, -0.46197983622550964, 0.9593250751495361, -0.26440760493278503, -0.47465699911117554, 0.36108148097991943, -0.05049753934144974, 0.24908161163330078, 0.6070860028266907, 0.19253775477409363, 0.4552639424800873, 0.5145189762115479, -0.2503831684589386, 0.1206875666975975, -0.9766258597373962, 0.1173027977347374, 0.0973021611571312, -0.45916321873664856, -0.15105167031288147, -1.230450987815857, -0.7378464341163635, 0.1153327077627182, 0.7657057642936707, 0.23849067091941833, 0.3607841730117798, 0.8820011615753174, 0.5057677626609802, 0.5970562100410461, -0.4310814440250397, -0.08008132874965668, 0.009220109321177006, 0.025243202224373817, 0.7404489517211914, -0.7376764416694641, -0.1898588091135025, -0.32624122500419617, -0.011973782442510128, -0.06425441056489944, 0.434230238199234, 0.4285702109336853, -0.15423449873924255, 0.3048403561115265, 0.07364922016859055, -0.22674499452114105, 0.7638492584228516, 0.10821592062711716, -0.08736583590507507, 0.030854761600494385, -0.22589626908302307, 0.48413965106010437, 0.5212732553482056]"
company,601099,"[0.0999756008386612, 0.2823464572429657, 0.003409650642424822, -0.003942944575101137, -0.2527736723423004, -0.46976014971733093, 0.394913911819458, -0.4528807997703552, -0.5430947542190552, 0.3512146472930908, 0.25884655117988586, 0.1040988489985466, 0.4899045526981354, -0.5778651237487793, -0.6461924910545349, 0.8569486737251282, -0.09221573173999786, -0.2918908894062042, 0.5062913298606873, 0.23135459423065186, 0.7195394039154053, 0.020986407995224, 0.38441628217697144, -0.27152112126350403, 0.31349045038223267, -0.1416446566581726, 0.016293179243803024, -0.5845659971237183, -0.17041267454624176, -0.0831698551774025, 0.18674656748771667, 0.23944596946239471, -1.2101945877075195, -0.34667906165122986, -0.3577014207839966, 0.08455530554056168, 0.0768054872751236, 0.4589087963104248, 0.31405696272850037, 0.2024414837360382, 1.1835521459579468, -0.0288857389241457, -0.3780539929866791, -0.65400630235672, 0.2177167534828186, 0.6215278506278992, -0.22871463000774384, -0.2886636555194855, -0.5840997099876404, -0.3528723120689392, 0.30666497349739075, 0.6908098459243774, 0.408082515001297, 0.1045810654759407, 0.22758930921554565, -0.1521073877811432, -0.1281272917985916, 0.626828134059906, -0.16459356248378754, 0.0043154312297701836, 0.2681616544723511, -0.5476003885269165, 0.3767825961112976, 0.7404926419258118]"
company,603708,"[0.5087932348251343, -0.668450653553009, -0.3869679272174835, 0.06582695245742798, 0.17956894636154175, -0.10775651782751083, -0.012355141341686249, 0.3122161626815796, -0.38920989632606506, 0.6195709109306335, 0.23297837376594543, -0.42306575179100037, 0.07218465209007263, -0.12048814445734024, 0.2907980978488922, 0.7493229508399963, 0.31518805027008057, -0.30882692337036133, -0.3710116744041443, 0.16067184507846832, 0.8727750182151794, 0.18114899098873138, 0.03885086253285408, 0.4530935287475586, 0.7639707922935486, -0.49313026666641235, -0.10497353225946426, -0.35001692175865173, -0.08762810379266739, -0.31193140149116516, -0.24742181599140167, -0.256771445274353, 0.11751177161931992, -0.4237167537212372, -0.33527034521102905, 0.03502914309501648, 0.3444025218486786, -0.1509270966053009, 0.56462162733078, 0.2915040850639343, 0.15494541823863983, -0.34567463397979736, 0.47112318873405457, -0.4612015187740326, -0.2509319484233856, 0.8909898400306702, 0.0854559987783432, 0.4393882155418396, 0.2577133774757385, -0.027857454493641853, -0.026877377182245255, 0.48974600434303284, -0.04714030399918556, 0.03688554838299751, 0.6905659437179565, -0.16542108356952667, -0.05632774159312248, -0.3134343922138214, 0.5399277806282043, -0.13986264169216156, 0.2549504339694977, 0.04581323638558388, 0.35605913400650024, 0.6134404540061951]"
company,600701,"[1.0600639581680298, 0.002425610553473234, -0.5338695049285889, -0.4283915162086487, 0.07921481877565384, -0.48064348101615906, 0.14527273178100586, 0.36747080087661743, -0.2629278302192688, -0.2836701273918152, 0.43182453513145447, -0.25914108753204346, 0.3833460807800293, 0.2847961187362671, -0.375567764043808, 0.18193319439888, 0.20628322660923004, -0.039085447788238525, 0.009776274673640728, -0.30998629331588745, 0.5016570687294006, -0.2594914734363556, 0.015081164427101612, -0.3587811589241028, -0.3734319508075714, -0.6536928415298462, -0.015487322583794594, -0.5600691437721252, 0.11552906781435013, -0.08825314790010452, 0.031120916828513145, -0.035764146596193314, -1.0587538480758667, -0.6937218904495239, -0.6505685448646545, 0.024367328733205795, -0.33733049035072327, 0.13009332120418549, 0.8366422057151794, 0.30607151985168457, -0.11804725974798203, 0.09003199636936188, -0.20936278998851776, -0.7120757699012756, -0.0028204447589814663, 0.2455117255449295, -0.289093554019928, -0.252657413482666, 0.011083177290856838, 0.346199631690979, -0.33113545179367065, 0.6232093572616577, -0.17559748888015747, 0.32232359051704407, 0.9270766973495483, 0.1796114295721054, 0.020010625943541527, 0.006393771152943373, 0.025823229923844337, 0.49646347761154175, 0.25809934735298157, -0.16346928477287292, 0.3575458526611328, -0.16316434741020203]"
company,600683,"[0.028414331376552582, -0.5940835475921631, -0.4218966066837311, 0.38551002740859985, 0.09878240525722504, -1.1071232557296753, 0.22019560635089874, 0.04072658345103264, -0.5031949877738953, -0.06342758238315582, -0.02179674617946148, -0.2345224916934967, 0.08369923382997513, -0.4379616379737854, 0.27527475357055664, 0.8661680817604065, 0.054767150431871414, 0.0634743794798851, 0.18821601569652557, -0.10927590727806091, 0.3515975773334503, -0.08888337016105652, 0.9972640872001648, 0.5002777576446533, 0.8382129669189453, -0.3033248782157898, 0.011905831284821033, -0.36655116081237793, -0.04787227883934975, -0.8099179863929749, -0.22320407629013062, 0.10756975412368774, -0.5597047805786133, -0.2748933434486389, 0.107197105884552, 0.8824841976165771, 0.517158567905426, -0.03378022834658623, 0.24382580816745758, -0.2159511148929596, 0.7014687061309814, 0.6841450929641724, -0.36888131499290466, -0.31138187646865845, 0.5397293567657471, -0.13560572266578674, 0.1147441640496254, -0.3112405240535736, -0.04437626525759697, 0.4567739963531494, -0.21686124801635742, -0.3928591012954712, 0.05190422758460045, 0.36085182428359985, 0.9620814919471741, 0.4637010991573334, -0.6329516768455505, -0.12750878930091858, -0.5353697538375854, 0.24690937995910645, 0.40549394488334656, -0.21664951741695404, 0.6653673648834229, 0.22210295498371124]"
company,688012,"[0.05463006719946861, 0.22446408867835999, 0.30937260389328003, 0.4751376211643219, -0.41007667779922485, -0.7691789865493774, 0.8994607925415039, -0.23587550222873688, 0.26063457131385803, -0.8283114433288574, -0.37833157181739807, -0.03965403512120247, 0.32247674465179443, 0.06406985968351364, 0.5757349729537964, 0.9501900672912598, -0.6003812551498413, -0.8155848383903503, 0.4688988924026489, -0.036695148795843124, 0.05247289687395096, 0.6849302649497986, 0.5363832116127014, 0.23984938859939575, 0.687263011932373, -0.1979147493839264, 0.205283060669899, -0.002258848864585161, 0.005964348092675209, -0.18446391820907593, 0.49881067872047424, -0.4415954649448395, -0.44967567920684814, -0.4722851514816284, -0.551155149936676, 0.5591078400611877, 0.32409292459487915, 0.10804986208677292, -0.012013843283057213, 0.011864112690091133, 0.2840413749217987, -0.21012413501739502, 0.05576194450259209, -0.8773887753486633, 0.23765428364276886, 0.10941947251558304, 0.11360792070627213, -0.22702236473560333, 0.1766694188117981, 0.06289346516132355, -0.01918860711157322, 0.5043861269950867, -0.4010474383831024, 0.23418401181697845, 0.7586796283721924, 0.06820463389158249, 0.4824214577674866, -0.38929450511932373, -0.08472319692373276, 0.399610310792923, 0.008708007633686066, -0.2160833775997162, -0.31467676162719727, 0.24286043643951416]"
