label,name,embeddings
company,603297,"[0.0054933675564825535, 0.0010738716227933764, -0.24820175766944885, -0.05004453659057617, 0.23021598160266876, -0.02773088403046131, 0.15197522938251495, 0.7631285786628723, -0.49916431307792664, 0.3277718126773834, 0.5957104563713074, -0.4688640236854553, 0.5713503360748291, 0.06317847967147827, 0.06454303860664368, 0.2956482768058777, 0.1778750866651535, -0.09995855391025543, 0.5022894144058228, 0.802406370639801, 0.05379529297351837, 0.5314493179321289, 0.2756144106388092, -0.253349632024765, -0.10330647230148315, 0.4715425670146942, 0.11635059118270874, 0.022288698703050613, 0.03178378939628601, 0.32894083857536316, 0.09991677105426788, 0.1953943818807602, -0.8441389799118042, -0.7066237330436707, -0.4636313021183014, 0.2442835122346878, -0.7410401701927185, 0.09129996597766876, 0.6888887882232666, 0.2939818203449249, 0.4064030647277832, -0.21687299013137817, -0.164467915892601, -0.5669572353363037, -0.6570230722427368, 0.1929732710123062, 0.2045433223247528, 0.02556864358484745, -0.48861318826675415, 0.4288467466831207, 0.23118405044078827, 0.30878934264183044, 0.39893198013305664, 0.6050305366516113, 0.28609201312065125, 0.42100006341934204, 0.45187702775001526, -0.6735468506813049, 0.39886024594306946, -0.4078737497329712, 0.4896702170372009, 0.3029221296310425, -0.38484662771224976, 0.11215440183877945]"
company,2668,"[0.5345537066459656, -0.12628832459449768, -0.00599039439111948, -0.6595886945724487, -0.26604095101356506, 0.16538818180561066, 0.1579262912273407, 0.6230035424232483, -0.7365858554840088, -0.5116255283355713, 0.3463474214076996, -0.060262180864810944, -0.8516967296600342, 0.7318453192710876, 0.5436515808105469, 0.25098082423210144, 0.18399564921855927, -0.13158246874809265, 0.6670749187469482, -0.1475042998790741, -0.638977587223053, -0.38111579418182373, 0.469057559967041, 0.4726826548576355, 0.07662586867809296, 0.14708451926708221, -0.13291671872138977, 0.15429803729057312, 0.15637773275375366, 0.2844734787940979, -0.06072504073381424, 0.5096986293792725, -0.42587700486183167, -0.5697860717773438, -0.23479026556015015, 0.6041409373283386, -0.2294570803642273, 0.6236472725868225, -0.09397648274898529, 1.0312426090240479, 0.10323525965213776, -0.028908753767609596, 0.46257418394088745, -0.6304627656936646, -0.7241004109382629, 0.4430123567581177, 0.47211676836013794, 0.04530904069542885, 0.6259064078330994, 0.8124068379402161, 0.3732540011405945, -0.1827547699213028, -0.31365829706192017, 0.5428854823112488, 0.24648717045783997, -0.5417196154594421, 0.1834927648305893, 0.061624761670827866, 0.21664059162139893, 0.4684997498989105, 0.5806490778923035, -0.7304239273071289, 0.2780325710773468, -0.48663032054901123]"
company,601811,"[0.22204050421714783, 0.47972366213798523, -0.024823462590575218, 0.5769710540771484, -0.3664536774158478, 0.3643617331981659, 0.30661946535110474, -0.20519182085990906, -0.364516019821167, 0.3546657860279083, 0.6125308275222778, -0.20531906187534332, 0.0565960668027401, 0.06706908345222473, -0.05380644276738167, 0.6668620109558105, -0.4020334482192993, -0.1028735339641571, 0.22168739140033722, 0.14695025980472565, -0.03161713480949402, -0.2671574354171753, 0.5523468852043152, -0.2021935135126114, 0.02972603403031826, 0.10626742243766785, 0.4424465298652649, -0.49537262320518494, -0.45152348279953003, -0.23809342086315155, 0.6529244780540466, -0.12488114833831787, -0.9685268402099609, -0.12989585101604462, -0.3558701276779175, 0.2489337921142578, -0.5362587571144104, 0.2757623493671417, -0.11143653839826584, 0.09670517593622208, 0.5145902037620544, 0.6235085725784302, -0.014955630525946617, -0.7237979769706726, -0.4149929881095886, -0.2132478803396225, -0.47155654430389404, -0.1603258103132248, 0.2767297327518463, 0.28684505820274353, 0.5822153091430664, 0.07317269593477249, 0.40209487080574036, 0.6623901128768921, 0.5938911437988281, -0.3669315278530121, -0.3030119240283966, 0.19361792504787445, -0.03450590372085571, 0.55182284116745, 0.19250275194644928, -0.4889724552631378, 0.5700765252113342, 0.2577020823955536]"
company,601595,"[-0.12987323105335236, 0.04318000748753548, 0.16803935170173645, 0.4743891954421997, 0.5358470678329468, -0.07754800468683243, 0.150164395570755, 0.3126146197319031, -0.16409289836883545, 0.24899205565452576, -0.15396398305892944, 0.4917728006839752, -0.03514600545167923, -0.15355806052684784, 0.23981493711471558, 0.41928020119667053, 0.0768532082438469, 0.045621562749147415, 0.7034852504730225, 0.4043835997581482, -0.3023911118507385, -0.5861745476722717, 0.3097083270549774, 0.07912793755531311, -0.10327445715665817, -0.2237902283668518, -0.03221128135919571, -0.12312609702348709, -0.2367832064628601, 0.3702471852302551, 0.6445951461791992, 0.045125801116228104, -0.8056058883666992, -0.02806766889989376, 0.22838014364242554, 0.33187466859817505, 0.3793959319591522, 0.5010514259338379, 0.19761840999126434, 0.5106526613235474, 0.2939303517341614, 0.48797065019607544, 0.7039589881896973, -0.37833571434020996, 0.17036877572536469, 0.3583442270755768, 0.847790539264679, 0.3095596134662628, -0.12993447482585907, 0.831707775592804, 0.2577410042285919, -0.21098309755325317, 0.05900460109114647, 0.20536218583583832, 0.42830634117126465, 0.4842170476913452, -0.029057186096906662, 0.40835660696029663, 0.2345561534166336, 0.3982151448726654, 0.003404228948056698, -0.6930330991744995, -0.09702809154987335, -0.2625049650669098]"
company,600559,"[0.2609667181968689, -0.01198559906333685, -0.08849969506263733, -0.22258260846138, -0.5150889754295349, -0.7278785109519958, 0.282283753156662, 0.10255779325962067, -0.6189494729042053, 0.5787897109985352, 0.11851319670677185, -0.46988925337791443, -0.5880146026611328, 0.15881069004535675, 0.08176202327013016, 0.9337263107299805, 0.41041019558906555, 0.3262362778186798, 0.2208128571510315, 0.9231456518173218, 0.16196390986442566, 0.1334107220172882, -0.03497098758816719, -0.46804043650627136, 0.8749585747718811, -0.28520962595939636, 0.5989674925804138, -0.5249840021133423, 0.06826218962669373, 0.4632572829723358, 0.07784426212310791, -0.3951081931591034, -1.0420368909835815, -0.379717618227005, -0.31682533025741577, 0.2504650056362152, -0.25333303213119507, 0.214671790599823, -0.24774031341075897, 0.5889063477516174, 0.6367357969284058, 0.35509854555130005, 0.3436752259731293, -0.12241598218679428, -0.14886720478534698, 0.21715757250785828, -0.13076476752758026, -0.5440579652786255, 0.033294010907411575, 0.6850028038024902, 0.12025760114192963, 0.4244004786014557, 0.5292580127716064, 0.5753400921821594, 0.39269620180130005, 0.06920355558395386, -0.31797975301742554, 0.4090634882450104, -0.2252168357372284, 0.7139726877212524, -0.0543205663561821, -0.6961545944213867, 0.18963214755058289, 0.21804079413414001]"
company,601099,"[0.12175881862640381, 0.14306704699993134, 0.22172921895980835, -0.01698959432542324, -0.305473268032074, -0.1635093092918396, 0.5827620029449463, -0.2233005166053772, -0.09598807990550995, 0.34807243943214417, 0.5500640869140625, 0.3084754943847656, -0.08807986974716187, -0.3148658275604248, -0.27726125717163086, 0.31749916076660156, -0.1396978497505188, 0.5039690732955933, 0.1638077199459076, 0.47206297516822815, 0.5409873127937317, -0.09218258410692215, 0.36748209595680237, -0.6533278226852417, 0.407846063375473, -0.4598223865032196, 0.7609618902206421, -0.46786758303642273, -0.20135292410850525, 0.44787174463272095, 0.2878539264202118, 0.12015021592378616, -1.2817565202713013, -0.21948324143886566, -0.193008154630661, -0.08644866943359375, -0.4642072319984436, 0.33543065190315247, 0.4429258108139038, 0.08993518352508545, 1.020315408706665, 0.6193360686302185, -0.24419066309928894, -0.3315826952457428, 0.3046466112136841, 0.394590824842453, -0.1408206820487976, -0.3939053416252136, -0.1632879227399826, 0.22469449043273926, 0.2569448947906494, 0.40692460536956787, 0.4516368806362152, 0.23720069229602814, 0.6745152473449707, -0.0149309067055583, -0.259309321641922, 0.38420969247817993, 0.10443498939275742, 0.2118801772594452, 0.1621650904417038, -0.25827839970588684, 0.7821407318115234, 0.20202338695526123]"
company,603708,"[0.4053499400615692, -0.3117571175098419, 0.03127002716064453, 0.02165740355849266, 0.2366952896118164, -0.04028730094432831, 0.17822152376174927, 0.35861679911613464, -0.4477872848510742, 0.8504008054733276, 0.7868038415908813, -0.015575860626995564, -0.5887778997421265, -0.2974441349506378, -0.10906563699245453, 0.5313954949378967, 0.26729270815849304, -0.15971887111663818, -0.10085639357566833, 0.3266623914241791, 0.682684600353241, 0.27502870559692383, 0.28343307971954346, 0.054628826677799225, 0.5441721081733704, -0.28426650166511536, -0.06367325037717819, -0.3895685374736786, -0.03346716985106468, 0.12781886756420135, -0.3954482674598694, -0.17421488463878632, 0.03476904705166817, 0.18258561193943024, -0.34242263436317444, 0.05197768285870552, 0.23934337496757507, 0.13628454506397247, 0.8597036600112915, 0.1468825489282608, 0.19877956807613373, -0.36474186182022095, 0.7120131254196167, -0.8020366430282593, -0.4002678394317627, 0.6883941888809204, 0.22218318283557892, 0.18769901990890503, 0.02675657533109188, 0.1542438417673111, 0.5989929437637329, 0.6874809265136719, 0.33361244201660156, 0.0966385081410408, 0.6567696928977966, -0.5068496465682983, 0.09263601899147034, 0.035787761211395264, 0.3282565176486969, 0.31009066104888916, 0.6164383888244629, -0.04472772404551506, 0.2553684115409851, 0.45910412073135376]"
company,600701,"[0.35362303256988525, 0.027960918843746185, -0.40370479226112366, -0.35456013679504395, 0.30790188908576965, -0.23478201031684875, -0.21125726401805878, 0.18697862327098846, -0.38391798734664917, -0.11484682559967041, 0.14477607607841492, -0.028059007599949837, -0.14195939898490906, 0.38229840993881226, -0.2493939995765686, 0.2257174849510193, 0.5201094150543213, 0.3675425350666046, 0.6968415379524231, -0.1171385645866394, 0.2712019085884094, -0.3382147550582886, 0.4006078541278839, -0.6234715580940247, 0.04251488670706749, -0.5764069557189941, -0.2742690145969391, -0.22140879929065704, -0.2049897164106369, 0.21050195395946503, 0.04832600802183151, -0.10021176934242249, -0.836176335811615, -0.6923624277114868, -0.3422850966453552, -0.29893437027931213, -0.6455971002578735, 0.3115774393081665, 0.7104950547218323, 0.6881588697433472, -0.17560888826847076, 0.21553945541381836, -0.1502232700586319, -1.1459062099456787, -0.03663935884833336, 0.13747043907642365, -0.5375568270683289, -0.5204548239707947, 0.013276143930852413, 0.6858385801315308, -0.24021373689174652, 0.3352419435977936, 0.01602831669151783, 0.279989629983902, 0.7906347513198853, 0.4831475019454956, -0.0745086520910263, -0.04494073614478111, 0.33392977714538574, 0.5760555863380432, 0.22701482474803925, -0.44027042388916016, -0.0546095035970211, -0.23670579493045807]"
company,600683,"[-0.46696773171424866, -0.44909271597862244, 0.3968949317932129, -0.06791124492883682, -0.012629780918359756, -0.7765666842460632, -0.020461486652493477, 0.5946758389472961, -0.5925089716911316, -0.043275438249111176, 1.0589261054992676, 0.06945102661848068, -0.3928367793560028, -0.10313103348016739, 0.3216632604598999, 0.18580931425094604, 0.41424649953842163, 0.3216656744480133, 0.802023708820343, 0.19156336784362793, 0.05304636061191559, -0.20541980862617493, 0.7020700573921204, -0.09866461157798767, 0.48347193002700806, 0.18487851321697235, -0.05072934180498123, -0.14133508503437042, -0.06592676043510437, -0.08009739220142365, -0.19185513257980347, 0.5778570771217346, -0.7625762224197388, 0.10408372431993484, -0.09627597779035568, 1.0036605596542358, 0.7177337408065796, 0.24961668252944946, -0.11442737281322479, -0.4894523620605469, -0.13408313691616058, 0.9893397688865662, -0.1782161295413971, -0.33072081208229065, 0.7110084295272827, -0.010758399032056332, 0.21489958465099335, -0.25961893796920776, 0.3092142939567566, 0.5719029307365417, 0.1954442709684372, -1.0281583070755005, 0.27148595452308655, 0.8445471525192261, 0.615405261516571, -0.19851888716220856, -0.4460050165653229, 0.22860708832740784, 0.49082058668136597, 0.16191740334033966, 0.5981894731521606, -0.6117625832557678, 0.7060166001319885, -0.007371853571385145]"
company,688012,"[-0.0003746703441720456, -0.009498360566794872, 0.8102098107337952, 0.31260085105895996, 0.14498870074748993, -0.005145631730556488, 0.4065643846988678, 0.3488719165325165, -0.3118445873260498, -0.012221962213516235, 0.29080522060394287, 0.3833160698413849, -0.48983341455459595, 0.2575482726097107, 0.6099011301994324, 0.5571721196174622, 0.5046972036361694, -0.2651232182979584, 0.6998292803764343, 0.36628496646881104, 0.011768735013902187, -0.06607664376497269, 0.21050463616847992, -0.02001412771642208, 0.20298920571804047, -0.4811725318431854, -0.09424664825201035, -0.17119953036308289, -0.06554007530212402, -0.298033207654953, 0.22158443927764893, 0.07943838834762573, -0.42634066939353943, -0.7144097685813904, 0.49399399757385254, 0.2281290590763092, 1.1348850727081299, 0.9342229962348938, -0.40084025263786316, 0.6031812429428101, 0.8603135943412781, 0.2490154355764389, 0.7252666354179382, -0.569010853767395, 0.2013450413942337, 0.4638286828994751, 0.5978633165359497, 0.3597218692302704, -0.0149983586743474, 0.606665313243866, 0.3190701901912689, -0.0951460748910904, -0.21366389095783234, 0.277010053396225, 0.6672654747962952, 0.6313928365707397, 0.1778448522090912, 0.2259720265865326, 0.08978388458490372, 0.25761258602142334, 0.14903831481933594, -0.8706095814704895, -0.48800185322761536, -0.5906573534011841]"
