label,name,embeddings
company,603297,"[0.07872869074344635, 0.010490375570952892, 0.07306372374296188, 0.11389148235321045, -0.2178778201341629, -0.22529348731040955, 0.08809663355350494, 0.5590599179267883, -0.2686007022857666, -0.17701730132102966, 0.5003294348716736, -0.2795160710811615, 0.09552329778671265, 0.11267178505659103, 0.01878989115357399, 0.0724642425775528, -0.0038729163352400064, 0.25012269616127014, 0.058261435478925705, 0.2566055655479431, -0.11359298229217529, 0.517575740814209, 0.2918778359889984, -0.005542560014873743, 0.10351396352052689, 0.14072197675704956, 0.2663743495941162, -0.026622788980603218, 0.11879576742649078, -0.0659375786781311, 0.2825019657611847, 0.22584421932697296, -0.7209230065345764, -0.45574960112571716, 0.03034505806863308, 0.3923819363117218, -0.3073168098926544, 0.3676186800003052, 0.3857772648334503, 0.024184636771678925, 0.5745387673377991, -0.5334517955780029, 0.10718943923711777, 0.022439975291490555, -0.19000759720802307, -0.06553351134061813, 0.22441788017749786, -0.33614328503608704, 0.05897440388798714, 0.5573214888572693, 0.6489116549491882, 0.7027331590652466, 0.12153375893831253, 0.8367130756378174, 0.4088331162929535, 0.04371422529220581, 0.2266971915960312, 0.08968985080718994, 0.5362658500671387, -0.3415546715259552, 0.49856022000312805, -0.3431161642074585, 0.1055915355682373, 0.2306053191423416]"
company,2668,"[0.17029446363449097, -0.2830444574356079, -0.33410102128982544, -0.2196153998374939, -0.06904231011867523, -0.6415039300918579, 0.19172461330890656, 0.2820639908313751, -0.14067625999450684, -0.6962408423423767, 1.158362865447998, -0.36764323711395264, -0.07960768789052963, 0.8438242673873901, 0.11643827706575394, 0.6455271244049072, -0.3936781585216522, -0.731993556022644, 0.3365955650806427, -0.11024630069732666, -0.6660710573196411, -0.06523160636425018, -0.15033183991909027, 0.2758159041404724, 0.6132396459579468, -0.0107547203078866, -0.1622241884469986, -0.3105851709842682, -0.016254667192697525, 0.2647324502468109, -0.1941557675600052, 0.420007586479187, -0.6630893349647522, -0.6364019513130188, -0.3669194281101227, 0.6924950480461121, -0.41390174627304077, 0.12064795196056366, 0.2688131034374237, 0.7265222072601318, -0.038823310285806656, -0.21879909932613373, 0.877118706703186, -0.862315833568573, 0.035410549491643906, 0.7904188632965088, 0.6622441411018372, 0.19645467400550842, 0.5312368273735046, 0.6482815742492676, 0.3429487943649292, 0.28102752566337585, -0.3036838173866272, 0.3330899775028229, 0.4033256471157074, -0.28112301230430603, -0.23036976158618927, -0.02207835204899311, 0.07023495435714722, 0.712106466293335, 0.14861442148685455, -0.16836202144622803, 0.5768467783927917, -0.5588887333869934]"
company,601811,"[0.23235847055912018, 0.8161683082580566, -0.15676440298557281, 0.6740453839302063, -0.1123008206486702, -0.2693660259246826, 0.10635921359062195, -0.11035466194152832, -0.3642311096191406, -0.14207951724529266, 0.5328077077865601, -0.22657114267349243, 0.35765549540519714, -0.03478872776031494, 0.17677129805088043, 0.5147728323936462, -0.3767690658569336, -0.1662919968366623, 0.008283506147563457, 0.0432731956243515, -0.22370529174804688, 0.11035717278718948, 0.40026286244392395, -0.10464226454496384, 0.23050741851329803, -0.12198447436094284, 0.14710357785224915, -0.29266613721847534, -0.20808985829353333, -0.5980138182640076, 0.47668442130088806, -0.3704977333545685, -1.0364054441452026, -0.3298649787902832, -0.3074224889278412, 0.48616811633110046, -0.6311101317405701, 0.24138423800468445, -0.1578543335199356, 0.0766623467206955, 0.42049354314804077, 0.31124335527420044, -0.11385966092348099, -0.9319506287574768, -0.4355842173099518, -0.058535974472761154, -0.5596002340316772, 0.2372271716594696, 0.08576040714979172, 0.23642714321613312, 0.3961743712425232, 0.11359089612960815, 0.6406527161598206, 0.3035339117050171, 0.5554695129394531, -0.47766542434692383, -0.15457847714424133, -0.04234694316983223, -0.07742480933666229, 0.24067232012748718, 0.2266174852848053, -0.33160871267318726, 0.5645506381988525, 0.14009831845760345]"
company,601595,"[-0.08372826874256134, 0.2979122996330261, 0.30604827404022217, 0.5521630644798279, 0.6100761890411377, -0.289140522480011, 0.22599968314170837, 0.087106853723526, -0.3352341055870056, 0.137447789311409, 0.22766967117786407, 0.020875588059425354, -0.1231079027056694, 0.12115653604269028, 0.7093293070793152, 0.28013184666633606, -0.2602521479129791, -0.2358003556728363, 0.4828067123889923, 0.4091692864894867, -0.02367158979177475, 0.2102186679840088, -0.2613258957862854, -0.5647942423820496, 0.21628069877624512, -0.12367512285709381, 0.31127792596817017, 0.044688694179058075, 0.174699604511261, -0.07896775007247925, 0.4591275155544281, -0.16554483771324158, -0.9279512166976929, -0.7240986227989197, 0.3822062015533447, -0.04142043739557266, 0.073812335729599, 0.9216509461402893, 0.1052560955286026, 0.08553700894117355, 0.1375041902065277, -0.1412864476442337, 0.2909882664680481, -0.7694486975669861, 0.28145796060562134, 0.4207713305950165, -0.18967635929584503, 0.23262812197208405, -0.0873958170413971, 0.6901529431343079, 0.15188872814178467, -0.35125845670700073, 0.6681776642799377, -0.06716818362474442, 0.8903919458389282, 0.12276270240545273, -0.07716228812932968, 0.12222138047218323, -0.29924124479293823, 0.6136935353279114, -0.32943710684776306, -0.7975539565086365, -0.11971066147089005, -1.089055061340332]"
company,600559,"[-0.02302533946931362, -0.140996053814888, -0.2556172013282776, 0.143656387925148, -0.30814260244369507, -1.2482177019119263, -0.1592269390821457, -0.15298578143119812, -0.8851532340049744, 0.5752868056297302, -0.17504742741584778, -0.4019446074962616, -0.3365645110607147, -0.020001914352178574, 0.36298295855522156, 0.8841650485992432, 0.16703496873378754, 0.2096584588289261, -0.27324777841567993, 0.6325275301933289, -0.06451559066772461, 0.18036982417106628, 0.2690446078777313, -0.3143872618675232, 0.36633846163749695, -0.11748173832893372, 0.08226614445447922, -0.31704556941986084, 0.2325710952281952, 0.03733589127659798, 0.24256467819213867, -0.13281193375587463, -0.7955225706100464, -0.20039884746074677, -0.2708769142627716, 0.34325799345970154, -0.5276508927345276, 0.29680901765823364, -0.5494176745414734, 0.1930219829082489, 0.3526116907596588, -0.11421630531549454, 0.2507466971874237, -0.3456335961818695, -0.4518331289291382, 0.20974871516227722, -0.25043433904647827, -0.2770601809024811, 0.3047826588153839, 0.46349552273750305, 0.28746694326400757, 0.52177494764328, 1.0045559406280518, 0.9252793192863464, 0.5291674137115479, 0.3029192388057709, -0.49021002650260925, 0.4284805655479431, -0.050395481288433075, 1.0469424724578857, -0.03053176775574684, -0.9158437848091125, 0.6460961699485779, -0.02257058583199978]"
company,601099,"[-0.6008176207542419, 0.3004705309867859, 0.17884185910224915, 0.25885680317878723, -0.1367725431919098, -0.45803558826446533, 0.3858664929866791, -0.23614314198493958, -0.5938079953193665, 0.24342374503612518, 0.30273962020874023, 0.4068726897239685, 0.08916550874710083, -0.4603140354156494, 0.006349353585392237, 0.33357757329940796, -0.3046955168247223, 0.44837483763694763, 0.1336955726146698, 0.4231833517551422, 0.05870833247900009, -0.02714407816529274, 0.6600199341773987, -0.5816079378128052, 0.3064751923084259, 0.1252697855234146, -0.2096889317035675, 0.011860904283821583, 0.17796264588832855, -0.2927554249763489, 0.30150893330574036, 0.07625173032283783, -0.8363174796104431, -0.43176504969596863, 0.08557165414094925, 0.051277194172143936, -0.32265374064445496, 0.5681569576263428, 0.16529203951358795, -0.33433905243873596, 0.8270454406738281, 0.6741018891334534, -0.025310326367616653, -0.6040229797363281, 0.3247698247432709, 0.49438291788101196, -0.2775613069534302, 0.009462346322834492, -0.1838650107383728, 0.05339902639389038, 0.7535474896430969, 0.22718912363052368, 0.7984384298324585, 0.6384612321853638, 0.6667119860649109, -0.2853102684020996, -0.836420476436615, 0.3189474940299988, 0.32289057970046997, 0.13020217418670654, 0.3810444474220276, -0.7411280870437622, 0.8285150527954102, 0.22532519698143005]"
company,603708,"[-0.006097893230617046, -0.37804797291755676, -0.27026450634002686, 0.25456109642982483, 0.2353629618883133, -0.060145143419504166, 0.1843276470899582, 0.5211387276649475, -0.7624978423118591, 1.0512815713882446, 0.09960636496543884, -0.07433383166790009, 0.1980440616607666, 0.09670121222734451, -0.4194278120994568, 0.7029857635498047, 0.31894636154174805, -0.051066067069768906, -0.5110344886779785, 0.08038785308599472, 0.4834836721420288, 0.1911538690328598, 0.3461012840270996, -0.34704282879829407, 0.41201215982437134, -0.4173617362976074, -0.3385063111782074, -0.3840029239654541, -0.290035218000412, -0.16339150071144104, 0.06892533600330353, -0.19317452609539032, 0.11412487924098969, -0.10599827021360397, -0.2288752794265747, 0.6204478144645691, 0.3132273256778717, -0.14551392197608948, 0.20846574008464813, -0.09043949097394943, 0.37618181109428406, -0.09653043746948242, 0.41856884956359863, -0.751382052898407, -0.3206712305545807, 0.9364710450172424, 0.05895275995135307, 0.4415181577205658, -0.06654519587755203, 0.5650204420089722, 0.32172101736068726, 0.31627219915390015, 0.6160271763801575, 0.17374983429908752, 0.7566308379173279, -0.12894566357135773, 0.009326555766165257, 0.034559279680252075, 0.3083684742450714, 0.44694989919662476, 0.6375879645347595, -0.21959257125854492, 0.34627294540405273, -0.20103301107883453]"
company,600701,"[0.7479298114776611, 0.044253870844841, -0.7848518490791321, -0.3526659607887268, -0.048203401267528534, -0.7768419981002808, -0.3052416145801544, 0.14621955156326294, -0.5306377410888672, -0.26136261224746704, 0.4185423254966736, 0.004617804195731878, -0.1496308147907257, 0.1631566733121872, -0.27910980582237244, 0.36036109924316406, 0.34153836965560913, 0.21480877697467804, 0.17009884119033813, 0.07308599352836609, 0.16674304008483887, -0.20865042507648468, 0.08235672116279602, -0.510583758354187, -0.22585360705852509, -0.29606035351753235, -0.32285940647125244, -0.0676126629114151, -0.11623958498239517, 0.27208036184310913, 0.12525992095470428, -0.21709680557250977, -0.8146448731422424, -0.7155914306640625, 0.020212598145008087, -0.053998976945877075, -0.3901550769805908, -0.07928106933832169, 0.4909564256668091, 0.5702679753303528, -0.17018744349479675, -0.12158658355474472, -0.22487086057662964, -0.9135412573814392, 0.2607108950614929, 0.23748305439949036, -0.48440155386924744, -0.33145299553871155, -0.011117183603346348, 0.36174720525741577, -0.060054924339056015, 0.3534061014652252, -0.060784269124269485, 0.07143738865852356, 0.8890111446380615, 0.6484163999557495, -0.45319244265556335, 0.1554165780544281, 0.31930914521217346, 0.634064793586731, -0.06224096193909645, -0.27247220277786255, 0.4555092453956604, -0.40748119354248047]"
company,600683,"[-0.14357256889343262, -0.5319688320159912, -0.2611483335494995, -0.15314556658267975, 0.32449185848236084, -0.7144625782966614, -0.3908647298812866, 0.9560791254043579, -0.437216579914093, 0.14575248956680298, 0.41323816776275635, -0.030102571472525597, -0.21099157631397247, -0.46206462383270264, 0.11306436359882355, -0.1758827418088913, 0.19343139231204987, 0.10452903807163239, 0.6820130944252014, 0.09286990016698837, 0.18673168122768402, -0.2746741473674774, 0.5347064137458801, -0.23065441846847534, 0.7480823993682861, 0.373274028301239, 0.04467217996716499, -0.39333006739616394, 0.7339022755622864, -0.6059547066688538, 0.0766645073890686, -0.050222188234329224, -0.7586614489555359, 0.19146296381950378, 0.21847493946552277, 0.846725583076477, 0.3865808844566345, 0.6074432730674744, 0.12356933951377869, 0.09924180060625076, 0.44379618763923645, 0.8078793287277222, -0.19617441296577454, -0.5844698548316956, 0.16101796925067902, 0.23541700839996338, -0.12027885764837265, 0.007235363125801086, 0.3135705888271332, 0.7732256650924683, -0.24857096374034882, -0.43421199917793274, 0.536873459815979, 0.19512583315372467, 0.8243260979652405, 0.7545354962348938, -0.37372469902038574, -0.3238070011138916, -0.6145803928375244, 0.48517265915870667, 0.3791266679763794, -0.23041582107543945, 0.26640936732292175, -0.6955289244651794]"
company,688012,"[-0.4306589365005493, 0.399946928024292, 0.4364761710166931, 0.23445117473602295, 0.20532432198524475, -0.45659998059272766, 0.513072669506073, -0.12871858477592468, -0.3460221290588379, -0.2730616331100464, 0.3852148652076721, 0.40693405270576477, 0.14828340709209442, 0.29623550176620483, 0.6970247626304626, 0.12134400755167007, -0.18586230278015137, -0.02807239443063736, 0.8568747639656067, 0.24934044480323792, -0.21760565042495728, 0.26762855052948, -0.5416477918624878, -0.3874400854110718, 0.21905221045017242, -0.20397555828094482, -0.04083641991019249, 0.06533611565828323, 0.04045764356851578, -0.17792196571826935, 0.48897913098335266, -0.07681755721569061, -0.8817010521888733, -0.836527407169342, 0.35439738631248474, 0.0351799875497818, 0.3701685070991516, 0.5718425512313843, 0.16717754304409027, 0.24415838718414307, 0.28918957710266113, -0.40324920415878296, 0.15759333968162537, -0.9662930965423584, 0.4758204519748688, 0.4221457839012146, -0.19778987765312195, 0.20356385409832, -0.303623229265213, 0.8405098915100098, 0.14436140656471252, 0.16415837407112122, 0.18256588280200958, 0.0077251954935491085, 0.7346533536911011, 0.39641621708869934, 0.24353918433189392, 0.14059258997440338, -0.16002635657787323, 0.7160301804542542, -0.22740817070007324, -0.7308179140090942, -0.45980510115623474, -1.0604966878890991]"
