label,name,embeddings
company,603297,"[-0.17287737131118774, 0.2652857005596161, -0.14845633506774902, 0.16007722914218903, -0.27972376346588135, -0.20403344929218292, 0.7165881991386414, 0.5867416858673096, -0.2981736660003662, -0.11148184537887573, 0.28584909439086914, -0.12646660208702087, 0.18274831771850586, -0.1727089285850525, 0.0077511947602033615, 0.08701413869857788, 0.11727841198444366, -0.154462069272995, 0.07231680303812027, 0.42958953976631165, -0.347004771232605, 0.21301953494548798, 0.597663402557373, -0.04438513517379761, 0.06869859248399734, -0.07181517034769058, 0.06923247128725052, -0.08278947323560715, 0.24668563902378082, -0.014117353595793247, 0.4383283853530884, 0.35983020067214966, -0.9322795271873474, -0.5681353807449341, -0.3395787477493286, 0.5819127559661865, -0.27428504824638367, 0.19415488839149475, 0.4006992280483246, 0.39966440200805664, 0.6629863977432251, -0.08952787518501282, 0.11747688800096512, -0.24675121903419495, 0.04449721425771713, 0.12868891656398773, 0.17277230322360992, -0.1587996482849121, -0.3490045964717865, 0.4097258448600769, 0.31426483392715454, 0.3540340065956116, 0.02934756875038147, 0.5935449600219727, 0.0933319479227066, 0.07538975775241852, 0.6423285603523254, -0.34786853194236755, 0.5695664882659912, -0.29992979764938354, 0.4688349962234497, 0.011364731937646866, 0.1560990810394287, 0.46705660223960876]"
company,2668,"[0.1626458317041397, -0.033338356763124466, -0.7276481986045837, -0.020421314984560013, -0.4060100317001343, -0.4549834132194519, 0.1542748212814331, 0.02613816224038601, -0.4383850395679474, -0.27424734830856323, 0.4340668320655823, -0.5516289472579956, -0.51070636510849, 0.31628844141960144, 0.15203537046909332, 0.6287080645561218, -0.12573851644992828, -0.5997606515884399, -0.03282817453145981, 0.11466281116008759, -0.7213714122772217, 0.04046471789479256, 0.3199562132358551, 0.5435711145401001, 0.4866999685764313, 0.16298042237758636, 0.04625891521573067, -0.5054994225502014, 0.05544007569551468, 0.11177988350391388, -0.5986272692680359, 0.4574683904647827, -0.7170273661613464, -0.7823988795280457, -0.48655185103416443, 0.7276116609573364, -0.6533233523368835, 0.18803265690803528, -0.07884416729211807, 0.46518459916114807, -0.20655672252178192, 0.21805551648139954, 0.5237055420875549, -0.44576042890548706, 0.09256158769130707, 0.4445529282093048, -0.1278582662343979, -0.48601415753364563, 0.7643765211105347, 0.06929070502519608, -0.004308693110942841, -0.05068475380539894, -0.18561893701553345, 0.5523183345794678, -0.006806016433984041, -0.25429701805114746, -0.18799786269664764, 0.06662528961896896, 0.3277268707752228, 0.07005160301923752, -0.1457725316286087, -0.3547916114330292, 0.9558134078979492, -0.40659162402153015]"
company,601811,"[0.5590412616729736, 0.04520460218191147, -0.2098136693239212, 0.3511062562465668, -0.23281174898147583, 0.5265196561813354, -0.06737954169511795, -0.5253279209136963, -0.616894006729126, 0.17888997495174408, 0.39763933420181274, -0.4809911251068115, -0.24221666157245636, -0.028865579515695572, -0.31083911657333374, 0.4876931309700012, -0.6910437941551208, -0.4141179323196411, -0.663114070892334, -0.08902604132890701, 0.37626728415489197, -0.022908156737685204, 0.5573681592941284, -0.0845823734998703, 0.34542474150657654, 0.038186248391866684, -0.07554958760738373, -1.109991192817688, -0.5923933386802673, -0.5613358616828918, 0.07601290196180344, 0.09360752254724503, -0.4879787862300873, -0.20197704434394836, -0.4196424186229706, 0.23461000621318817, -0.44177860021591187, -0.11279143393039703, 0.09743037074804306, 0.5982795357704163, 0.35640695691108704, 0.7181015014648438, -0.3661823570728302, -0.8792189955711365, -0.5639432072639465, -0.23535162210464478, -0.653316855430603, -0.6292089819908142, 0.09001190215349197, -0.1756858229637146, 0.9293882250785828, 0.4840701222419739, 0.22272448241710663, 0.5105994939804077, 0.21063672006130219, -0.5672253370285034, -0.2534262537956238, -0.3545566499233246, -0.06816799193620682, 0.3264424502849579, 0.09136411547660828, -0.6675339341163635, 0.7864102125167847, 0.26915788650512695]"
company,601595,"[-0.07197611033916473, -0.03045179322361946, 0.04172489792108536, 0.13606053590774536, 0.16481594741344452, -0.2763076424598694, 0.4325060546398163, -0.4300075173377991, 0.05208534374833107, -0.4122379422187805, -0.014364334754645824, 0.3457236588001251, 0.10818939656019211, 0.24373780190944672, 0.710376501083374, 1.0474646091461182, -0.23497995734214783, -0.3600217401981354, -0.043447479605674744, -0.055203236639499664, 0.09703051298856735, -0.28088754415512085, 0.5946470499038696, -0.43392083048820496, 0.534071147441864, -0.37506741285324097, 0.1985049545764923, 0.06611757725477219, 0.11498687416315079, -0.17888537049293518, -0.16096149384975433, 0.22684884071350098, -0.6747318506240845, -0.2012096494436264, -0.2520405948162079, 0.31735268235206604, 0.1787707805633545, 0.4542340338230133, 0.08495209366083145, 0.015650324523448944, 0.4513755440711975, 0.058648381382226944, 0.08178990334272385, -0.7258779406547546, 0.22317172586917877, 0.17986661195755005, 0.3215101659297943, -0.24734584987163544, 0.28799712657928467, 0.20620062947273254, 0.40928739309310913, 0.2633107602596283, -0.3064696490764618, 0.44654443860054016, 0.2434317171573639, 0.12307681143283844, 0.28035876154899597, -0.16405749320983887, -0.28588786721229553, 0.1186002567410469, -0.2696232199668884, -0.7315655946731567, 0.039117977023124695, 0.02624381333589554]"
company,600559,"[0.5809293985366821, -0.08580224961042404, -0.11994917690753937, 0.055054921656847, -0.4935257136821747, -0.9809198975563049, 0.36665788292884827, -0.09271316975355148, -0.7227299809455872, 0.8289083242416382, -0.37741830945014954, -0.691028892993927, -0.5422146320343018, 0.2566576898097992, 0.35163795948028564, 0.9070789217948914, -0.12755078077316284, -0.4514123201370239, -0.2822759747505188, 0.7126270532608032, 0.2807391583919525, 0.3141169250011444, 0.11339490860700607, 0.14366835355758667, 0.6830346584320068, 0.2688423991203308, 0.13766302168369293, 0.02125389687716961, 0.5837161540985107, 0.3102927803993225, -0.20323415100574493, 0.0010424666106700897, -0.7830690741539001, 0.13732507824897766, -0.6191443800926208, -0.4297902286052704, -0.26932114362716675, 0.343902051448822, 0.03692794218659401, 1.0554827451705933, 0.13532982766628265, -0.3401040732860565, 0.2956058382987976, -0.7653090357780457, -0.42051589488983154, -0.11501464247703552, -0.3098163306713104, -0.7279151678085327, 0.11225106567144394, 0.2202814668416977, 0.2966655194759369, 0.5073809623718262, 0.3059045076370239, 0.8946401476860046, 0.3034696578979492, -0.13629257678985596, 0.2487514317035675, -0.40777572989463806, -0.15444524586200714, 0.5375201106071472, 0.015214146114885807, -1.0659639835357666, -0.1569269597530365, -0.24492758512496948]"
company,601099,"[0.1401486098766327, 0.009465470910072327, 0.5212024450302124, 0.04558636248111725, 0.019161146134138107, -0.5603565573692322, 0.09905338287353516, 0.4764255881309509, -0.23724862933158875, 0.4061436057090759, 0.5750057101249695, -0.12450345605611801, 0.6176958680152893, -0.725678563117981, -0.15499110519886017, 1.0490000247955322, -0.2474491149187088, 0.08464760333299637, -0.12447548657655716, 0.19947440922260284, 0.4980194866657257, 0.16961556673049927, 0.8493850231170654, -0.33637771010398865, 0.2394997626543045, -0.07137317955493927, 0.3855181634426117, 0.5325889587402344, 0.2607019245624542, 0.3297644257545471, -0.26463478803634644, 0.6197792887687683, -1.5100890398025513, 0.43790796399116516, -0.512573778629303, -0.9730237722396851, -0.471515029668808, -0.1915733516216278, 1.3027657270431519, 0.525802493095398, 0.5193666219711304, 0.3572438359260559, 0.3868273198604584, -0.6730830669403076, -0.06610104441642761, 0.9015384912490845, 0.17391188442707062, 0.19227078557014465, 0.5320690274238586, -0.02905697003006935, 0.503226637840271, -0.3039626479148865, -0.4734852612018585, 0.5734374523162842, 0.8609685897827148, 0.14351601898670197, 0.4272674024105072, 0.05648628994822502, -0.3722486197948456, -0.4152975380420685, 0.4633727967739105, -0.2841324508190155, 0.9337519407272339, 0.6305408477783203]"
company,603708,"[0.3113728165626526, -0.3193206191062927, 0.017823368310928345, -0.1774398684501648, -0.08103804290294647, -0.3303058445453644, 0.3209112882614136, 0.28072643280029297, -0.4100882112979889, 0.224403515458107, 0.4343763291835785, -0.16428139805793762, -0.16521264612674713, 0.1544964611530304, 0.5016390681266785, 0.45519551634788513, -0.09926391392946243, -0.4506430923938751, -0.28804606199264526, 0.28472402691841125, 0.5402871966362, 0.24749155342578888, 0.06181188300251961, 0.15692827105522156, 0.42482686042785645, -0.3977157771587372, -0.06582731008529663, -0.19201849400997162, 0.1251554787158966, -0.19158075749874115, -0.00487954868003726, -0.42306965589523315, -0.19973619282245636, -0.3326795995235443, -0.3125702738761902, 0.26543816924095154, 0.30333003401756287, 0.15787839889526367, 0.32203346490859985, 0.3251018524169922, 0.4937349557876587, 0.13673025369644165, 0.6160174608230591, -0.46368157863616943, -0.1641969531774521, 0.6777984499931335, -0.10598736256361008, -0.3301519453525543, 0.588858962059021, -0.029470965266227722, 0.32755881547927856, 0.4084099531173706, -0.1547548919916153, 0.1752171814441681, 0.4920860528945923, 0.13549257814884186, 0.48755547404289246, -0.24820753931999207, 0.5236833095550537, 0.05077580735087395, 0.12755638360977173, 0.13420161604881287, -0.015098652802407742, 0.3167870044708252]"
company,600701,"[0.778416097164154, -0.028997082263231277, -0.5799533724784851, -0.6216132044792175, 0.3983558714389801, -0.13209004700183868, 0.11680624634027481, 0.3871176540851593, -0.3730522692203522, -0.014146152883768082, 0.09720553457736969, -0.08985503762960434, 0.031015120446681976, 0.40941616892814636, -0.20883411169052124, 0.3880220353603363, 0.022100087255239487, -0.2924451231956482, 0.1425398737192154, -0.024376612156629562, 0.6446300745010376, -0.04355096444487572, 0.47091081738471985, -0.27207207679748535, -0.18082281947135925, -0.6992027163505554, 0.1164170652627945, -0.2948232591152191, -0.02040371112525463, 0.1394377201795578, 0.19611448049545288, 0.043976686894893646, -1.132444143295288, -0.7132712602615356, -0.4375095069408417, 0.04097742587327957, -0.5947269201278687, 0.013481219299137592, 0.5672826766967773, 0.2981991767883301, -0.03578977286815643, 0.18320804834365845, -0.30287623405456543, -0.9969351291656494, -0.10921745002269745, 0.3647167980670929, -1.0364758968353271, -0.2300558239221573, -0.13137149810791016, 0.45762166380882263, -0.10917400568723679, 0.18789708614349365, -0.5869472622871399, 0.48580530285835266, 0.48862242698669434, 0.4879815876483917, -0.16990432143211365, 0.11064841598272324, 0.4093634784221649, 0.46805647015571594, 0.17267628014087677, -0.2352762222290039, 0.2731850743293762, -0.12424803525209427]"
company,600683,"[-0.28789499402046204, -0.31946709752082825, -0.31687670946121216, -0.1881168931722641, -0.22256043553352356, -0.24697571992874146, 0.3230874240398407, -0.12232968211174011, -0.6904385089874268, -0.04524704068899155, 0.5911904573440552, 0.10329532623291016, -0.3825332522392273, 0.20166917145252228, 0.11030461639165878, 0.1258716583251953, 0.3083534836769104, 0.03208385780453682, 0.048548243939876556, 0.07639677822589874, -0.04709675908088684, -0.000869870011229068, 0.33180469274520874, 0.41271406412124634, 0.631384015083313, 0.15398885309696198, 0.24281589686870575, -0.2927614152431488, 0.35565710067749023, -0.27812567353248596, -0.4926503300666809, -0.001533539267256856, -0.8915538787841797, -0.7849363088607788, -0.09740328043699265, 0.7482016682624817, 0.03561892360448837, -0.0632033497095108, 0.2610149681568146, -0.16823810338974, 0.3252623379230499, 0.470537930727005, -0.32796338200569153, -0.6211890578269958, 0.39691510796546936, -0.01423221081495285, -0.2977871000766754, -0.726144015789032, 0.4286500811576843, 0.33774062991142273, 0.43604013323783875, -0.4034748077392578, 0.05391274020075798, 0.3694841265678406, 0.40291628241539, -0.08383533358573914, -0.1197219043970108, -0.48800528049468994, 0.21801601350307465, 0.3872120976448059, 0.2635875642299652, -0.06712237000465393, 0.40581148862838745, 0.10675553977489471]"
company,688012,"[-0.06880488246679306, 0.03709224611520767, -0.047176264226436615, 0.2884400188922882, 0.14381153881549835, -0.40285566449165344, 0.43943098187446594, -0.7402783036231995, 0.2785900831222534, -0.5672947764396667, 0.06325818598270416, 0.5047821402549744, -0.07997031509876251, 0.1684451848268509, 0.6977186799049377, 1.4601510763168335, -0.26842406392097473, -0.4182741045951843, -0.09679640829563141, 0.017830103635787964, 0.20186910033226013, -0.34944772720336914, 0.7337249517440796, -0.783109188079834, 0.5448493361473083, -0.34709203243255615, 0.27792707085609436, 0.14984802901744843, 0.20963318645954132, -0.3427801728248596, -0.20517148077487946, 0.24660168588161469, -1.0080450773239136, 0.04248765856027603, -0.4080967903137207, 0.6656038165092468, 0.4272993803024292, 0.6675505042076111, 0.09286446124315262, -0.06057293713092804, 0.4660973846912384, 0.2379671186208725, 0.2589811384677887, -0.9535133838653564, 0.27363336086273193, 0.21698620915412903, 0.3995656371116638, -0.4555474817752838, 0.4915090799331665, 0.06482119858264923, 0.3460625112056732, 0.31459707021713257, -0.21542496979236603, 0.841492235660553, 0.5015398263931274, -0.19614718854427338, 0.4593794047832489, -0.16459128260612488, -0.5254466533660889, -0.011622755788266659, -0.45256075263023376, -1.1926196813583374, 0.09531887620687485, -0.023344887420535088]"
