label,name,embeddings
company,603297,"[0.7649316191673279, 0.2768845856189728, -0.08107898384332657, 0.08464784175157547, -0.3131420612335205, 0.3482455313205719, 0.13602910935878754, 0.4585927724838257, -0.5540786981582642, -0.05872150883078575, 0.49800798296928406, -0.47671353816986084, 0.5172523260116577, -0.018710926175117493, 0.2789207398891449, 0.18134640157222748, 0.007032548077404499, 0.1369282752275467, 0.3211507201194763, 0.5582090616226196, -0.21682089567184448, 0.2105628401041031, 0.6037101149559021, -0.03934495523571968, 0.1551130712032318, 0.4572969377040863, 0.32267922163009644, 0.10773071646690369, -0.04739116132259369, 0.5701860189437866, 0.36767110228538513, -0.00027967302594333887, -0.9036335349082947, -0.7140375971794128, -0.6700344085693359, 0.18172341585159302, -0.060087889432907104, 0.6310251951217651, 0.20590484142303467, 0.5331231951713562, 0.515069842338562, -0.05051602050662041, -0.10620903968811035, -0.5403650999069214, -0.9000251293182373, 0.35903629660606384, 0.149066761136055, -0.14118491113185883, -0.20581497251987457, 0.7924965620040894, 0.43764394521713257, 0.28171229362487793, 0.3685661554336548, 0.5576526522636414, 0.24992886185646057, 0.15478818118572235, 0.3660070598125458, -0.4620617926120758, 0.26570188999176025, -0.4325430691242218, 0.6775516867637634, 0.37102562189102173, 0.10527326166629791, 0.5065011382102966]"
company,2668,"[0.3071128726005554, 0.2669278383255005, -0.22591622173786163, -0.6165865063667297, -0.2867131531238556, 0.024842487648129463, 0.0836397334933281, 0.1571439504623413, -0.8053496479988098, -0.004120100289583206, 0.9406159520149231, -0.11536189168691635, -0.35887327790260315, 0.6189917922019958, 0.480148047208786, 0.17256656289100647, 0.06375584751367569, -0.3966216444969177, 0.5545411109924316, 0.07937189191579819, -0.9487292170524597, -0.0919765904545784, 0.17180271446704865, 0.4693553149700165, 0.16633446514606476, 0.10264596343040466, -0.7811684012413025, -0.37271174788475037, 0.1283465176820755, -0.07311642915010452, -0.8766806721687317, 0.7500772476196289, -0.4555644392967224, -0.8035186529159546, 0.11757399886846542, 0.4557127356529236, -0.4865114688873291, 0.38736775517463684, -0.14027780294418335, 0.4500020146369934, 0.016628438606858253, 0.11814058572053909, 0.733291506767273, -0.5281360745429993, -0.0982225239276886, 0.6793031096458435, 0.2682781219482422, 0.08023250102996826, 0.594028115272522, 0.3724585175514221, 0.20760111510753632, -0.0927063450217247, -0.34739944338798523, 0.37697628140449524, 0.7035433650016785, -0.43551668524742126, 0.31453025341033936, -0.1546367108821869, 0.10025881975889206, 0.9509642124176025, 0.10579659044742584, -0.6930223703384399, 0.5439637899398804, -0.11893629282712936]"
company,601811,"[0.6367858052253723, 0.1858457326889038, 0.1564076989889145, 0.2711906433105469, -0.27898627519607544, -0.14779821038246155, 0.16936948895454407, -0.12242274731397629, -0.5015935301780701, 0.31261828541755676, 0.4240889847278595, 0.017115052789449692, -0.004919266328215599, -0.11644385010004044, 0.03891410306096077, 0.5652663111686707, -0.36577555537223816, 0.32163169980049133, 0.2232259213924408, 0.15243273973464966, 0.21130143105983734, -0.15833325684070587, 0.29227447509765625, -0.2709667384624481, 0.2667291462421417, 0.4089418053627014, 0.3780076801776886, -0.7217344045639038, -0.3062576949596405, -0.44717124104499817, 0.31800535321235657, -0.12695837020874023, -0.8670809864997864, -0.3417285680770874, -0.3659416437149048, 0.7727190256118774, -0.8143741488456726, 0.027223266661167145, -0.3280372619628906, 0.38733547925949097, 0.34902796149253845, 0.6360974907875061, -0.656993567943573, -0.5963514447212219, -0.6161707639694214, -0.22028757631778717, -0.5614140629768372, -0.3649345636367798, 0.2387682944536209, -0.1496160328388214, 0.47876429557800293, 0.05465880408883095, 0.5712888240814209, 0.5473058819770813, 0.4783540368080139, -0.424652099609375, 0.021429896354675293, 0.579323947429657, -0.18094360828399658, 0.5975629687309265, 0.2548512816429138, -0.27723655104637146, 0.824617862701416, 0.08013205975294113]"
company,601595,"[-0.22693729400634766, -0.07433949410915375, -0.01714293658733368, 0.29057154059410095, 0.5340042114257812, -0.44814831018447876, 0.41249459981918335, 0.22580501437187195, -0.401736319065094, 0.33530059456825256, -0.005104800220578909, 0.6689364314079285, 0.014129330404102802, 0.023402506485581398, 0.5300977826118469, 1.2097876071929932, -0.01979164592921734, 0.06431084126234055, 0.558495283126831, 0.6006894111633301, -0.21551024913787842, -0.40345627069473267, 0.6871405839920044, 0.047416411340236664, 0.5085200071334839, 0.1417010873556137, -0.2217109054327011, -0.2206275314092636, -0.2706219255924225, 0.004551919177174568, 0.6005804538726807, 0.1335896998643875, -0.7929919958114624, -0.2837892770767212, 0.4231303036212921, 0.42119523882865906, -0.1208370178937912, 0.42719563841819763, 0.22398261725902557, 0.3573218286037445, 0.4243803322315216, 0.6084332466125488, 0.6152962446212769, -1.0211231708526611, 0.3631254732608795, 0.07562428712844849, 0.5064339637756348, 0.5560808777809143, -0.05953732877969742, 0.26554685831069946, 0.1686955988407135, -0.520121693611145, 0.25864213705062866, 0.423275351524353, 0.615217924118042, 0.16338540613651276, -0.08579614758491516, 0.2043582648038864, -0.1784728467464447, 0.44234102964401245, -0.16972823441028595, -0.7116638422012329, -0.0686592161655426, -0.9300575852394104]"
company,600559,"[0.27685171365737915, -0.320374071598053, 0.30909886956214905, 0.08523361384868622, -0.6735492944717407, -0.6023829579353333, -0.18198858201503754, -0.13129828870296478, -0.8124982714653015, 0.7724186182022095, -0.36273983120918274, -0.16322052478790283, -0.48817873001098633, -0.04411812871694565, 0.39924192428588867, 0.7907488942146301, 0.06906759738922119, 0.30294591188430786, 0.19033661484718323, 0.6142820119857788, -0.047219954431056976, 0.3554634153842926, 0.15452840924263, -0.2790519893169403, 0.5268186330795288, 0.033276136964559555, 0.09445245563983917, -0.5068882703781128, 0.17700733244419098, 0.03095392696559429, 0.027021482586860657, -0.0996166318655014, -0.7120599150657654, -0.30666327476501465, 0.060888759791851044, 0.5242496728897095, -0.44355103373527527, 0.7043991684913635, -0.5316349267959595, 0.7856652140617371, 0.9186760783195496, -0.2800600230693817, 0.12981347739696503, -0.40562352538108826, -0.6578680276870728, -0.03963533043861389, -0.10951749980449677, -0.6365526914596558, -0.07455737143754959, 0.03202063962817192, 0.41698673367500305, 0.2040967047214508, 0.12795968353748322, 0.8113468289375305, 0.3482423424720764, 0.13723112642765045, -0.23068033158779144, 0.5358995795249939, -0.40230172872543335, 0.6793537139892578, 0.01347731240093708, -0.5096661448478699, -0.035708412528038025, 0.046059638261795044]"
company,601099,"[-0.22122257947921753, 0.10824666172266006, 0.4858696758747101, 0.14060759544372559, -0.29676175117492676, -0.3866802752017975, 0.037337448447942734, -0.14409491419792175, -0.3507744073867798, 0.5663002729415894, 0.3270312249660492, 0.547837495803833, 0.1953425407409668, -0.5490363836288452, -0.4458823502063751, 0.9094059467315674, -0.1416500061750412, 0.6170238256454468, 0.1029428169131279, 0.21761533617973328, 0.059171028435230255, 0.026765044778585434, 0.5047802925109863, -0.5861148834228516, 0.4536634385585785, 0.45318135619163513, -0.24313345551490784, -0.6247866153717041, 0.03885135054588318, 0.13257160782814026, 0.09786083549261093, 0.4072447419166565, -0.921748697757721, -0.3747102618217468, 0.25019779801368713, 0.27735352516174316, -0.6502373814582825, 0.4384242296218872, 0.22183944284915924, 0.41720694303512573, 1.0017439126968384, 0.34643131494522095, -0.25494351983070374, -0.5105482339859009, -0.0805782675743103, 0.1841510832309723, 0.04207468405365944, -0.17436213791370392, -0.37893274426460266, -0.2790352404117584, 0.6635653376579285, -0.08778894692659378, 0.42805907130241394, 0.447003573179245, 0.36739858984947205, -0.34327659010887146, -0.4011896848678589, 0.7359863519668579, -0.30758869647979736, 0.1823432743549347, -0.08124346286058426, 0.07534024864435196, 0.6920338869094849, 0.17872531712055206]"
company,603708,"[-0.081514872610569, -0.3195748031139374, -0.2201450616121292, -0.18964387476444244, 0.295365571975708, -0.2778722643852234, 0.16491423547267914, 0.2190101146697998, -0.5292771458625793, 0.8813454508781433, 0.38943251967430115, -0.1373162716627121, -0.4636784791946411, -0.17535419762134552, -0.008827995508909225, 0.6916177272796631, 0.36297333240509033, 0.17464718222618103, -0.2045167088508606, -0.03451903164386749, 0.842665433883667, 0.1426183581352234, 0.09854871779680252, 0.3086245656013489, 0.27078405022621155, -0.26069527864456177, -0.7243388295173645, -0.3761156499385834, -0.04575619474053383, 0.14962361752986908, -0.3863917887210846, -0.32146885991096497, 0.03239268437027931, 0.066182941198349, 0.10194133967161179, 0.15686427056789398, 0.045457057654857635, -0.032613858580589294, 0.6407885551452637, 0.5331294536590576, 0.43247178196907043, -0.3129798173904419, 0.3895735442638397, -0.64109867811203, -0.8039178252220154, 0.735845685005188, 0.4044910967350006, 0.31655311584472656, 0.0620858371257782, -0.14768971502780914, 0.8256222605705261, 0.17915719747543335, -0.11519318073987961, 0.07704949378967285, 0.9195367097854614, -0.06017468497157097, -0.1883133202791214, -0.24095255136489868, 0.6042361855506897, 0.22176265716552734, 0.2906697988510132, -0.24738289415836334, 0.3643040955066681, 0.03748215362429619]"
company,600701,"[0.903523862361908, 0.026554692536592484, -0.4167060852050781, -0.31182408332824707, 0.025592032819986343, -0.45299944281578064, 0.06970049440860748, 0.20241613686084747, -0.6393968462944031, -0.24734340608119965, -0.016520662233233452, -0.19239333271980286, 0.17608509957790375, 0.2487739473581314, -0.24122603237628937, 0.5426825881004333, 0.7446065545082092, -0.028645407408475876, 0.5410477519035339, -0.321496844291687, 0.02995094284415245, -0.32627612352371216, 0.3293335437774658, -0.5482529997825623, 0.03258669748902321, -0.3739236295223236, -0.08446121960878372, -0.21682108938694, 0.1071254089474678, 0.1905689388513565, -0.002326225396245718, -0.01972152106463909, -0.8510374426841736, -0.7030383348464966, -0.1480436772108078, -0.10392090678215027, -0.5290551781654358, 0.03991824761033058, 0.5159444808959961, 0.49928081035614014, -0.22061283886432648, 0.34899142384529114, -0.5725553631782532, -0.9752456545829773, -0.29739105701446533, 0.28235673904418945, -0.3902459740638733, -0.19349169731140137, -0.02425788715481758, 0.41282057762145996, -0.10666649788618088, 0.3751238286495209, 0.11191070079803467, 0.15283630788326263, 1.0230722427368164, 0.16080603003501892, -0.019923334941267967, 0.36740073561668396, 0.04865093156695366, 0.7398658394813538, 0.09662314504384995, -0.4269104301929474, 0.21718594431877136, -0.27533483505249023]"
company,600683,"[-0.401498943567276, -0.4316198229789734, -0.3983926773071289, -0.6192029118537903, -0.4632754921913147, -0.7216670513153076, -0.012646470218896866, 0.30415573716163635, -0.5534406900405884, -0.22250066697597504, 0.4111010730266571, 0.05526354908943176, -0.03707366809248924, -0.5940935015678406, 0.3095201551914215, 0.27597808837890625, 0.3510456085205078, -0.2793135643005371, 0.2634890377521515, 0.3927710950374603, 0.5828049778938293, -0.27198827266693115, 0.833341658115387, 0.021465888246893883, 0.41869622468948364, 0.2813766300678253, 0.08378875255584717, -0.20999252796173096, 0.16876095533370972, -0.41549190878868103, -0.37113311886787415, 0.25645628571510315, -0.5287476778030396, -0.5717859864234924, 0.22303231060504913, 0.649020254611969, -0.01864611543715, 0.4278292655944824, 0.05258527770638466, -0.4007229506969452, 0.48633918166160583, 1.1121385097503662, 0.1669730842113495, -0.41983816027641296, 0.9947112798690796, 0.17232465744018555, -0.2747383415699005, -0.3371996581554413, 0.4077037572860718, 0.5727797150611877, 0.1531796008348465, -0.9736766815185547, 0.10511293262243271, 0.586971640586853, 0.8243482112884521, -0.18415264785289764, -0.07928107678890228, -0.045770466327667236, 0.019552525132894516, 0.11737126857042313, 0.43087294697761536, -0.02518555149435997, 0.5850504636764526, -0.25985151529312134]"
company,688012,"[-0.16033288836479187, 0.30216458439826965, 0.4769953787326813, 0.30075493454933167, 0.3629944920539856, -0.1426120549440384, 0.7163077592849731, 0.11919224262237549, -0.19074298441410065, -0.11112430691719055, 0.581449568271637, 0.36283162236213684, -0.47888028621673584, 0.5418660044670105, 0.45633164048194885, 0.49159517884254456, 0.04674919322133064, -0.3390122950077057, 0.6602666974067688, 0.5915765166282654, -0.06974364072084427, -0.2190912663936615, 0.35540488362312317, -0.05477137491106987, 0.14361771941184998, 0.07914738357067108, -0.5222803354263306, -0.1059703454375267, -0.1373118907213211, -0.13940151035785675, 0.6018590331077576, -0.1362578421831131, -0.5902906060218811, -0.5030064582824707, 0.15836811065673828, 0.4878462553024292, 0.06478030979633331, 0.8012925982475281, -0.25001341104507446, 0.31626084446907043, 0.3888968229293823, 0.19482330977916718, 0.34882184863090515, -0.9129124879837036, 0.28688493371009827, 0.07891073077917099, 0.10302449762821198, 0.1551508605480194, 0.0054593817330896854, 0.041133251041173935, -0.01731395721435547, -0.17741680145263672, 0.3448326587677002, 0.17481055855751038, 0.7937148213386536, 0.3184930682182312, 0.013538111932575703, 0.05646292865276337, 0.061997074633836746, 0.4806181490421295, 0.20405778288841248, -0.6070777177810669, -0.1629299819469452, -0.453140527009964]"
