label,name,embeddings
company,603297,"[0.28733330965042114, 0.2928895056247711, -0.46947965025901794, 0.000838576175738126, 0.08825721591711044, 0.014558445662260056, 0.4112650454044342, 0.4891822934150696, -0.5574636459350586, 0.2789885103702545, 0.5161272287368774, -0.4854292571544647, 0.4630858600139618, -0.07854495197534561, 0.2914213240146637, 0.4567515552043915, -0.41167619824409485, 0.008217714726924896, 0.24626880884170532, 0.6649084687232971, 0.49353235960006714, 0.5028629899024963, 0.43925437331199646, -0.42131179571151733, -0.14712147414684296, 0.6957504153251648, 0.2951448857784271, -0.10767824947834015, -0.2984350025653839, 0.3907780945301056, 0.09486868977546692, 0.4561122953891754, -0.6966387629508972, -0.5278081893920898, -0.7148842811584473, 0.5546199083328247, -0.11755570769309998, 0.6964152455329895, 0.3690750300884247, -0.03540521487593651, 0.08669053018093109, 0.0420883484184742, -0.4006178677082062, -0.2162945717573166, -0.403530478477478, 0.49895185232162476, 0.05825023353099823, -0.27624425292015076, -0.246753990650177, 0.5228612422943115, 0.31664416193962097, 0.543201744556427, 0.10814559459686279, 0.5737547278404236, 0.008010444231331348, -0.06837049126625061, 0.5564356446266174, 0.01721986010670662, 0.49112197756767273, -0.2640262246131897, 0.7080015540122986, 0.04634500667452812, 0.18636547029018402, 0.37200579047203064]"
company,2668,"[0.4745151996612549, -0.12152868509292603, -0.5944309830665588, 0.011761641129851341, -0.10942649841308594, -0.2777060270309448, 0.01775636151432991, -0.5976485013961792, -0.06664770096540451, -0.5128453969955444, 0.3419535756111145, -0.5219213366508484, -0.6896745562553406, 0.22887524962425232, 0.08920376747846603, 0.9184198379516602, -0.40308043360710144, -0.7232058644294739, 0.05831350013613701, -0.4263384938240051, -0.3228243291378021, 0.09504734724760056, 0.18410919606685638, 0.24158640205860138, 0.9111816883087158, 0.5288450717926025, -0.621403694152832, -0.3024185597896576, -0.40339070558547974, 0.05733726546168327, -0.6651378870010376, 0.14261242747306824, 0.2644360661506653, -0.34186628460884094, -0.19360628724098206, 0.8133416175842285, -0.06340835243463516, 0.4219144880771637, 0.8353725075721741, 0.3017023801803589, -0.07902400195598602, 0.05111934244632721, 0.9841645956039429, -0.5476001501083374, -0.19404490292072296, 0.8094246983528137, 0.5148187875747681, -0.4905414879322052, 0.3469729721546173, 0.09140852093696594, 0.20586775243282318, 0.3573043644428253, -0.49135199189186096, 0.6196758151054382, 0.3265676498413086, -0.14769421517848969, 0.7624505758285522, -0.4088083505630493, 0.0009902197634801269, 1.033211350440979, 0.6444822549819946, -0.14614522457122803, 0.9272418022155762, -0.27751046419143677]"
company,601811,"[0.3612675666809082, 0.5100147724151611, 0.347138911485672, 0.20040346682071686, -0.35548603534698486, 0.0343271940946579, 0.22520935535430908, -0.5067091584205627, -0.17894382774829865, 0.7731305956840515, -0.049650825560092926, 0.3888935446739197, 0.1498585045337677, -0.18232685327529907, -0.13683325052261353, 1.0843299627304077, -0.6206018924713135, 0.12974445521831512, -0.10619989037513733, -0.09377531707286835, 0.31292852759361267, -0.41852107644081116, 0.670731246471405, -0.07713484019041061, 0.4674925208091736, 0.7767579555511475, -0.20296832919120789, -0.7026322484016418, -0.9829815626144409, -0.5440026521682739, 0.4447213113307953, -0.729732871055603, -0.595404863357544, -0.11196799576282501, -0.24380792677402496, 0.6421303153038025, -0.7926333546638489, -0.24962083995342255, 0.4517972767353058, -0.13675382733345032, -0.12733404338359833, 0.6959168910980225, -0.567262589931488, -1.0083004236221313, -0.2175408899784088, 0.008232729509472847, -0.2862049341201782, -0.5043331980705261, -0.09379275143146515, 0.32291391491889954, 1.1127066612243652, 0.934419572353363, 0.14734068512916565, 0.9807555079460144, 0.7239565253257751, -0.6920102834701538, -0.24269238114356995, 0.2861590087413788, 0.22915704548358917, 0.37473639845848083, 0.21635985374450684, -0.5317528247833252, 0.2743781507015228, 0.5756701231002808]"
company,601595,"[-0.1875307261943817, -0.2057475596666336, 0.08335838466882706, 0.9274990558624268, 0.26237353682518005, -0.6596170663833618, 0.18769145011901855, -0.36238807439804077, 0.2334739714860916, -0.25380340218544006, -0.9097897410392761, 0.003320794552564621, -0.022815542295575142, -0.3578817546367645, 0.03278709948062897, 1.0865477323532104, 0.07569755613803864, -0.4596688449382782, 0.0814526230096817, 0.42247480154037476, -0.03258683159947395, -0.30545955896377563, 0.5040848255157471, -0.27745527029037476, 0.4302985966205597, 0.1141449436545372, -0.276909738779068, 0.3777928352355957, -0.27297234535217285, -0.2915148437023163, 0.6188737750053406, -0.12882670760154724, -0.5911306738853455, -0.13426700234413147, -0.29951295256614685, 0.6662057042121887, 0.449741393327713, 0.1670318990945816, 1.0294643640518188, 0.13487759232521057, -0.20270322263240814, 0.6549044251441956, 0.626524806022644, -1.1150928735733032, -0.059629347175359726, -0.05479292944073677, 1.054107427597046, 0.07684820890426636, -0.1561925709247589, 0.7342925071716309, 0.38474535942077637, 0.012571287341415882, -0.02299283817410469, 0.6373751163482666, 0.10395229607820511, 0.28583449125289917, 0.7290298938751221, 0.02867719531059265, -0.12108925729990005, 0.15171469748020172, -0.22054646909236908, -0.43941840529441833, 0.2707465589046478, 0.01473473571240902]"
company,600559,"[0.268982857465744, -0.09141113609075546, -0.02114199474453926, -0.06444006413221359, -0.3258861005306244, -1.1170594692230225, 0.18988074362277985, -0.16391891241073608, -0.7345110177993774, 0.6503704786300659, -0.601911723613739, -0.16172057390213013, -0.019270969554781914, 0.19064824283123016, 0.2935205399990082, 0.7683003544807434, 0.16554439067840576, 0.18518131971359253, 0.3801478445529938, 0.8252410292625427, 0.4370560050010681, 0.45120736956596375, 0.168116956949234, -0.4967772960662842, 0.9119020104408264, 0.3787582814693451, -0.11885495483875275, 0.05316699296236038, 0.7619935274124146, 0.09713391959667206, 0.2610569894313812, -0.5553797483444214, -0.4937659502029419, 0.4232335090637207, -0.959401547908783, 0.2475111335515976, -0.017588337883353233, 0.4204244911670685, 0.2186126410961151, 0.864979088306427, 0.4772826135158539, -0.7036248445510864, 0.3675026297569275, -1.2474884986877441, -0.3728504180908203, 0.10392975807189941, -0.1016886904835701, -0.9344688653945923, -0.09141271561384201, 0.08697785437107086, -0.016534771770238876, 0.3897753953933716, 0.2409105896949768, 1.1657764911651611, 0.3233019709587097, -0.08180747926235199, 0.30138862133026123, -0.07187063246965408, -0.33822503685951233, 0.5319538116455078, -0.07001886516809464, -0.6928036212921143, -0.3224949538707733, -0.29625219106674194]"
company,601099,"[0.12049909681081772, 0.32135406136512756, 0.29734787344932556, 0.19878815114498138, 0.072541244328022, -0.6015210151672363, 0.31099697947502136, -0.9554227590560913, -0.08623218536376953, 0.32250264286994934, -0.13352783024311066, 0.5624187588691711, 0.1389455944299698, -0.9355677366256714, -0.30212321877479553, 0.6595243811607361, -0.024641413241624832, 0.21458804607391357, 0.49612993001937866, 0.29239070415496826, 0.2631174921989441, -0.2558780312538147, 0.9698438048362732, -0.6169139742851257, 0.2298661172389984, -0.07742227613925934, -0.3855048716068268, -0.19047455489635468, 0.14754381775856018, 0.13082477450370789, 0.4926581084728241, 0.30980271100997925, -0.7809290289878845, 0.3128720819950104, -0.2175777107477188, 0.1700308918952942, -0.08413004875183105, 0.5647854208946228, 0.9984652996063232, -0.1088717058300972, 0.6344965100288391, 0.4196528196334839, -0.017188824713230133, -1.2050899267196655, 0.2760468125343323, -0.1580853909254074, -0.01927545666694641, -0.2026258111000061, -0.623985767364502, 0.1044037863612175, 0.6231986880302429, 0.10609767585992813, 0.18637484312057495, 0.8630961775779724, 0.47027111053466797, -0.2455245852470398, 0.13639909029006958, 0.33096981048583984, 0.22581489384174347, -0.2130669206380844, 0.140285462141037, -0.3688599467277527, 0.32578524947166443, -0.1664968580007553]"
company,603708,"[0.1279645711183548, -0.1339339315891266, -0.14372390508651733, 0.14295266568660736, -0.022411970421671867, -0.3330303132534027, 0.03475891798734665, -0.2883799076080322, -0.14659355580806732, -0.07047583907842636, 0.34586963057518005, -0.11809814721345901, 0.02338174544274807, -0.4534550905227661, 0.07677590847015381, 0.14008890092372894, -0.20901699364185333, -0.2962111830711365, -0.39807891845703125, -0.11108680069446564, 0.8260398507118225, 0.6183580160140991, -0.02010069601237774, 0.34180447459220886, 0.17910097539424896, -0.32529258728027344, -0.7403830885887146, 0.07889456301927567, -0.2892141342163086, -0.3542903661727905, -0.5488741993904114, -0.41612350940704346, 0.6415953636169434, 0.2484482079744339, -0.49904173612594604, 0.6038007140159607, 0.07441651821136475, -0.11595698446035385, 0.9626932144165039, 0.6992354393005371, 0.4863167405128479, -0.06421048939228058, 0.999459981918335, -0.8416814208030701, -0.7418625950813293, 1.0674856901168823, 0.21658630669116974, -0.2531408369541168, 0.18124988675117493, -0.3284854292869568, 0.5721347332000732, 0.7284064888954163, 0.5666278004646301, -0.08465879410505295, 0.979492723941803, -0.32427120208740234, 0.2766370475292206, -0.6444789171218872, 0.48701250553131104, 0.12720005214214325, 0.5046874284744263, -0.4940102994441986, 0.696608304977417, 0.2741864323616028]"
company,600701,"[0.8579373955726624, 0.4055672585964203, -0.46937382221221924, -0.36993974447250366, 0.11313200742006302, -0.5898720026016235, -0.16547484695911407, 0.4031970500946045, -0.5465044975280762, -0.24475832283496857, 0.18742021918296814, -0.13698187470436096, 0.050996050238609314, 0.03872614726424217, -0.39216622710227966, 0.26995545625686646, 0.8330636024475098, 0.22026477754116058, 0.468932181596756, -0.3342089056968689, 0.20580841600894928, -0.16320814192295074, 0.47359007596969604, -0.34561944007873535, -0.0984194204211235, -0.3772362172603607, -0.0034846875350922346, -0.4459298849105835, -0.41698455810546875, -0.18646463751792908, 0.0331234484910965, -0.043244753032922745, -0.7202222347259521, -0.4178544878959656, -0.3750607669353485, 0.06160753592848778, -0.5113282203674316, 0.07221806049346924, 0.9378698468208313, 0.23089247941970825, -0.2561212182044983, 0.39068588614463806, -0.06850269436836243, -1.0098499059677124, -0.3517042100429535, 0.3500875234603882, -0.2526780962944031, -0.44354328513145447, -0.033751729875802994, 0.7452967166900635, -0.12174948304891586, 0.682535707950592, 0.08673743158578873, 0.8009892702102661, 0.9483445882797241, 0.2387802004814148, -0.23864150047302246, 0.33307594060897827, 0.5861163139343262, 0.6193351149559021, 0.06737487018108368, -0.44716697931289673, 0.307648628950119, -0.35631492733955383]"
company,600683,"[-0.44046908617019653, -0.764437198638916, -0.1621999740600586, -0.23684647679328918, -0.3044530153274536, -0.8151673674583435, 0.12183961272239685, 0.5005971193313599, -0.719395101070404, -0.16245107352733612, 0.5793019533157349, 0.004919737111777067, -0.7845475673675537, -0.5802686214447021, -0.07632143795490265, 0.8941079378128052, 0.45116499066352844, 0.34912019968032837, 0.31793636083602905, 0.051398925483226776, 0.3192344605922699, -0.5513820648193359, 0.7895405292510986, 0.20939487218856812, 1.2534157037734985, 0.3969459533691406, -0.06845680624246597, -0.014153937809169292, 0.4534958600997925, -0.23059768974781036, -0.6037682890892029, -0.22267229855060577, -0.5283791422843933, -0.5323424339294434, -0.36492300033569336, 0.7396031022071838, 0.40502679347991943, 0.5240012407302856, 0.044607967138290405, -0.33850938081741333, -0.12491954863071442, 0.47124385833740234, -0.3005499839782715, -0.42955151200294495, 0.551945686340332, -0.16968464851379395, 0.21388952434062958, -0.36948806047439575, 0.7018967866897583, 0.06440020352602005, 0.3245822787284851, -0.08035794645547867, 0.13704928755760193, 1.330371618270874, 0.5462261438369751, 0.017610643059015274, -0.2283988893032074, -0.08443780243396759, -0.3637390434741974, 0.5332790613174438, 0.3642513155937195, -0.12491920590400696, 0.6415565013885498, -0.05105040594935417]"
company,688012,"[-0.18243464827537537, -0.03171835094690323, 0.5055400729179382, 0.5208274126052856, -0.43830597400665283, -0.3792838752269745, 0.2946755588054657, -0.5920080542564392, -0.34117379784584045, -1.0265833139419556, -0.5865907669067383, -0.21457785367965698, -0.4079224169254303, -0.258653461933136, 0.37299835681915283, 1.1018260717391968, 0.013691432774066925, -0.582879900932312, 0.223039448261261, 0.209080770611763, 0.3530322313308716, -0.3956703543663025, 0.4868289530277252, -0.22663149237632751, 0.7451099753379822, 0.2747449278831482, 0.12961043417453766, -0.1746807098388672, 0.1090736836194992, -0.45460179448127747, 0.1499955952167511, -0.09880254417657852, -0.2191799134016037, -0.5103197693824768, -0.23968128859996796, 1.060664176940918, 0.24950839579105377, 0.5184839963912964, -0.09280294924974442, 0.5480002760887146, 0.3559004068374634, 0.36132511496543884, 0.39084622263908386, -0.9097195267677307, 0.5101296901702881, 0.5056475400924683, 0.3191625773906708, -0.08288100361824036, 0.01076968852430582, 0.2345493584871292, 0.13154886662960052, 0.34381556510925293, 0.3207133710384369, 0.45112869143486023, 0.18143102526664734, 0.38588565587997437, 0.7295829057693481, 0.3727577328681946, 0.02065201662480831, 0.11936607211828232, -0.07866708934307098, -0.4789786636829376, 0.7943705916404724, -0.07643451541662216]"
