label,name,embeddings
company,603297,"[0.1376376748085022, 0.17536649107933044, -0.016328364610671997, 0.21006542444229126, -0.1783457100391388, -0.06151476502418518, 0.3669320046901703, 0.5138410329818726, -0.2314969301223755, -0.15621574223041534, 0.23217296600341797, -0.09312029927968979, 0.26995915174484253, -0.10253934562206268, 0.0451551228761673, 0.254856139421463, -0.18875764310359955, 0.09543881565332413, 0.3956293761730194, 0.2747730016708374, -0.2520929276943207, 0.2411193698644638, 0.31816235184669495, -0.06857788562774658, -0.06324854493141174, 0.022372044622898102, -0.02699296362698078, -0.07039754092693329, -0.08210084587335587, -0.23624162375926971, 0.6667296290397644, 0.09971930831670761, -0.7630392909049988, -0.5742490887641907, -0.23357775807380676, 0.5383189916610718, -0.18237914144992828, 0.1602911353111267, 0.3227921724319458, 0.47873347997665405, 0.5438106060028076, -0.08417464792728424, 0.18993417918682098, -0.15795934200286865, 0.03171342983841896, -0.10456348210573196, -0.13748084008693695, -0.5123335123062134, -0.11107062548398972, 0.6650047898292542, 0.03388070687651634, 0.5134069323539734, -0.029507780447602272, 0.4097795784473419, 0.1748822182416916, -0.07104407995939255, 0.3063802123069763, -0.28645479679107666, 0.2948320806026459, -0.1411745399236679, 0.42232030630111694, -0.2725282311439514, -0.004534682724624872, 0.10122228413820267]"
company,2668,"[0.5897079706192017, -0.0729178637266159, -0.7182134985923767, -0.22202759981155396, -0.30798962712287903, -0.5896358489990234, 0.23588208854198456, 0.17808817327022552, -0.5409347414970398, 0.022978387773036957, 0.7356650829315186, -0.22136542201042175, -0.3444775938987732, 0.3909342586994171, -0.07136958837509155, 0.576256513595581, -0.2464277297258377, -0.39639389514923096, 0.1558830738067627, -0.10971317440271378, -0.9238808155059814, 0.06030358001589775, 0.2574319839477539, 0.17226827144622803, 0.49429991841316223, 0.34719318151474, -0.5471994876861572, -0.14065299928188324, -0.5743702054023743, 0.0826716423034668, -0.36147063970565796, 0.10989966988563538, -0.5243739485740662, -0.561204195022583, -0.6579899787902832, 0.661045491695404, -0.2364284098148346, -0.057107988744974136, 0.23596405982971191, 0.7517296671867371, -0.16704949736595154, 0.21651241183280945, 0.7658562064170837, -0.391033411026001, -0.3780065178871155, 0.3691219687461853, 0.20407775044441223, 0.17278356850147247, 0.6631599068641663, 0.3297164738178253, 0.12259933352470398, -0.003832705318927765, -0.5124267339706421, 0.2410222887992859, 0.44469112157821655, -0.6625266075134277, 0.06954256445169449, -0.08115654438734055, 0.15925759077072144, 0.845769464969635, 0.11434189230203629, -0.2023572027683258, 0.41436767578125, -0.295901894569397]"
company,601811,"[0.7138355374336243, 0.32536226511001587, -0.034755267202854156, 0.4248463213443756, 0.07039900869131088, -0.2525756061077118, 0.37445932626724243, -0.34941932559013367, -0.3060147166252136, 0.6098152995109558, 0.3466552197933197, -0.384552925825119, -0.13371187448501587, 0.05281040072441101, -0.14776964485645294, 0.38400503993034363, 0.038616735488176346, -0.5450092554092407, 0.11255305260419846, -0.20213532447814941, -0.11032120883464813, -0.005547037813812494, 0.2558897137641907, -0.05657072737812996, 0.3608234226703644, 0.2382786124944687, -0.0836479514837265, -0.29394206404685974, -0.3720044791698456, -0.2966037392616272, 0.4369838833808899, -0.24300555884838104, -0.9019602537155151, -0.33419299125671387, -0.6174231171607971, 0.6651090979576111, -0.46470633149147034, 0.2423868626356125, -0.09822160005569458, 0.19451162219047546, 0.2619006931781769, 0.1175820529460907, -0.28399547934532166, -0.6931707262992859, -0.4742150604724884, -0.06301701068878174, -0.5105041265487671, -0.09270667284727097, 0.21836361289024353, -0.08008364588022232, 0.4828788936138153, 0.2621481716632843, 0.18196351826190948, 0.5836899280548096, 0.6078225374221802, -0.5911442637443542, -0.01499217189848423, 0.1370236575603485, -0.2676033079624176, 0.5411258339881897, 0.30941423773765564, -0.02022070437669754, 0.6245275735855103, 0.5653406381607056]"
company,601595,"[-0.13142529129981995, 0.17000995576381683, 0.2539122402667999, 0.3411265015602112, 0.43531671166419983, -0.4709937274456024, 0.18023939430713654, -0.03377484902739525, -0.5218297839164734, -0.17361553013324738, 0.30054739117622375, 0.18395182490348816, -0.037412021309137344, 0.3750370144844055, 0.6891487836837769, 0.4518474042415619, 0.1015670970082283, -0.24744166433811188, 0.5943880081176758, -0.09544214606285095, -0.27936801314353943, 0.10952720046043396, 0.2806362509727478, -0.4688311517238617, 0.6128649115562439, 0.06775170564651489, -0.2199689894914627, 0.15101057291030884, 0.1573561578989029, 0.03902648016810417, 0.41775813698768616, 0.13468365371227264, -0.7300330400466919, -0.4968092739582062, 0.10404380410909653, -0.0589277483522892, 0.17494484782218933, 0.8434669971466064, -0.0431772843003273, 0.5402370095252991, 0.5239505767822266, -0.08488037437200546, 0.05657264217734337, -0.6378158330917358, 0.35853755474090576, 0.1668398082256317, 0.6806323528289795, 0.37153732776641846, 0.12767457962036133, 0.585032045841217, 0.4449722468852997, -0.27706968784332275, 0.25863412022590637, 0.34810781478881836, 0.5932467579841614, 0.6269983053207397, 0.005701638292521238, 0.14362947642803192, -0.031757622957229614, 0.6054290533065796, 0.2960205078125, -0.6026020646095276, -0.12516571581363678, -0.4987145960330963]"
company,600559,"[0.8395269513130188, -0.11151475459337234, 0.06232317537069321, -0.3514653444290161, -0.3644838333129883, -0.9312113523483276, -0.19923020899295807, 0.2995242476463318, -0.92507404088974, 0.6769534945487976, -0.4322836995124817, -0.6592791676521301, -0.4172140657901764, 0.43576061725616455, 0.18303103744983673, 0.8139058351516724, 0.2754199802875519, -0.15815852582454681, 0.09577523916959763, 0.36452150344848633, 0.1542755663394928, 0.5150806307792664, 0.25075194239616394, 0.08068817853927612, 0.3912471830844879, 0.254432737827301, 0.016921520233154297, -0.092375747859478, 0.005689539015293121, 0.09869250655174255, 0.15617284178733826, -0.48644858598709106, -0.8213175535202026, -0.14004915952682495, -0.4411603510379791, 0.051635660231113434, -0.03283942863345146, 0.33929896354675293, 0.008480679243803024, 0.8340306282043457, 0.0983111560344696, -0.1944960206747055, 0.11558664590120316, -0.4311486482620239, -0.5335795283317566, -0.41996076703071594, 0.01329237874597311, -0.639155387878418, 0.29375630617141724, 0.3407343924045563, -0.015651404857635498, 0.6667811274528503, 0.08878538757562637, 0.5877243280410767, 0.8243667483329773, -0.10728201270103455, 0.12090402841567993, -0.15814313292503357, -0.5644903182983398, 0.8276379704475403, -0.05758412182331085, -0.6260682344436646, -0.29695460200309753, -0.2875314950942993]"
company,601099,"[0.5397648811340332, 0.020813094452023506, 0.42498907446861267, 0.17625030875205994, 0.27246278524398804, -0.8130801916122437, 0.24275264143943787, 0.8198527097702026, -0.5867151618003845, 0.6726142764091492, 0.7520484924316406, 0.36775651574134827, 0.6619127988815308, -0.03895292058587074, -0.4604354798793793, 0.8227329254150391, 0.4068654179573059, 1.0196868181228638, 0.9549986124038696, 0.15277013182640076, 0.12860777974128723, 0.46918126940727234, 0.4445825517177582, -0.49048900604248047, 0.1827273815870285, 0.6851407289505005, -0.36199116706848145, 0.21563926339149475, -0.13866913318634033, 0.6301589012145996, 0.38005104660987854, 0.5625776052474976, -0.8596379160881042, -0.034189220517873764, -0.28425121307373047, 0.282604843378067, 0.6242009401321411, 0.26552775502204895, 0.6014549136161804, 0.2771150767803192, 0.49558353424072266, 0.7644183039665222, 0.6086865067481995, -0.6222725510597229, 0.3861392140388489, 0.31416746973991394, 0.21391865611076355, 0.26267752051353455, -0.1856871098279953, 0.24073481559753418, 0.06544163078069687, -0.4133470356464386, -0.08270224183797836, 0.5246137380599976, 1.0117652416229248, -0.2960342764854431, 0.23073701560497284, -0.23749136924743652, -0.10153966397047043, -0.525665283203125, 0.6132423281669617, -0.36559996008872986, 0.26247847080230713, -0.4579145908355713]"
company,603708,"[0.1836835741996765, -0.101790651679039, -0.08019962161779404, -0.20772987604141235, 0.05176160857081413, -0.5159712433815002, 0.4670116901397705, 0.11848320066928864, -0.4551231563091278, 0.47821179032325745, 0.40203532576560974, 0.13491827249526978, -0.005623189732432365, 0.1727365255355835, 0.09042287617921829, 0.23560290038585663, 0.3386644124984741, -0.06131235510110855, -0.022202249616384506, 0.14871953427791595, 0.20683254301548004, 0.25772133469581604, 0.030763428658246994, -0.03756781294941902, 0.16779401898384094, -0.36610183119773865, -0.48208165168762207, -0.08920998126268387, 0.01860012114048004, -0.3073020577430725, -0.24932347238063812, -0.10049700736999512, -0.29513242840766907, -0.23258213698863983, -0.18139074742794037, 0.1547858566045761, 0.4910297691822052, -0.05861128866672516, 0.3887951970100403, 0.6669456362724304, 0.1352708637714386, -0.047780901193618774, 0.17786462604999542, -0.6372306942939758, -0.32452255487442017, 0.6737480163574219, 0.3115050792694092, 0.1628437340259552, 0.3432210087776184, -0.00795178022235632, 0.318940132856369, 0.13589636981487274, 0.015358947217464447, 0.02818538434803486, 0.883060097694397, 0.34055468440055847, 0.017736556008458138, 0.04136180132627487, 0.5258991718292236, -0.011566794477403164, 0.5999834537506104, -0.2373240888118744, -0.1126398965716362, 0.2972634434700012]"
company,600701,"[0.8589690923690796, 0.21431389451026917, -0.24864457547664642, -0.5139601230621338, 0.37820157408714294, -0.5014145970344543, 0.02520248293876648, 0.5216004848480225, -0.3215900659561157, -0.2122359722852707, 0.011899932287633419, -0.24276933073997498, 0.20140674710273743, 0.15658512711524963, -0.3370998501777649, 0.5166141986846924, 0.7889506220817566, 0.3923162519931793, 0.4558868110179901, -0.5297423005104065, 0.104718878865242, -0.4028371274471283, 0.13741493225097656, -0.7031595706939697, -0.03488870710134506, -0.44829168915748596, -0.6017904877662659, -0.22198763489723206, -0.3343240022659302, 0.049529045820236206, 0.31187689304351807, -0.060749754309654236, -1.0498452186584473, -0.47659534215927124, -0.5015271306037903, 0.031024090945720673, -0.7272872924804688, -0.13231417536735535, 0.6257707476615906, 0.9170065522193909, -0.4229829013347626, 0.18558770418167114, -0.4266144335269928, -1.038517951965332, -0.0903250053524971, 0.19880905747413635, -0.07626744359731674, -0.3691406846046448, 0.24209271371364594, 0.6383419036865234, -0.40500757098197937, 0.4543326795101166, -0.2528049349784851, 0.43678146600723267, 1.1447699069976807, 0.17975488305091858, 0.05785883963108063, -0.13723985850811005, 0.1063312515616417, 0.6534110307693481, 0.18890558183193207, -0.2100004404783249, -0.11659519374370575, -0.5632405877113342]"
company,600683,"[0.0020735098514705896, -0.21613992750644684, -0.3812614381313324, -0.22767794132232666, -0.2906179130077362, -0.47525322437286377, -0.03759342432022095, 0.22319342195987701, -0.7171366810798645, 0.3791407644748688, 0.7345672845840454, 0.1443648785352707, -0.1723708212375641, -0.06340481340885162, 0.15600541234016418, -0.29877719283103943, 0.42496490478515625, 0.30656832456588745, 0.4014022648334503, -0.3658754229545593, -0.40807998180389404, -0.40993836522102356, 0.29693272709846497, 0.36507800221443176, 0.43348631262779236, 0.35381564497947693, -0.007676722481846809, -0.11016878485679626, 0.29473787546157837, -0.32865583896636963, -0.14381949603557587, 0.0267944298684597, -0.8458104133605957, -0.5033726096153259, -0.225667342543602, 0.32561153173446655, -0.07888525724411011, 0.3547128140926361, 0.27870890498161316, 0.09564092010259628, 0.2803109884262085, 0.22190041840076447, -0.20053336024284363, -0.641538679599762, 0.4316907525062561, -0.25529226660728455, -0.24157528579235077, -0.2503497898578644, 0.5996327996253967, 0.4068167805671692, 0.47657597064971924, -0.08547493815422058, 0.19687306880950928, 0.41705483198165894, 0.5499933362007141, 0.023122800514101982, -0.24711500108242035, -0.2737887501716614, 0.3859919011592865, 0.8426030874252319, 0.639854907989502, 0.0978870689868927, 0.1196320578455925, 0.0860961377620697]"
company,688012,"[0.06346465647220612, 0.35404571890830994, 0.1793169379234314, 0.745547354221344, 0.7328093647956848, -0.5702889561653137, 0.3833602964878082, -0.43637222051620483, -0.49176597595214844, -0.05122184380888939, 0.45845451951026917, -0.07514358311891556, -0.18558192253112793, 0.5372244715690613, 0.531956672668457, 0.4944828450679779, -0.1633395552635193, -0.7096911072731018, 0.5762497782707214, -0.1145576685667038, -0.19750821590423584, -0.14951689541339874, 0.22735252976417542, -0.8267055749893188, 0.6835659146308899, 0.30591514706611633, -0.28799521923065186, 0.1755586564540863, -0.036079056560993195, -0.22679860889911652, 0.8136937618255615, -0.09860843420028687, -1.1764180660247803, -0.4271214008331299, -0.07012889534235, 0.5010011792182922, -0.034190502017736435, 0.9499800801277161, -0.27267521619796753, 0.30632203817367554, 0.5729587078094482, 0.0038015854079276323, -0.19071964919567108, -1.0303664207458496, 0.3521248400211334, 0.0027841608971357346, 0.7841388583183289, 0.44316715002059937, 0.30518242716789246, 0.22552581131458282, 0.5225787162780762, -0.2844978868961334, 0.4106360077857971, 0.6596872210502625, 0.9468230605125427, 0.18601776659488678, 0.08437143266201019, 0.37406620383262634, -0.3236480951309204, 0.7393409609794617, 0.3329188823699951, -0.9876171350479126, 0.16045241057872772, -0.3609129786491394]"
