label,name,embeddings
company,603297,"[0.3829059898853302, 0.1384570151567459, -0.1806837022304535, 0.055184729397296906, 0.1028941422700882, -0.10883929580450058, 0.08097425848245621, 0.12013587355613708, -0.5206543803215027, 0.060793377459049225, 0.46454453468322754, -0.7621217966079712, 0.497364342212677, -0.16467499732971191, 0.48918500542640686, 0.40008115768432617, -0.10200084000825882, -0.0747225359082222, 0.4726799726486206, 0.47481000423431396, -0.21625837683677673, 0.34975290298461914, 0.3264676630496979, 0.14752541482448578, -0.29241257905960083, 0.15410229563713074, 0.004613605327904224, 0.34400540590286255, 0.185120090842247, 0.5723338723182678, 0.24502162635326385, 0.3797515034675598, -1.3738363981246948, -0.6959869861602783, -0.605140745639801, 0.09019573777914047, -0.2446177750825882, 0.39411231875419617, 0.48403260111808777, 0.26450663805007935, 0.0389891192317009, 0.0346246100962162, 0.11868297308683395, -0.5564168095588684, -0.6420013308525085, -0.0631629079580307, 0.05684004724025726, -0.37137049436569214, -0.4197992980480194, 0.7215865850448608, 0.264943927526474, 0.09559638053178787, 0.2279524952173233, 0.6629285216331482, 0.18156477808952332, 0.4842870235443115, 0.3801042437553406, -0.44414022564888, 0.48138687014579773, -0.5464310646057129, 0.42240479588508606, 0.062359604984521866, -0.09791639447212219, 0.13306373357772827]"
company,2668,"[0.22819139063358307, 0.18163153529167175, -0.5443002581596375, 0.18308959901332855, -0.361881822347641, -0.17275294661521912, 0.07857252657413483, -0.051344290375709534, -0.2893196642398834, -0.40176424384117126, 0.4851242005825043, -0.2899697721004486, -0.7191479802131653, 0.40131065249443054, 0.2584579288959503, 0.4124244153499603, -0.4928899109363556, -0.6848713755607605, 0.26102685928344727, -0.2475542277097702, -0.8478703498840332, -0.6683247089385986, 0.18637488782405853, -0.01865602657198906, 0.069012850522995, 0.007311234250664711, -0.6297376155853271, -0.2931935489177704, -0.22387132048606873, -0.15152528882026672, -0.43745145201683044, 0.5380670428276062, -0.5228372812271118, -0.7603648900985718, 0.01270095445215702, 0.5865742564201355, -0.3089323043823242, 0.29427775740623474, -0.04816148802638054, 0.7606502771377563, -0.04936420917510986, -0.1128450334072113, 0.4606567323207855, -0.45346763730049133, -0.026451172307133675, 0.5620201826095581, 0.34323620796203613, 0.30031460523605347, 0.4816708564758301, 0.2392757534980774, 0.4012848734855652, -0.47661933302879333, -0.42229172587394714, 0.5553537011146545, 0.456045001745224, -0.09469438344240189, 0.31944772601127625, 0.4645889401435852, -0.4270440340042114, 0.9157106876373291, 0.1655569076538086, -0.5673736333847046, 0.41733431816101074, -0.4083120822906494]"
company,601811,"[0.42533788084983826, 0.810357928276062, 0.18281014263629913, 0.6798792481422424, -0.28052619099617004, -0.13449427485466003, 0.332396000623703, -0.16571755707263947, -0.5190682411193848, 0.33756083250045776, 0.4243224859237671, -0.2149951159954071, 0.2682953476905823, -0.19029025733470917, 0.17315292358398438, 0.44108322262763977, -0.3395203649997711, -0.28066763281822205, -0.07874534279108047, -0.1336088627576828, -0.17898909747600555, -0.25397565960884094, 0.46868303418159485, -0.01940150000154972, 0.3000166118144989, -0.061039865016937256, 0.45426857471466064, -0.33797687292099, -0.38035815954208374, -0.3888692259788513, 0.1948021948337555, 0.13488759100437164, -0.9330816864967346, -0.1262281835079193, -0.12142718583345413, 0.6382433772087097, -0.4525358974933624, 0.15389283001422882, -0.208992600440979, 0.39782142639160156, 0.5929179191589355, 0.4623478949069977, -0.24379467964172363, -0.7484334111213684, -0.08031943440437317, -0.16323839128017426, -0.49713414907455444, -0.16212674975395203, 0.08023563027381897, -0.39871710538864136, 0.8674393892288208, -0.11325005441904068, 0.5853021144866943, 0.37537768483161926, 0.546974241733551, -0.18248195946216583, -0.4079318046569824, 0.3865663409233093, -0.4926609396934509, 0.48388558626174927, 0.2562143802642822, -0.4242798984050751, 0.4939836859703064, 0.3229016959667206]"
company,601595,"[-0.6680526733398438, 0.15990789234638214, 0.07409561425447464, 0.6008530259132385, 0.5337596535682678, -0.7345176339149475, 0.3407459259033203, 0.3280622661113739, -0.4743233323097229, 0.4528205096721649, 0.14225389063358307, 0.5040465593338013, -0.15496046841144562, 0.0508427731692791, 0.34062138199806213, 1.0006182193756104, 0.15019680559635162, -0.268451988697052, 0.04510604962706566, 0.34012749791145325, -0.0445568673312664, -0.04770420491695404, 0.35446587204933167, -0.42085784673690796, 0.40407973527908325, -0.23611779510974884, 0.1181219294667244, 0.19292843341827393, -0.18219660222530365, -0.18225742876529694, 0.5586003661155701, 0.3370889127254486, -0.5667489767074585, -0.28816288709640503, 0.3885500431060791, 0.22254961729049683, 0.10984399914741516, 0.17027664184570312, 0.6907002925872803, 0.1317925602197647, 0.11320994049310684, 0.09611760079860687, 0.41562792658805847, -0.7309381365776062, 0.24442322552204132, 0.005257519893348217, 0.7697856426239014, 0.7053797841072083, 0.14546188712120056, 0.6981435418128967, 0.2297353893518448, -0.3515557646751404, 0.35279908776283264, -0.04821163788437843, 0.6744479537010193, 0.5150309801101685, -0.18539991974830627, 0.10497703403234482, -0.504210889339447, 0.6976377964019775, 0.0529082715511322, -0.576937735080719, -0.18198229372501373, -0.41586679220199585]"
company,600559,"[0.08116133511066437, 0.15700677037239075, -0.0745016485452652, 0.36250218749046326, -0.4963378608226776, -0.9938663840293884, 0.32491132616996765, -0.14774318039417267, -1.1252057552337646, 0.5771483182907104, -0.4382329285144806, -0.36749252676963806, -0.25243040919303894, -0.003169379895552993, 0.7054617404937744, 1.2395039796829224, 0.1714768409729004, -0.09567219763994217, -0.24510234594345093, 0.353944331407547, 0.1354607194662094, 0.26204437017440796, 0.04306052252650261, -0.22702984511852264, 0.7339808344841003, -0.19003713130950928, 0.5492715835571289, -0.2679916024208069, 0.2655917704105377, -0.22219033539295197, -0.025917863473296165, -0.036477770656347275, -0.7411795258522034, -0.0865531712770462, 0.08371270447969437, 0.7427618503570557, -0.11166127026081085, 0.4592096507549286, -0.0010247097816318274, 0.6452630162239075, 0.8986791372299194, -0.12936599552631378, 0.17337387800216675, -0.4379659593105316, 0.028637906536459923, -0.12883496284484863, 0.23139126598834991, -0.02234361693263054, 0.03674595430493355, -0.20930807292461395, 0.016329120844602585, 0.36877840757369995, 0.7171832919120789, 1.0133816003799438, 0.07484309375286102, 0.42268359661102295, -0.31043460965156555, 0.41447457671165466, -0.4772662818431854, 0.9317407608032227, -0.23561635613441467, -0.9420633912086487, 0.0374591127038002, 0.4633995592594147]"
company,601099,"[-0.2601931393146515, 0.6329453587532043, -0.15056626498699188, 0.5349637866020203, 0.08581646531820297, -0.8459287285804749, 0.08949660509824753, -0.18409830331802368, -0.40925270318984985, 0.22507521510124207, 0.2093212604522705, 0.5227874517440796, 0.20373128354549408, -0.7188968658447266, 0.23688378930091858, 0.8511279821395874, 0.07312837243080139, 0.131840318441391, 0.08449330180883408, 0.26145899295806885, -0.1824396252632141, -0.3498319685459137, 0.8404129147529602, -0.813479483127594, 0.4574425220489502, -0.09725844115018845, 0.15474529564380646, -0.14527198672294617, 0.08828434348106384, 0.013383662328124046, 0.03731545805931091, 0.7740833759307861, -0.9488042593002319, -0.04157310351729393, -0.08279880881309509, 0.4061792492866516, -0.3247738480567932, 0.3233218491077423, 0.5681955218315125, 0.08871188014745712, 1.1260663270950317, 0.6010123491287231, -0.055069778114557266, -0.7753319144248962, 0.3057692348957062, 0.34294453263282776, 0.3632495701313019, 0.12727580964565277, -0.1042357087135315, -0.4232180416584015, 0.9584892392158508, -9.778306412044913e-05, 0.56328946352005, 0.1614711433649063, 0.27503272891044617, -0.04504432529211044, -0.15956774353981018, 0.8818343281745911, -0.011495157144963741, 0.10042303800582886, 0.08213933557271957, -0.7794560194015503, 0.4199189245700836, 0.6054527759552002]"
company,603708,"[0.4654625654220581, -0.30591070652008057, -0.32329434156417847, 0.3086068034172058, 0.3109288215637207, -0.3073340356349945, -0.0449514240026474, 0.3986547589302063, -0.47014257311820984, 0.4529738426208496, 0.1809322088956833, -0.2329440861940384, -0.27683836221694946, -0.23031431436538696, 0.23819738626480103, 0.4671333432197571, 0.3562183976173401, -0.29045870900154114, -0.4501352906227112, 0.633017361164093, 0.47327378392219543, 0.08145605772733688, 0.34982120990753174, -0.07807008922100067, 0.38562893867492676, -0.6732660531997681, -0.47145208716392517, 0.004437646362930536, -0.07136914879083633, -0.1529410481452942, -0.32148489356040955, -0.1383468210697174, 0.06554193794727325, -0.1245538517832756, -0.23644283413887024, 0.2053687572479248, 0.057451508939266205, -0.09178721904754639, 0.5730275511741638, 0.650194525718689, 0.44292277097702026, -0.37627917528152466, 0.534875750541687, -1.127123236656189, -0.6940619349479675, 0.5898938775062561, 0.06286031752824783, 0.2637501657009125, 0.15130648016929626, -0.1628451943397522, 0.7104951739311218, -0.04597867280244827, 0.45715412497520447, 0.10916305333375931, 0.6630625128746033, -0.43781816959381104, 0.060227636247873306, -0.015048637054860592, 0.3186904489994049, 0.1997695416212082, 0.3060492277145386, -0.4850696921348572, 0.39449936151504517, 0.2012096792459488]"
company,600701,"[0.692432165145874, 0.44439268112182617, -0.26870909333229065, -0.2745809853076935, -0.00026534387143328786, -0.8899310231208801, -0.3049599528312683, 0.17076309025287628, -0.4883359968662262, -0.13605080544948578, -0.08295450359582901, 0.0473625548183918, 0.05399323254823685, 0.19293220341205597, 0.19646085798740387, 0.664318323135376, 0.66737961769104, 0.039956070482730865, 0.08924780786037445, -0.550044596195221, 0.14680440723896027, -0.22921349108219147, 0.10171249508857727, -0.3901393711566925, -0.2688083350658417, -0.586555540561676, -0.06922946870326996, 0.0209193117916584, 0.010354741476476192, -0.033805254846811295, 0.3567417860031128, 0.19612739980220795, -0.8385725021362305, -0.609427809715271, -0.3736250102519989, -0.027581490576267242, -0.4746682643890381, -0.043397918343544006, 0.5644080638885498, 0.3038475513458252, 0.056698285043239594, 0.11598542332649231, -0.2266850471496582, -0.9344979524612427, 0.12159066647291183, 0.10687828063964844, -0.3948505222797394, -0.1201048418879509, 0.08034314215183258, 0.37726664543151855, -0.20690849423408508, 0.7299058437347412, -0.14775040745735168, 0.6838403940200806, 0.9191293716430664, 1.03943932056427, -0.3396466076374054, 0.2859562635421753, 0.17171595990657806, 0.558746874332428, 0.3750572204589844, -0.47427427768707275, 0.20590482652187347, 0.07098038494586945]"
company,600683,"[-0.1377778798341751, -0.540124773979187, -0.27887606620788574, -0.12842856347560883, -0.07330439239740372, -0.6404396295547485, -0.019297944381833076, 0.5153196454048157, -0.6931394934654236, -0.5876119136810303, 0.7478541731834412, -0.10750178247690201, -0.7053996324539185, -0.41860318183898926, 0.34016984701156616, 0.6644070148468018, 0.42718949913978577, -0.48244139552116394, -0.07674131542444229, -0.42356500029563904, 0.14897873997688293, -0.3692111074924469, 0.9222156405448914, -0.061290062963962555, 0.25998228788375854, 0.12062989920377731, -0.0044242036528885365, 0.03450033813714981, 0.05068542808294296, -0.3991919159889221, -0.5681132078170776, 0.4254322946071625, -0.7138339877128601, -0.15284433960914612, 0.06112881749868393, 0.8211703300476074, 0.07855980098247528, 0.17648334801197052, 0.3765113651752472, -0.14273661375045776, 0.19235560297966003, 0.9901205897331238, -0.27860328555107117, -0.1099611297249794, 1.0251004695892334, 0.10839971899986267, 0.16267426311969757, -0.16827060282230377, 0.4863409101963043, 0.41537711024284363, -0.055454012006521225, -0.7597360014915466, 0.22109588980674744, 0.7439659237861633, 0.4103400409221649, 0.07841398566961288, -0.30884668231010437, 0.17597275972366333, -0.5375779271125793, 0.553993821144104, 0.34237226843833923, -0.26822906732559204, 0.3739093542098999, -0.20412029325962067]"
company,688012,"[-0.4513874053955078, 0.34117355942726135, 0.11211572587490082, 0.37974512577056885, 0.12831956148147583, -0.32768404483795166, 0.9038532376289368, 0.10278791934251785, -0.429241418838501, -0.1681196540594101, 0.1257147490978241, 0.27443185448646545, -0.3831363320350647, 0.4397459328174591, 0.4158126711845398, 0.45265936851501465, 0.15154720842838287, -0.8296093344688416, 0.4605448246002197, 0.26595696806907654, -0.09093846380710602, -0.30853402614593506, -0.0826544314622879, -0.691254198551178, 0.33949509263038635, -0.32240086793899536, 0.0011687134392559528, -0.054649390280246735, 0.11086006462574005, -0.274554967880249, 0.4584222733974457, 0.09643104672431946, -0.8117745518684387, -0.45378589630126953, 0.17269906401634216, 0.4342994689941406, 0.12298480421304703, 0.6290599703788757, -0.32531261444091797, 0.31890591979026794, 0.7420312762260437, -0.07060478627681732, 0.3694784939289093, -0.6852569580078125, 0.4030364751815796, 0.0872315838932991, -0.030404891818761826, 0.19016362726688385, 0.48687389492988586, 0.2289685159921646, 0.04276562109589577, -0.3155823349952698, -0.20695045590400696, -0.053497664630413055, 1.055177927017212, 0.21686729788780212, 0.23880992829799652, 0.09418109804391861, -0.6192111968994141, 0.3710457682609558, 0.19887320697307587, -0.4822169244289398, 0.12619814276695251, -0.2083158940076828]"
