label,name,embeddings
company,603297,"[0.022853517904877663, 0.3239807188510895, -0.22668442130088806, 0.3615005314350128, -0.22356875240802765, 0.15839049220085144, 0.13660843670368195, 0.7021854519844055, -0.33648568391799927, -0.1787009984254837, 0.5717843770980835, -0.2884145677089691, 0.4318665862083435, -0.21861612796783447, -0.012025849893689156, -0.32110071182250977, -0.3484865128993988, -0.19215022027492523, 0.34583580493927, 0.37586110830307007, 0.05224711447954178, 0.10750166326761246, 0.6412990093231201, 0.1359686553478241, -0.09596585482358932, 0.32628288865089417, 0.2721937596797943, -0.18480798602104187, 0.227726548910141, 0.01372780092060566, 0.13651727139949799, 0.10559415072202682, -0.6966753602027893, -0.3899306356906891, -0.3724951148033142, 0.21426716446876526, -0.37495943903923035, 0.194036066532135, 0.5733038187026978, 0.5852351784706116, 0.3933154046535492, -0.30881813168525696, 0.361524760723114, -0.404819518327713, -0.01471020095050335, 0.011437024921178818, 0.4570797085762024, -0.47884324193000793, -0.024213623255491257, 0.5449589490890503, 0.20824293792247772, 0.8583741188049316, 0.2307167798280716, 0.6458731889724731, 0.2429344207048416, -0.23663856089115143, 0.09889127314090729, -0.4433215856552124, 0.48126330971717834, -0.03129436448216438, 0.3364811837673187, -0.3318687677383423, 0.0863058790564537, 0.12002474814653397]"
company,2668,"[0.6135814785957336, -0.3163919448852539, -0.2466111034154892, -0.1815228909254074, -0.437479168176651, -0.287862628698349, -0.28966277837753296, 0.2625218331813812, 0.22310543060302734, -0.40906038880348206, 0.2326383739709854, -0.40364789962768555, -0.43783998489379883, 0.297609806060791, -0.27922341227531433, 0.5934316515922546, -0.12519586086273193, -0.5053455829620361, 0.13981440663337708, -0.133631631731987, -0.4232100248336792, -0.39183905720710754, 0.21570837497711182, 0.2109188437461853, 0.3449617624282837, 0.25240153074264526, -0.1755152940750122, -0.5777835845947266, -0.1291845738887787, 0.1250816136598587, -0.5575991868972778, 0.2532750070095062, -0.620051383972168, -0.4504803717136383, -0.49238982796669006, 0.36841535568237305, -0.4945566654205322, 0.4273388087749481, -0.17465241253376007, 0.9269967675209045, -0.6451703310012817, 0.10764741152524948, 0.8524680733680725, -0.4852793216705322, -0.36630356311798096, 0.4099847078323364, 0.2795470654964447, -0.2860970199108124, 0.5656827688217163, 0.3472192585468292, 0.036193523555994034, -0.16285240650177002, -0.43841224908828735, 0.8354393839836121, 0.46353280544281006, -0.575057327747345, -0.3910598158836365, 0.17834053933620453, 0.0003189735871274024, 0.6976528763771057, 0.05338498577475548, -0.398963063955307, 0.553429901599884, -0.28908973932266235]"
company,601811,"[0.5737829208374023, 0.7200727462768555, -0.04852282628417015, 0.49056151509284973, -0.21597649157047272, 0.07554470747709274, 0.07210378348827362, -0.3587280809879303, -0.3909749388694763, 0.2925480902194977, 0.36453133821487427, -0.20896126329898834, 0.14057016372680664, -0.10737001895904541, 0.3249693810939789, 0.272183895111084, -0.05363588407635689, -0.3794247508049011, 0.09877096116542816, -0.0006856240797787905, -0.14754629135131836, -0.23075316846370697, 0.2727218568325043, -0.17234113812446594, 0.24129633605480194, 0.038282450288534164, 0.09107520431280136, -0.5893245935440063, -0.39579737186431885, -0.08714616298675537, 0.3355132043361664, -0.1974724978208542, -0.8213986158370972, -0.18271426856517792, -0.2356872409582138, 0.21426542103290558, -0.6796724200248718, 0.09101775288581848, -0.12949714064598083, 0.12726883590221405, 0.14919283986091614, 0.4388343095779419, -0.4095332622528076, -0.6625805497169495, -0.35808148980140686, -0.15517573058605194, -0.3863465487957001, -0.4046713411808014, 0.1943695992231369, 0.019468484446406364, 0.498740553855896, 0.30678224563598633, 0.29774290323257446, 0.3799229562282562, 0.21294374763965607, -0.6764971017837524, -0.2671840190887451, 0.16418318450450897, -0.2742200493812561, 0.33508574962615967, 0.5968523025512695, -0.48389679193496704, 0.8759968876838684, 0.507624626159668]"
company,601595,"[0.21330323815345764, 0.036175437271595, 0.08440560102462769, 0.6359683275222778, 0.31698518991470337, -0.5648571252822876, 0.1828538179397583, -0.5042575001716614, -0.25766512751579285, -0.7738982439041138, -0.16746783256530762, 0.169856995344162, 0.5898995995521545, -0.17204388976097107, 0.8931090831756592, 1.0750535726547241, -0.29699835181236267, -0.4655706286430359, 0.1940326690673828, 0.312893807888031, -0.08058592677116394, -0.16829140484333038, 0.33796244859695435, -0.13335663080215454, 0.7779328227043152, -0.10440675914287567, 0.6256040334701538, -0.18446782231330872, -0.011434747837483883, -0.3250751197338104, 0.2233850359916687, -0.3100214898586273, -0.44896170496940613, -0.11701565980911255, 0.2831202745437622, 0.49418678879737854, -0.12770649790763855, 0.48096027970314026, 0.40624603629112244, -0.08491814881563187, 0.1734752207994461, 0.22493824362754822, 0.30624720454216003, -0.54603511095047, 0.058759793639183044, 0.2691979706287384, 0.6402106285095215, -0.3670918643474579, 0.1114869937300682, 0.41388270258903503, 0.2613346576690674, 0.19371742010116577, -0.04800437018275261, 0.3841944634914398, 0.6210705637931824, -0.0299987830221653, 0.15901291370391846, 0.002156403847038746, -0.5161886215209961, 0.1281479150056839, -0.053762998431921005, -0.801144003868103, 0.4061513841152191, -0.03486960008740425]"
company,600559,"[0.4170425236225128, -0.041734326630830765, -0.3792399764060974, 0.021606365218758583, -0.08390374481678009, -0.6286399364471436, -0.20481866598129272, -0.22144825756549835, -1.184901237487793, 0.57676100730896, -0.2972412109375, -0.622965395450592, -0.09107549488544464, 0.018420634791254997, 1.0087717771530151, 0.6489006876945496, 0.24239204823970795, 0.11483346670866013, 0.19511274993419647, 0.5699790120124817, 0.11136823147535324, 0.2428194284439087, 0.062367916107177734, -0.01814713329076767, 0.8689136505126953, -0.14909552037715912, 0.165549635887146, -0.5478288531303406, 0.5705298781394958, 0.3887006342411041, 0.5028432011604309, -0.29968270659446716, -1.1155917644500732, -0.2448645681142807, 0.09922273457050323, 0.20810747146606445, -0.48038095235824585, 0.4259764850139618, -0.24840663373470306, 0.6453141570091248, 0.28592613339424133, 0.24731016159057617, 0.1606588512659073, -0.5789922475814819, -0.18571335077285767, -0.04282735660672188, -0.12425893545150757, -0.6955425143241882, -0.07572872936725616, 0.4427868127822876, 0.06750526279211044, 0.3525540232658386, 1.062525987625122, 0.6657700538635254, 0.4404814839363098, -0.32656025886535645, -0.31736934185028076, 0.39606064558029175, -0.24452869594097137, 0.9016599059104919, 0.01672520861029625, -0.5430213809013367, 0.23072557151317596, -0.29168814420700073]"
company,601099,"[0.01690717600286007, 0.27852189540863037, 0.0035230962093919516, 0.3338775038719177, -0.014901201240718365, -0.005671120714396238, 0.21846525371074677, -0.5661530494689941, -0.7972293496131897, 0.20220589637756348, 0.212629497051239, 0.16322319209575653, 0.6068323850631714, -0.4642323851585388, -0.050073787569999695, 0.3095977008342743, 0.25194576382637024, 0.1438896656036377, 0.3770425617694855, 0.16623464226722717, 0.07755117118358612, 0.1623644381761551, 0.5919764041900635, -0.10190293192863464, 0.48601165413856506, -0.2864958643913269, -0.11747174710035324, -0.31634846329689026, 0.3489793539047241, 0.339360773563385, 0.11849594116210938, 0.36753299832344055, -1.0949147939682007, 0.008737501688301563, -0.09451830387115479, -0.20223678648471832, -0.47776633501052856, 0.4063308835029602, 0.544779360294342, 0.06848733872175217, 0.9144891500473022, 0.40129363536834717, -0.23728913068771362, -0.8865122199058533, 0.2592695653438568, 0.3525153696537018, -0.12828251719474792, -0.38672560453414917, -0.25519245862960815, 0.02679765783250332, 0.39497387409210205, 0.3679070472717285, 0.6982225775718689, 0.33248642086982727, 0.36609360575675964, -0.7611587643623352, -0.4370710253715515, 0.7406711578369141, 0.13958600163459778, 0.35660088062286377, 0.1739506870508194, -0.8680400252342224, 0.6768632531166077, 0.19950905442237854]"
company,603708,"[0.1794840395450592, -0.06708534806966782, -0.7758287787437439, 0.25135648250579834, 0.45065319538116455, -0.4417032301425934, -0.09134387969970703, 0.5187909603118896, 0.032096486538648605, 0.726550281047821, 0.6085054278373718, -0.5317425727844238, 0.060828980058431625, -0.21946753561496735, 0.2897570729255676, 0.6540284752845764, 0.5872058868408203, -0.48830699920654297, -0.6748558878898621, 0.15517652034759521, 0.22252026200294495, -0.2538202702999115, -0.11312198638916016, 0.17756381630897522, 0.4057896137237549, -0.6409481763839722, -0.28224292397499084, -0.20351868867874146, -0.1641997992992401, 0.007547022774815559, 0.1169162467122078, -0.2601780891418457, -0.2928081750869751, -0.2768574059009552, -0.4092053771018982, 0.5124827027320862, 0.037916149944067, -0.10924091935157776, 0.5438584685325623, 0.22550249099731445, -0.20407207310199738, 0.13546821475028992, -0.0015817596577107906, -0.6764717698097229, -0.3159445524215698, 0.8429542779922485, 0.042821768671274185, 0.3376772105693817, 0.4663795828819275, 0.17926912009716034, -0.006983623374253511, 0.25912100076675415, 0.5802974104881287, -0.2671326994895935, 0.7906233668327332, -0.5694154500961304, -0.11553187668323517, 0.18722966313362122, 0.21084803342819214, 0.6704118251800537, 0.3495974838733673, -0.5072138905525208, 0.34168529510498047, 0.06833398342132568]"
company,600701,"[0.6215710639953613, 0.10228647291660309, -0.2881237268447876, -0.4279404580593109, 0.38030052185058594, -0.10100273042917252, -0.2940959930419922, 0.17023181915283203, -0.555253267288208, -0.4012076258659363, -0.4760388433933258, -0.34666115045547485, 0.21647676825523376, 0.353333055973053, -0.013537958264350891, 0.46299025416374207, 0.3675651550292969, 0.16324950754642487, 0.19976073503494263, -0.5378132462501526, 0.39916539192199707, -0.4092870354652405, 0.5904289484024048, 0.008359269239008427, -0.16134707629680634, -0.6095101833343506, -0.2382671982049942, -0.41681110858917236, -0.23419037461280823, 0.3548842668533325, 0.1829300820827484, -0.25930991768836975, -0.7833781242370605, -0.6582649350166321, 0.11947526037693024, -0.048273082822561264, -0.8579283356666565, 0.1438942551612854, 0.40673649311065674, 0.5864748954772949, -0.5910499095916748, 0.20080269873142242, 0.171780526638031, -0.9964568614959717, 0.2792382836341858, 0.21226570010185242, -0.7311588525772095, -0.6090153455734253, -0.5113181471824646, 0.324829638004303, -0.2629585564136505, 0.7013454437255859, -0.03557775169610977, 0.5126044750213623, 0.7447056770324707, -0.03585205227136612, -0.08320632576942444, 0.3568592071533203, 0.43463513255119324, 0.8309661149978638, 0.3030388355255127, -0.7278650403022766, 0.278233140707016, -0.15444056689739227]"
company,600683,"[0.05137075483798981, -0.7474006414413452, -0.17572598159313202, -0.21219071745872498, -0.09769626706838608, -0.6394097208976746, -0.36646750569343567, 0.015181049704551697, -0.23361103236675262, 0.019376156851649284, 0.11943898350000381, 0.08324417471885681, 0.11691523343324661, -0.32845163345336914, 0.4523533880710602, 0.5512593388557434, 0.6102494597434998, 0.06967347115278244, 0.12830324470996857, -0.24352534115314484, 0.2740817666053772, -0.5758141875267029, 0.30398863554000854, 0.08303429186344147, 0.9507566094398499, 0.22455571591854095, 0.13811418414115906, -0.5184177160263062, -0.0027714595198631287, -0.6810978055000305, -0.07397863268852234, 0.17464236915111542, -0.8773563504219055, -0.24327963590621948, 0.42908406257629395, 0.6160427927970886, 0.19682297110557556, 0.2400449961423874, 0.01710796169936657, -0.20415657758712769, 0.24111105501651764, 0.47779300808906555, -0.05767662078142166, -0.42913803458213806, 0.17565380036830902, -0.16016486287117004, 0.44214165210723877, -0.2015906423330307, 0.12736064195632935, 0.7201178669929504, 0.2817835807800293, -0.6729060411453247, 0.22752317786216736, 0.345257431268692, 0.6358531713485718, 0.1277424842119217, -0.2108306586742401, -0.2082972377538681, -0.16603559255599976, 0.3126548230648041, 0.8817585110664368, -0.09590739011764526, 0.7211973071098328, 0.21291595697402954]"
company,688012,"[0.32049858570098877, 0.1385853886604309, 0.18794867396354675, 0.32396459579467773, 0.28373634815216064, -0.6469534635543823, 0.27133798599243164, -0.5040321946144104, -0.04675741121172905, -0.9344406723976135, -0.15179641544818878, 0.2865254580974579, 0.5886155366897583, 0.019639883190393448, 0.21064233779907227, 1.0500948429107666, -0.29921990633010864, -0.19336193799972534, 0.391851544380188, 0.10611013323068619, -0.1971581131219864, 0.03269795700907707, 0.2332240492105484, 0.03946315124630928, 0.3628186285495758, 0.03598828613758087, 0.46647804975509644, -0.056122392416000366, -0.21008723974227905, -0.3858315944671631, 0.19784298539161682, -0.42836281657218933, -0.39396029710769653, -0.31704288721084595, 0.11407619714736938, 0.6682884097099304, 0.1317243129014969, 0.3740925192832947, 0.3833901882171631, -0.002361377002671361, 0.5142411589622498, -0.018880829215049744, 0.32668209075927734, -0.9176183342933655, 0.28585898876190186, -0.12839080393314362, 0.3195466697216034, -0.32607701420783997, -0.06507668644189835, 0.4504273235797882, -0.0911898985505104, 0.7421298623085022, -0.5602643489837646, 0.5139214992523193, 0.544423520565033, 0.03972969949245453, 0.7949586510658264, -0.11372856050729752, -0.341388076543808, 0.2753288149833679, -0.11527115106582642, -0.7161867618560791, -0.049595363438129425, -0.020677004009485245]"
