label,name,embeddings
company,603297,"[0.33197498321533203, 0.4428487718105316, -0.2935686707496643, 0.17755715548992157, -0.06923514604568481, 0.15467290580272675, 0.4536072015762329, 0.4222032427787781, -0.3337317109107971, -0.11039724200963974, 1.0384098291397095, -0.6339121460914612, 0.7770856618881226, -0.3543343245983124, 0.1751585304737091, 0.162370502948761, -0.05943610519170761, -0.26435863971710205, 0.4792804419994354, 0.36720341444015503, -0.17185544967651367, 0.5187705159187317, 0.5755101442337036, 0.07010360807180405, -0.43380865454673767, 0.4696093499660492, 0.30450373888015747, 0.17909228801727295, 0.04675713926553726, 0.13343437016010284, 0.09695491194725037, 0.4392379820346832, -0.6434639096260071, -0.5587497353553772, -0.6684141755104065, 0.2566462755203247, -0.09556972235441208, 0.31216827034950256, 0.30037856101989746, 0.10194649547338486, 0.38160911202430725, -0.14299042522907257, -0.34143251180648804, -0.7949120402336121, -0.2880370616912842, 0.4011286199092865, -0.0494421161711216, -0.44298887252807617, -0.4307968318462372, 0.5076100826263428, 0.20920495688915253, 0.125826895236969, 0.08409290015697479, 0.5464996695518494, 0.16184492409229279, 0.06484202295541763, 0.47825875878334045, -0.40133175253868103, 0.2079281508922577, -0.4996072053909302, 0.45516642928123474, 0.5517385005950928, 0.11750318109989166, 0.08830541372299194]"
company,2668,"[0.7080102562904358, -0.359341561794281, -0.6788564324378967, -0.20267844200134277, -0.11901576071977615, -0.23914983868598938, -0.2460896074771881, 0.04414379596710205, -0.10449907183647156, -0.8834795951843262, 0.22917552292346954, -0.43796291947364807, -0.17643117904663086, 0.2510681450366974, 0.17538709938526154, 0.7014109492301941, -0.5598598122596741, -0.5397841334342957, 0.08016005903482437, -0.7162570953369141, -1.0848709344863892, 0.18287864327430725, 0.2164929062128067, 0.546373188495636, 0.34716904163360596, 0.6431852579116821, -0.1689097136259079, 0.01492280699312687, -0.05781593173742294, -0.0322122760117054, -0.34250327944755554, 0.18933872878551483, -0.15670832991600037, -0.4495650827884674, -0.289879709482193, 0.9727978110313416, -0.14684107899665833, 0.5200486779212952, 0.48810136318206787, 0.721308708190918, -0.3536170423030853, -0.1043008416891098, 0.5731465220451355, -0.562118411064148, -0.17135290801525116, 0.7937923073768616, 0.4970872700214386, 0.04977843537926674, 0.02383309043943882, -0.19637879729270935, 0.5030458569526672, 0.11916396766901016, -0.5017356872558594, 0.553588330745697, 0.22855660319328308, -0.08660902827978134, 0.009728584438562393, -0.127452090382576, 0.49652451276779175, 0.24893029034137726, -0.04299904406070709, -0.5869675874710083, 0.8415047526359558, 0.1301385462284088]"
company,601811,"[0.4714342951774597, 0.41670671105384827, -0.4898984432220459, 0.3482067883014679, 0.06497666239738464, -0.18941275775432587, -0.030782459303736687, -0.2038748413324356, -0.4609472155570984, 0.277515709400177, 0.40222591161727905, -0.6274072527885437, 0.12042669206857681, -0.20643478631973267, 0.19371384382247925, 0.3459157347679138, -0.19276908040046692, -0.38917359709739685, -0.09949415177106857, -0.4478919804096222, 0.295271635055542, -0.39297914505004883, 0.46187853813171387, -0.016846684738993645, 0.33770692348480225, -0.02327059768140316, -0.023009568452835083, -0.50215083360672, -0.3998447060585022, -0.09592872112989426, 0.02992800623178482, -0.1215125024318695, -0.8117358088493347, 0.037291061133146286, -0.3709903359413147, 0.44865888357162476, -0.2277858704328537, 0.2332807332277298, 0.012656480073928833, 0.20153163373470306, 0.28199198842048645, 0.06428659707307816, -0.7156237363815308, -0.552763819694519, -0.2592979073524475, -0.004796137101948261, -0.3025708794593811, 0.061241697520017624, -0.1848287135362625, -0.22465285658836365, 0.5581614375114441, 0.36970266699790955, 0.2815078794956207, 0.1572851836681366, 0.27320316433906555, -0.5315608382225037, -0.09542138874530792, 0.3476722538471222, -0.22236648201942444, 0.5155143737792969, 0.24541983008384705, -0.4377496540546417, 0.9849627614021301, 0.5399695634841919]"
company,601595,"[0.19979047775268555, -0.4607982933521271, -0.06783056259155273, 0.6353908181190491, 0.41921669244766235, -0.4643247425556183, 0.0890803411602974, 0.06818884611129761, -0.055203940719366074, -0.5553539991378784, -0.7645285725593567, 0.26631754636764526, 0.3502177298069, -0.10868872702121735, 0.3455319404602051, 1.1044950485229492, -0.16823606193065643, -0.4822963774204254, -0.13586097955703735, 0.29907727241516113, -0.06224896386265755, -0.32501015067100525, 0.5194970369338989, -0.16610778868198395, 0.6696795225143433, -0.1334579437971115, 0.5245099067687988, -0.07198967039585114, 0.16566327214241028, -0.18506470322608948, 0.2732980251312256, -0.14169688522815704, -0.7512254118919373, -0.45464539527893066, -0.2535667419433594, 0.6073400378227234, 0.29177388548851013, 0.41302213072776794, 1.0702482461929321, 0.21124635636806488, 0.05572766810655594, -0.03723004087805748, 0.12298650294542313, -1.0881141424179077, 0.5871692299842834, 0.26854872703552246, 0.6543961763381958, 0.09633156657218933, 0.13177458941936493, 0.14161519706249237, 0.2727965712547302, -0.1367640644311905, 0.024781597778201103, 0.29748839139938354, 0.16696542501449585, 0.3121459484100342, 0.16071301698684692, 0.6317346692085266, -0.31898120045661926, 0.172060027718544, -0.3880004286766052, -0.9502726197242737, 0.2610030174255371, 0.39690640568733215]"
company,600559,"[-0.25930726528167725, 0.32871687412261963, -0.7832714915275574, 0.2897939383983612, -0.5324282050132751, 0.37085312604904175, 0.1901138722896576, -0.06513269245624542, -0.5168529748916626, 0.527349591255188, 0.10408816486597061, -0.49907419085502625, 0.36886098980903625, -0.6633064150810242, -0.17799486219882965, 0.7832445502281189, -0.530693531036377, -0.4357869327068329, -0.49024441838264465, -0.31944355368614197, 0.3290238678455353, 0.3538965880870819, 0.5954101085662842, 0.43350744247436523, 0.22614209353923798, -0.3632369339466095, -0.34870508313179016, -0.5088703036308289, 0.2569045126438141, 0.09743441641330719, -0.6443604826927185, -0.07014977931976318, -1.2899495363235474, -0.6863394379615784, 0.01422039046883583, 0.7107755541801453, 0.10787419229745865, 0.6250211596488953, 0.6832941770553589, 0.14419883489608765, 0.5404830574989319, -0.3921021521091461, 0.18315763771533966, -0.6785681843757629, 0.2622876763343811, 0.5452532172203064, -0.35487398505210876, -0.07362283766269684, -0.5536607503890991, -0.25620901584625244, 0.18298108875751495, 0.6492036581039429, 0.5366368293762207, 0.06966254115104675, 0.16242854297161102, 0.006607398856431246, 0.07655484229326248, 1.132474660873413, -0.05370968580245972, 0.26831290125846863, 0.24095028638839722, -0.17476460337638855, 0.40547046065330505, 0.24052684009075165]"
company,601099,"[-0.011860072612762451, 0.33485013246536255, -0.10157637298107147, 0.2793661057949066, 0.010165911167860031, -0.08810631185770035, 0.3115583658218384, 0.03956560790538788, -0.38441669940948486, 0.40477249026298523, 0.29784971475601196, 0.006119520869106054, 0.5094473361968994, -0.6207033395767212, -0.11474697291851044, 0.37127426266670227, -0.15184909105300903, 0.01027724053710699, 0.039673738181591034, -0.4446130394935608, 0.47435078024864197, -0.28113558888435364, 0.6987769603729248, -0.5863821506500244, 0.4726371169090271, -0.3829728960990906, -0.10200473666191101, -0.23569846153259277, -0.1339772343635559, 0.24379025399684906, -0.06395361572504044, 0.09929781407117844, -1.095832109451294, -0.11808137595653534, -0.28889352083206177, 0.17449067533016205, -0.37563180923461914, 0.6511701345443726, 0.41452756524086, 0.1204080805182457, 1.0428223609924316, 0.08424007147550583, -0.3796573281288147, -0.9176217913627625, 0.4053095579147339, 0.3949679136276245, -0.13774999976158142, -0.3617629110813141, -0.5851132869720459, -0.04284355044364929, 0.7087118625640869, 0.5318368077278137, 0.1890448033809662, 0.04595485329627991, 0.43276411294937134, -0.5720986127853394, -0.13818727433681488, 1.013372540473938, 0.19740711152553558, 0.2457677572965622, 0.055841926485300064, -0.223311647772789, 0.595206618309021, 0.21608048677444458]"
company,603708,"[0.4324990510940552, -0.0691852793097496, -0.6365448832511902, 0.21656809747219086, 0.45013314485549927, -0.42339012026786804, 0.09247325360774994, 0.5488398671150208, -0.5588219165802002, 0.4595300853252411, 0.2984762489795685, -0.3482268154621124, 0.4693436026573181, -0.20088951289653778, 0.515992283821106, 0.5797953009605408, 0.31316742300987244, -0.33496952056884766, -0.7268703579902649, -0.31654030084609985, 1.0076044797897339, 0.1621098518371582, 0.08130551874637604, 0.03606662526726723, 0.26798272132873535, -0.368954598903656, -0.5861116051673889, -0.24691052734851837, -0.4566187858581543, -0.060779497027397156, -0.5820049047470093, -0.3437157869338989, 0.176473468542099, 0.3497612476348877, -0.4888744056224823, 0.16376356780529022, 0.6298641562461853, -0.0038430020213127136, 0.5579047203063965, 0.27124935388565063, 0.4994881749153137, -0.4311092793941498, 0.2039547860622406, -0.7206907272338867, -0.5915297269821167, 0.7468718886375427, 0.23013781011104584, 0.11552887409925461, 0.09446362406015396, -0.1194366067647934, 0.2162744551897049, 0.12045705318450928, 0.04109616577625275, 0.08885953575372696, 0.5166518688201904, -0.10263600200414658, 0.38329264521598816, -0.299306184053421, 0.1620142161846161, 0.09994141012430191, 0.17357271909713745, -0.48041194677352905, 0.2949736416339874, 0.4726755917072296]"
company,600701,"[0.8469769954681396, 0.17570728063583374, -0.4447879493236542, 0.07153463363647461, -0.026357153430581093, -0.3207528293132782, 0.09641329944133759, 0.7822522521018982, -0.18812444806098938, -0.5514934659004211, 0.3861567974090576, -0.6146973371505737, 0.39695414900779724, 0.1302168071269989, -0.28365975618362427, 0.2609533667564392, 0.3934137523174286, -0.24047498404979706, 0.1558675467967987, -0.5311667919158936, 0.42879316210746765, -0.14129528403282166, 0.20400504767894745, -0.4239957928657532, -0.18235468864440918, -0.3325320780277252, -0.023519890382885933, -0.3620774447917938, -0.3600350320339203, 0.36123019456863403, -0.24538110196590424, -0.11935578286647797, -0.77631676197052, -0.8451225757598877, -0.04115895926952362, 0.11930432170629501, -0.0507337860763073, 0.48202845454216003, 0.9159003496170044, 0.6828541159629822, -0.4328649938106537, -0.022127054631710052, -0.304279625415802, -0.9760578274726868, 0.06344395130872726, 0.49912673234939575, -0.6968482732772827, -0.6192368865013123, -0.22059230506420135, 0.5570398569107056, -0.22553712129592896, 0.3229580223560333, -0.3271002173423767, 0.09775910526514053, 0.8239923715591431, 0.4241454303264618, -0.07942771166563034, 0.4076588451862335, -0.023692626506090164, 0.5867985486984253, -0.09010565280914307, -0.1137462854385376, 0.7523648142814636, 0.12064601480960846]"
company,600683,"[-0.26998141407966614, -0.9419798851013184, -0.41034919023513794, 0.11209042370319366, 0.06947561353445053, -0.8924835324287415, -0.21133986115455627, 0.3482520282268524, -0.5839882493019104, -0.10947101563215256, 0.10051179677248001, -0.03972037881612778, 0.07409793883562088, -0.43814796209335327, 0.09252571314573288, 0.2850593328475952, -0.37210747599601746, -0.117682084441185, 0.18669076263904572, -0.32471680641174316, 0.18342110514640808, -0.3826163113117218, 0.8830243349075317, -0.09316520392894745, 0.6432203650474548, 0.8752467632293701, 0.24588486552238464, -0.05460568144917488, 0.5721533894538879, -0.264959454536438, -0.5869433283805847, 0.42932844161987305, -0.3651908338069916, -0.5573487281799316, -0.24429211020469666, 0.6938653588294983, 0.4289432466030121, 0.42724040150642395, 0.5119383335113525, -0.8457722067832947, 0.10497618466615677, 1.072250485420227, -0.10014462471008301, -0.18884435296058655, 0.7990676760673523, 0.5253888964653015, 0.12424731999635696, 0.24110697209835052, 0.5480412244796753, 0.22073836624622345, 0.0535791851580143, -0.30152660608291626, -0.08562102913856506, 0.42154014110565186, 0.6871950030326843, 0.060511164367198944, -0.2798745036125183, 0.19298487901687622, 0.2268603891134262, -0.08599775284528732, -0.09203962236642838, -0.5051605701446533, 0.7334737777709961, 0.22150565683841705]"
company,688012,"[0.018192246556282043, -0.13795620203018188, -0.02012592926621437, 0.7800634503364563, -0.37932106852531433, -0.4757368266582489, 0.433666467666626, -0.024524172767996788, -0.0545048862695694, -1.040384292602539, -0.4970930516719818, 0.2861926853656769, 0.30271244049072266, -0.012386767193675041, 0.7218150496482849, 0.6529649496078491, -0.05873652920126915, -0.7401003241539001, -0.01029282622039318, 0.4399915039539337, -0.28399255871772766, -0.019219351932406425, 0.24785469472408295, -0.20447812974452972, 0.44174954295158386, -0.3357528746128082, 0.23277100920677185, 0.1462545245885849, 0.11775093525648117, -0.6370313763618469, -0.464751273393631, -0.011645925231277943, -0.32058611512184143, -0.6707534193992615, -0.29597583413124084, 0.3419113755226135, 0.29074549674987793, 0.4069329798221588, 0.43777719140052795, 0.1971176415681839, 0.4398633539676666, -0.0406765453517437, 0.5130037069320679, -0.9473580718040466, 0.4388897120952606, 0.6567034721374512, 0.4368409514427185, 0.20986001193523407, 0.6006500720977783, -0.019117193296551704, 0.09539292007684708, -0.03515712171792984, -0.5402334332466125, 0.3300309479236603, 0.5518166422843933, 0.6919363141059875, -0.007145748008042574, -0.08479594439268112, -0.2791474461555481, 0.012062584049999714, -0.3480421304702759, -0.4780055284500122, 0.027806108817458153, 0.08692459017038345]"
