label,name,embeddings
company,603297,"[0.7428711652755737, 0.007854105904698372, -0.5651249885559082, 0.3700466752052307, 0.14486701786518097, 0.17811886966228485, 0.3524865508079529, 0.8192062377929688, -0.5573105812072754, 0.2087465077638626, 0.5283871293067932, -0.37004294991493225, 0.7838194966316223, -0.058032870292663574, 0.5771719217300415, 0.1758383810520172, -0.1638835221529007, -0.4506302773952484, 0.43554598093032837, 0.3678119480609894, 0.13737881183624268, 0.6359243988990784, 0.5497073531150818, -0.04416618496179581, 0.36772459745407104, 0.5824171304702759, 0.23024849593639374, 0.4099995791912079, -0.25568774342536926, 0.23344311118125916, 0.27072620391845703, 0.46319258213043213, -0.594308078289032, -0.14733260869979858, -0.3807336390018463, 0.2479211986064911, -0.2555476725101471, 0.5253812670707703, 0.33948177099227905, 0.21090611815452576, 0.2994854748249054, -0.07372547686100006, 0.3722838759422302, -0.6398552060127258, -0.49390116333961487, 0.2128821164369583, -0.4394698441028595, -0.6441757082939148, -0.2540721595287323, 0.6580452919006348, 0.6065264344215393, 0.6345440149307251, -0.08116699010133743, 0.7827473282814026, 0.2939760386943817, 0.31731709837913513, 0.13680630922317505, -0.5660750865936279, 0.28098252415657043, -0.5043429732322693, 0.5238136053085327, 0.12450884282588959, -0.009692170657217503, 0.14125123620033264]"
company,2668,"[0.4677030146121979, -0.18080689013004303, -0.21664805710315704, -0.4881708025932312, -0.10625862330198288, 0.3299090266227722, 0.1486295908689499, 0.39246413111686707, -0.587280809879303, 0.11812698841094971, 0.6156514286994934, 0.2359156608581543, -0.560152530670166, 0.33646324276924133, 0.327452152967453, 0.9164807796478271, -0.42083051800727844, -0.3464055359363556, 0.595682680606842, -0.28159528970718384, -1.0635368824005127, -0.26715195178985596, 0.09023367613554001, 0.07102596759796143, 0.5953028798103333, 0.32188016176223755, -0.20983076095581055, -0.05634845048189163, 0.08052361011505127, 0.10951552540063858, -0.4290541708469391, 0.4900367856025696, -0.6516819596290588, -0.38538673520088196, 0.11739180237054825, 0.22631244361400604, 0.18141458928585052, 0.3911184072494507, -0.11084702610969543, 0.669376015663147, 0.2749362885951996, 0.25237858295440674, 0.4475013315677643, -0.9148173332214355, 0.15462863445281982, 0.9089607000350952, 0.30241286754608154, 0.31230419874191284, -0.25483641028404236, 0.533771276473999, 0.37711748480796814, -0.19690637290477753, -0.39908289909362793, -0.040264640003442764, 0.2781417965888977, -0.6224737763404846, 0.016489552333950996, 0.27146199345588684, 0.4212242364883423, 1.020556092262268, 0.6084740161895752, -0.4884641170501709, 0.8602567315101624, -0.3094063997268677]"
company,601811,"[0.46259504556655884, 0.056214530020952225, -0.04142020642757416, 0.17018693685531616, -0.013331766240298748, -0.22592224180698395, 0.040751852095127106, 0.4868401288986206, -0.7625730633735657, 1.0334256887435913, 0.6018392443656921, 0.11110544204711914, 0.05135458707809448, 0.1458245813846588, 0.4647423326969147, 0.4638059139251709, -0.5069022178649902, 0.025236859917640686, -0.10994940996170044, -0.5104777216911316, -0.07532919198274612, -0.5404292941093445, -0.13449841737747192, -0.11186687648296356, 0.25969651341438293, 0.36439812183380127, 0.22322110831737518, -1.058336853981018, -0.5097302794456482, -0.5988377332687378, 0.11356957256793976, -0.36681878566741943, -0.8979009985923767, 0.3160650432109833, 0.5116367340087891, 0.923195481300354, -0.7778484225273132, 0.46670591831207275, 0.05595765262842178, 0.3737568259239197, -0.3920207917690277, 0.4328576624393463, -0.6649328470230103, -1.2411271333694458, -0.7298018336296082, 0.05649963766336441, -0.3806215822696686, -0.13154956698417664, -0.09302050620317459, -0.08635907620191574, 1.1289561986923218, 0.6340600252151489, 0.4834422469139099, 0.13225297629833221, 0.35766610503196716, 0.2775130867958069, -0.11369232088327408, -0.07073221355676651, -0.20420557260513306, 1.138842225074768, 0.6942838430404663, -0.4272483289241791, 1.0962226390838623, 0.599814772605896]"
company,601595,"[-0.16755174100399017, -0.22497330605983734, 0.09200730919837952, 0.21818701922893524, 0.3518848121166229, -0.35403329133987427, 0.7226535081863403, 0.4057292640209198, -0.5471633672714233, 0.16048592329025269, -0.259469211101532, 0.19036704301834106, -0.24621334671974182, 0.09431058913469315, 0.3344918489456177, 1.277478814125061, 0.11826378107070923, -0.006428329274058342, 0.8755856156349182, 0.6756222248077393, -0.19430206716060638, -0.46360743045806885, 0.17223958671092987, -0.25335878133773804, 0.33972907066345215, -0.003694701474159956, -0.08808904886245728, -0.11203037202358246, 0.24062477052211761, 0.03819888085126877, 0.8170194625854492, -0.270842969417572, -1.2776029109954834, -0.13977457582950592, 0.02566169947385788, -0.06047141179442406, 0.007933362387120724, 0.8770884871482849, 0.7595212459564209, 0.25087568163871765, 0.45475560426712036, 0.2944430410861969, 0.4344920217990875, -1.0514723062515259, 0.06425777822732925, 0.11502353847026825, 0.7561038732528687, 0.4256168603897095, -0.3629603385925293, 0.35089564323425293, 0.26867184042930603, -0.4038272202014923, 0.35446831583976746, 0.4893782436847687, 0.5227174162864685, 0.03972974047064781, -0.14377464354038239, 0.3979649841785431, 0.12404518574476242, 0.3401111364364624, -0.03669391945004463, -0.5087568759918213, -0.45804163813591003, -0.2292492687702179]"
company,600559,"[0.36441341042518616, -0.15918409824371338, 0.26606908440589905, -0.3096468448638916, -0.1933984011411667, -0.7082579135894775, 0.06428715586662292, 0.5508926510810852, -0.8278286457061768, 0.8467430472373962, -0.10020767152309418, -0.5431695580482483, -0.5075890421867371, 0.47861820459365845, 0.6594550013542175, 0.701138973236084, 0.2905845642089844, 0.1660536527633667, -0.2916426956653595, 0.3652926981449127, 0.3077118396759033, 0.16876940429210663, -0.014242644421756268, -0.4433911442756653, 0.6821669340133667, 0.08731067925691605, 0.06750070303678513, -0.3197878897190094, 0.19549037516117096, 0.1267240345478058, 0.5082464218139648, -0.7971166968345642, -0.801002025604248, 0.5543137192726135, -0.3235020041465759, 0.21906907856464386, 0.2636423408985138, 0.6716541647911072, -0.17985476553440094, 1.0142313241958618, 0.8293158411979675, -0.32438474893569946, 0.12289144098758698, -0.724612295627594, -0.09257391095161438, 0.05850055068731308, -0.21787308156490326, -0.9937078356742859, 0.13035912811756134, 0.26003557443618774, -0.005108666140586138, 0.28851646184921265, 0.5521223545074463, 0.8643076419830322, 0.7291847467422485, 0.02383311465382576, 0.17278574407100677, -0.5501696467399597, -0.4920322895050049, 0.9864611625671387, 0.2793445885181427, -0.8232715129852295, -0.19345484673976898, -0.04360232129693031]"
company,601099,"[-0.039465732872486115, 0.08115759491920471, 0.6171436905860901, -0.30104294419288635, -0.20209462940692902, -0.36713629961013794, 0.5139333605766296, -0.07814384996891022, -0.4860406219959259, 0.22989127039909363, 0.11600235849618912, 0.31234219670295715, 0.023910310119390488, -0.8797079920768738, -0.2109457552433014, 0.8257215619087219, -0.14204682409763336, 0.42131227254867554, 0.6357138752937317, 0.0036679741460829973, -0.30200502276420593, -0.5947946310043335, 0.5673210620880127, -0.3877488672733307, 0.3138457238674164, 0.10983838140964508, 0.05890536308288574, -0.7067124843597412, -0.034423064440488815, -0.03112003020942211, 0.5967655181884766, 0.027538154274225235, -1.5325239896774292, 0.3108394742012024, 0.15017114579677582, 0.016299597918987274, -0.18155431747436523, 0.882066011428833, 0.5255787372589111, -0.14795467257499695, 0.7168011665344238, 0.11411041766405106, -0.026958025991916656, -1.0156404972076416, 0.2894555926322937, 0.2905302345752716, 0.4445364475250244, -0.7119100689888, -0.377603143453598, -0.13247358798980713, 0.4600154459476471, 0.13226401805877686, -0.0005684493225999177, 0.28049182891845703, 0.550366997718811, -0.47290483117103577, -0.061074625700712204, 0.8465002179145813, -0.08545991033315659, 0.004563774447888136, -0.019860943779349327, -0.3543168604373932, 0.4143655002117157, 0.7478752732276917]"
company,603708,"[0.07751276344060898, -0.3458603620529175, -0.16407188773155212, -0.042585983872413635, 0.06942106783390045, -0.41132310032844543, 0.4378340542316437, 0.3065009117126465, -0.9322408437728882, 0.7724002599716187, 0.7894600033760071, 0.23993393778800964, -0.40546292066574097, 0.3997916877269745, 0.48643165826797485, 0.07723574340343475, 0.1748690903186798, -0.1058480441570282, -0.16898809373378754, -0.07493454962968826, 0.7774611711502075, 0.07222604006528854, -0.20402994751930237, 0.1297992765903473, 0.11054658889770508, -0.4995509088039398, -0.6309830546379089, -0.31508028507232666, 0.04366704821586609, -0.13393157720565796, -0.48053252696990967, -0.24326194822788239, 0.06322195380926132, 0.05932225286960602, 0.18536889553070068, 0.3596019446849823, 0.17343275249004364, 0.2604310214519501, 0.4351356625556946, 0.9551240801811218, 0.059841036796569824, -0.017281686887145042, 0.1467062383890152, -1.022393822669983, -0.8093242049217224, 0.6618884801864624, -0.061978381127119064, 0.31182506680488586, -0.06344711780548096, -0.11596135795116425, 0.7440938949584961, 0.625886857509613, 0.5163952112197876, -0.12470746040344238, 0.9438401460647583, -0.0687064677476883, 0.3298172056674957, -0.3676927983760834, 0.4161352813243866, 0.6933711767196655, 0.6579831838607788, -0.39185771346092224, 0.686482846736908, 0.18400320410728455]"
company,600701,"[0.6754786372184753, -0.5603601932525635, -0.2390434741973877, -0.12436947226524353, 0.10166556388139725, -0.17284516990184784, 0.28473153710365295, 0.4039309620857239, -0.641991913318634, -0.6318133473396301, 0.3234707713127136, 0.2641780972480774, 0.05374779924750328, 0.09697077423334122, 0.10542754083871841, 0.5240492224693298, 0.5637348294258118, 0.016998525708913803, 0.45298242568969727, -0.1639716923236847, 0.232858806848526, -0.6065564751625061, 0.013376634567975998, -0.5648115277290344, -0.38480833172798157, -0.6261865496635437, 0.05502471700310707, -0.5226437449455261, -0.08141183853149414, -0.19913418591022491, 0.016414714977145195, 0.0063240104354918, -1.1082912683486938, -0.6101638674736023, -0.09925565868616104, -0.058415427803993225, -0.25320759415626526, 0.17889609932899475, 0.6990014910697937, 0.25393813848495483, -0.3689148724079132, 0.4915877878665924, 0.03487059101462364, -0.8312035202980042, 0.2850450575351715, 0.2896568477153778, -0.3310278356075287, -0.8100026845932007, -0.18546432256698608, 0.7604076862335205, -0.13694103062152863, 0.9213023781776428, 0.13638098537921906, 0.36639541387557983, 0.7846840620040894, 0.4730437695980072, -0.3731382489204407, 0.2975960671901703, 0.07602020353078842, 0.6146605610847473, 0.42716091871261597, 0.00656699575483799, 0.5839424133300781, 0.19668065011501312]"
company,600683,"[0.16991454362869263, -0.6262944936752319, 0.16726867854595184, -0.19205345213413239, -0.004756386391818523, -0.6329741477966309, -0.04793575778603554, 0.6470476388931274, -0.8336852192878723, -0.2657290995121002, 0.7354298830032349, 0.00011101245763711631, -0.9236829280853271, -0.28974565863609314, 0.6380285620689392, 0.04930843412876129, 0.007210917770862579, -0.019243398681282997, 0.0708870217204094, 0.032659709453582764, 0.2084837108850479, -0.5591692924499512, 0.5406534671783447, -0.20506806671619415, 0.8119460344314575, 0.7747583985328674, 0.02974759228527546, -0.09869814664125443, 0.3866742253303528, -0.4713006913661957, -0.499397873878479, 0.19192425906658173, -0.9069454669952393, -0.7554755806922913, -0.13627630472183228, 0.7696104645729065, -0.11190227419137955, 0.3160216212272644, 0.4453962445259094, -0.28628259897232056, 0.11773598939180374, 0.7697213292121887, -0.06096411123871803, -0.15455296635627747, 0.8218880891799927, 0.0965990349650383, 0.44965919852256775, 0.06705492734909058, 0.8405249714851379, 0.45930224657058716, -0.047160301357507706, -0.5812911987304688, 0.3943384289741516, 0.6872190833091736, 0.5924261212348938, 0.04691843315958977, -0.2698986828327179, -0.22955957055091858, -0.2030513435602188, 0.34454455971717834, 0.324503630399704, 0.01063819695264101, 0.469853937625885, -0.32812967896461487]"
company,688012,"[-0.20725607872009277, 0.1746593713760376, 0.05177358165383339, 0.224073588848114, 0.0399068258702755, 0.052666496485471725, 0.7144938111305237, 0.17537921667099, -1.0848509073257446, -0.15684252977371216, -0.1975591480731964, 0.1907760202884674, -0.5325819849967957, 0.05970998480916023, 0.6234023571014404, 0.6191355586051941, -0.3279813230037689, -0.44943785667419434, 0.6169671416282654, 0.5416856408119202, -0.2831086218357086, -0.5584263801574707, 0.247948557138443, -0.41134142875671387, 0.38171151280403137, 0.112815722823143, 0.01970425248146057, -0.19302400946617126, 0.5319347381591797, -0.1473144143819809, 0.41620683670043945, -0.02300930768251419, -1.1539840698242188, -0.8620829582214355, 0.4067718982696533, 0.45196422934532166, 0.08925294131040573, 1.01106595993042, -0.3797902464866638, 0.32345667481422424, 0.5585545897483826, -0.01592203974723816, -0.031261906027793884, -0.5113248229026794, 0.3115985095500946, 0.24000322818756104, 0.5466691255569458, 0.221177875995636, 0.03225996345281601, 0.09019764512777328, 0.2872346043586731, 0.2723974585533142, 0.3420584499835968, 0.22853407263755798, 0.3849855661392212, 0.029457969591021538, 0.33569782972335815, 0.5372787714004517, 0.3559809625148773, 0.5149279236793518, 0.15724413096904755, -0.2725658714771271, 0.4582344591617584, -0.10118851810693741]"
