label,name,embeddings
company,603297,"[0.3064059913158417, 0.375011146068573, -0.17453664541244507, 0.05453619733452797, 0.12495846301317215, 0.1656898707151413, 0.3952369689941406, 0.6552083492279053, -0.28838232159614563, -0.0075134458020329475, 1.0886436700820923, -0.24411845207214355, 0.6007760167121887, -0.16562336683273315, 0.2483569085597992, 0.4067116379737854, 0.058077264577150345, 0.04953569546341896, 0.5372169613838196, 0.18152585625648499, 0.3712529242038727, 0.5198767781257629, 0.496266633272171, -0.4921156167984009, -0.22106055915355682, 0.4003157615661621, 0.016217853873968124, 0.01962515525519848, 0.002907122252508998, 0.35661885142326355, 0.20459815859794617, 0.2802872061729431, -0.2921721339225769, -0.7785657048225403, -0.5601959228515625, 0.3795289993286133, -0.1338091939687729, 0.531830370426178, 0.5340524911880493, 0.1459088921546936, 0.6553539037704468, -0.041367173194885254, -0.04685170203447342, -0.8288237452507019, -0.7511832118034363, 0.5738868713378906, 0.10025012493133545, 0.09202588349580765, -0.2418661266565323, 0.632897675037384, 0.4872669279575348, 0.43949851393699646, 0.08435577899217606, 0.5576521754264832, 0.405900239944458, 0.35145384073257446, 0.4412963390350342, -0.687461793422699, 0.415485143661499, -0.823555588722229, 0.6542340517044067, 0.3420821726322174, -0.11749498546123505, 0.018642840906977654]"
company,2668,"[0.37562718987464905, 0.2962232232093811, -0.179571732878685, -0.7399742007255554, -0.07053470611572266, -0.39510512351989746, 0.23460543155670166, 0.18451803922653198, -0.9105179905891418, 0.18811535835266113, 0.45170465111732483, 0.06966640055179596, -0.525569498538971, 0.710604727268219, 0.2216087430715561, 0.27813902497291565, 0.08077870309352875, -0.2909577190876007, 0.570784866809845, -0.7991398572921753, -0.6611312031745911, 0.0973009318113327, 0.07719051837921143, -0.11375400424003601, 0.2172987461090088, 0.29913651943206787, -0.9812498688697815, -0.4433550238609314, -0.3418497145175934, -0.05150485783815384, -0.4864429831504822, 0.4937012493610382, -0.15702015161514282, -0.593817949295044, -0.5026458501815796, 0.6451464295387268, -0.1250895857810974, 0.664461076259613, -0.021101275458931923, 0.7716662287712097, 0.11898204684257507, 0.05491657182574272, 0.44773462414741516, -0.7943461537361145, -0.34865278005599976, 0.5997653603553772, 0.5299719572067261, 0.15243081748485565, -0.31172412633895874, 0.16316866874694824, 0.5565925240516663, -0.014536154456436634, -0.18185198307037354, 0.1404358595609665, 0.5963776707649231, -0.6854748725891113, 0.09514087438583374, 0.10589499026536942, 0.11139532923698425, 0.8611535429954529, 0.537895679473877, -0.8521292805671692, 0.9945109486579895, -0.5454623103141785]"
company,601811,"[0.5819997191429138, 0.48597487807273865, 0.35545217990875244, 0.6408229470252991, -0.4662000834941864, -0.035221271216869354, 0.36893248558044434, 0.2535927891731262, -0.7262699007987976, 0.4723072648048401, 0.18103580176830292, -0.23418104648590088, 0.060345359146595, -0.20258229970932007, 0.12638190388679504, 0.054272912442684174, -0.21506310999393463, -0.8169510960578918, 0.2337745577096939, -0.3046872317790985, 0.4905184209346771, -0.12811505794525146, 0.5830641388893127, 0.24829062819480896, 0.27753517031669617, 0.31366488337516785, -0.2566905617713928, -1.068860650062561, -0.6938692331314087, -0.7765096426010132, 0.057245466858148575, -0.1864188313484192, -0.2952590584754944, -0.18419024348258972, 0.32976600527763367, 0.4570954144001007, -1.0100702047348022, 0.1055113673210144, 0.3113704025745392, -0.044744525104761124, 0.5064786672592163, 0.10291341692209244, -0.4630965292453766, -1.1476722955703735, -0.8075961470603943, -0.462176114320755, -0.6864091753959656, -0.17786477506160736, -0.18848757445812225, -0.3700977563858032, 1.464357614517212, 0.6597825884819031, 0.8526456356048584, 0.23420101404190063, 0.8944440484046936, -0.6877323985099792, -0.19502075016498566, 0.46524444222450256, 0.020576298236846924, 0.7454180717468262, 0.2923022508621216, -0.41648542881011963, 1.0522605180740356, 0.2652116119861603]"
company,601595,"[-0.48470109701156616, 0.29123958945274353, 0.1995522528886795, 0.35767295956611633, 0.5051507949829102, -0.8250702619552612, 0.5216746926307678, 0.5644229650497437, -0.8394338488578796, 0.2259654551744461, 0.018323006108403206, 0.31463685631752014, -0.49407532811164856, -0.46898478269577026, 0.3928457796573639, 1.1131350994110107, 0.7872278094291687, 0.08978480845689774, 0.8683775663375854, 0.3310547471046448, 0.13017027080059052, -0.4095379710197449, 0.34300506114959717, -0.17381159961223602, 0.6304271817207336, -0.28926557302474976, -0.23462195694446564, 0.06579418480396271, 0.0729784443974495, 0.05093953758478165, 0.3045385181903839, 0.03627796843647957, -0.656581699848175, -0.3223673403263092, 0.3920598328113556, 0.06876841932535172, 0.10857326537370682, 0.8687342405319214, 0.7623538970947266, 0.47679582238197327, 0.6252294182777405, 0.014655663631856441, 0.7040689587593079, -1.0989100933074951, 0.31754133105278015, -0.18250726163387299, 1.1510844230651855, 0.45010143518447876, -0.14216236770153046, 0.2710891366004944, 0.40567272901535034, -0.6031147837638855, 0.1367235779762268, 0.17595767974853516, 1.1164085865020752, 0.28859466314315796, 0.1697409301996231, 0.3102548122406006, -0.03403040021657944, 0.021662497892975807, 0.030958915129303932, -1.1444636583328247, -0.23978905379772186, -0.48931652307510376]"
company,600559,"[-0.3816782236099243, 0.45843562483787537, -0.307529091835022, -0.19677790999412537, -0.43021735548973083, -0.08804596215486526, 0.2139124572277069, -0.47030261158943176, -0.11521706730127335, 1.1462196111679077, 0.2879667282104492, 0.12060776352882385, 0.46995678544044495, -0.19769179821014404, -0.4360268712043762, 1.0432517528533936, -0.44485920667648315, -0.23682750761508942, 0.38340291380882263, -0.18684782087802887, 0.4683956801891327, 0.3746841549873352, 0.7543245553970337, 0.45518800616264343, 0.23383580148220062, -0.04489588737487793, -0.4087832570075989, -0.6422005295753479, -0.05087332800030708, -0.05445190519094467, -0.2477872520685196, -0.5648704171180725, -0.9559587240219116, -0.6777267456054688, -0.011614527553319931, 1.0072970390319824, 0.4680693447589874, 0.4467654526233673, 0.9201315641403198, 0.1921810358762741, 0.8287907838821411, -0.38464128971099854, -0.21527975797653198, -0.7850500345230103, -0.05413828045129776, 0.9072708487510681, -0.0851123034954071, -0.1484483778476715, -0.38861432671546936, -0.14524680376052856, 0.10476935654878616, 0.608123242855072, 0.31006985902786255, 0.005500602535903454, 0.3190840184688568, -0.04210490360856056, 0.5606898665428162, 0.48894956707954407, -0.11977482587099075, 0.3364730179309845, -0.03336714208126068, -0.6009335517883301, 0.17260685563087463, 0.28678542375564575]"
company,601099,"[-0.10727285593748093, 0.08607044816017151, 0.48331019282341003, -0.051637571305036545, 0.2836010456085205, -0.1258591115474701, 0.08778710663318634, 0.2098582237958908, -0.45098695158958435, 0.5905898809432983, 0.04740108549594879, 0.6515178680419922, 0.34393149614334106, -0.8230682611465454, -0.27359479665756226, 0.5767462849617004, -0.10198774933815002, 0.06410818547010422, 0.16376514732837677, 0.05812670662999153, 0.41483834385871887, -0.3578120470046997, 0.5516659617424011, -0.6438121199607849, 0.13176804780960083, 0.11084842681884766, -0.4791489839553833, -0.1399698704481125, 0.2099628746509552, -0.08304587006568909, 0.5352023839950562, 0.29766204953193665, -0.8224213719367981, 0.211162269115448, -0.35881340503692627, -0.18210968375205994, -0.2709715664386749, 0.618492603302002, 0.1604534387588501, 0.004928051959723234, 0.8915241360664368, 0.5542990565299988, -0.3379647731781006, -0.8503854870796204, 0.3581833839416504, 0.08527620136737823, -0.06196855753660202, 0.12525509297847748, -0.48731520771980286, -0.29047101736068726, 0.4513130187988281, 0.450757771730423, 0.05306136980652809, 0.0999467596411705, 0.052176814526319504, -0.16673226654529572, -0.3133837580680847, 0.5539343953132629, 0.08190018683671951, 0.4876309335231781, 0.14408093690872192, -0.6505111455917358, 0.9074207544326782, 0.1606336236000061]"
company,603708,"[-0.05597773194313049, -0.09096423536539078, -0.22186988592147827, -0.19735188782215118, 0.12185750901699066, 0.2535758316516876, 0.43424758315086365, 0.06878866255283356, -0.5059872269630432, 0.58406001329422, 0.761091947555542, 0.06654348224401474, 0.1158323585987091, 0.03816846013069153, -0.0035195830278098583, 0.3318537473678589, -0.14406397938728333, -0.8330418467521667, -0.7894834876060486, -0.17850780487060547, 0.9754111766815186, -0.058241669088602066, 0.09513382613658905, 0.4466775953769684, -0.10523374378681183, -0.17213071882724762, -0.5901414752006531, -0.5106508731842041, -0.6298931241035461, -0.5180985927581787, -0.015741007402539253, -0.04181792587041855, 0.053816184401512146, -0.34096309542655945, -0.23241925239562988, 0.4816969931125641, 0.19451910257339478, -0.21243029832839966, 0.3908320963382721, 0.43087369203567505, 0.22654160857200623, 0.025729181244969368, 0.2058625966310501, -0.8456798195838928, -0.5488898158073425, 0.39907747507095337, 0.25849950313568115, 0.3514328598976135, 0.3316607177257538, 0.014190544374287128, 0.617279052734375, 1.3823416233062744, 0.29491543769836426, -0.4566665589809418, 0.9977214932441711, -0.23433160781860352, 0.25696203112602234, 0.46422749757766724, 0.4886922836303711, 1.1030311584472656, 0.6058303117752075, -0.5473714470863342, 0.6768560409545898, 0.460889995098114]"
company,600701,"[0.32383424043655396, 0.06693489849567413, -0.4261063039302826, -0.03339647129178047, 0.2189510613679886, -0.29452231526374817, 0.1668204665184021, 0.504352867603302, -0.8741059899330139, -0.17151878774166107, 0.276077538728714, -0.06471540033817291, 0.1337573379278183, 0.20400303602218628, -0.3442454934120178, 0.6136696934700012, 0.5700576305389404, 0.16145537793636322, 0.5410442352294922, -0.3608979880809784, 0.480760782957077, -0.1901770681142807, 0.2836660146713257, -0.9858018159866333, -0.375114381313324, -0.492231547832489, -0.026353564113378525, -0.6994438171386719, -0.0432664230465889, -0.152555912733078, 0.3519980311393738, 0.05153081938624382, -0.7405545711517334, -0.5585150718688965, -0.29197150468826294, 0.027606479823589325, -0.20478133857250214, 0.1453433483839035, 0.5624329447746277, 0.5669826865196228, -0.29413965344429016, 0.40465763211250305, 0.09219000488519669, -0.9476784467697144, -0.0432036817073822, 0.1281580924987793, -0.47577404975891113, -0.20000210404396057, -0.21205641329288483, 0.21331943571567535, -0.32951658964157104, 0.6868025064468384, -0.07011887431144714, 0.039994388818740845, 0.7499440312385559, 0.34710830450057983, -0.27188369631767273, 0.02960922196507454, 0.16967086493968964, 0.6630581021308899, 0.23772884905338287, -0.5383809208869934, 0.5873362421989441, -0.5838761329650879]"
company,600683,"[-0.49627402424812317, -0.7217695713043213, 0.17081734538078308, -0.15227067470550537, -0.5988147854804993, -0.760911762714386, 0.1689310073852539, 0.6592977046966553, -0.5293868184089661, 0.16581770777702332, 0.7507787942886353, 0.04801827669143677, -0.4482731521129608, -0.2087460160255432, 0.23182182013988495, -0.014744704589247704, 0.23211617767810822, -0.32520705461502075, 0.0893392488360405, -0.17266106605529785, 0.13436229526996613, -0.5448743104934692, 0.886790931224823, -0.05510654300451279, 0.7304700613021851, 0.1844981461763382, 0.6882625222206116, -0.06767746061086655, 0.21897894144058228, -0.6019157767295837, -0.5073266625404358, 0.4908998906612396, -0.815364420413971, -0.37056344747543335, -0.3941235840320587, 0.9795419573783875, 0.27096664905548096, 0.16881154477596283, 0.5726547241210938, -0.2808089256286621, 0.024449072778224945, 1.1723848581314087, 0.48561331629753113, -0.3475685119628906, 0.681534469127655, -0.09170301258563995, 0.17678120732307434, -0.1373034417629242, 0.1930166780948639, 0.20876985788345337, 0.37930843234062195, -0.39840757846832275, 0.31457632780075073, 0.7489635944366455, 0.8353311419487, -0.0851498693227768, -0.7607787251472473, 0.05135331302881241, 0.11630862206220627, 0.45057740807533264, 0.5934440493583679, -0.06625740230083466, 1.0707154273986816, -0.4431464672088623]"
company,688012,"[-0.5054472088813782, 0.3591386377811432, 0.0026658549904823303, 0.15949781239032745, -0.13593871891498566, -0.5722404718399048, 0.815788984298706, 0.20553673803806305, -0.7633816003799438, 0.0023940429091453552, 0.08514956384897232, 0.5231174230575562, -0.6269538998603821, -0.14115437865257263, 0.7450668215751648, 0.8041589856147766, 0.4507836103439331, -0.019980257377028465, 0.3506566286087036, 0.42349672317504883, -0.0821048691868782, -0.4016914665699005, 0.3783862292766571, -0.4931570887565613, 0.5074407458305359, -0.18464867770671844, 0.08296819031238556, -0.24231252074241638, -0.09680263698101044, -0.3117733597755432, 0.06909128278493881, 0.12178671360015869, -0.6939602494239807, -0.7019850015640259, -0.050779081881046295, 0.3427673876285553, 0.3368218243122101, 0.9502935409545898, -0.32354873418807983, 0.6082944273948669, 0.6923528909683228, 0.3750050961971283, 0.40696588158607483, -0.7887164354324341, 0.29325762391090393, 0.058635178953409195, 0.5957143306732178, 0.15591126680374146, 0.3850345313549042, -0.022884512320160866, 0.21898511052131653, -0.06868035346269608, -0.08874347805976868, 0.5697578191757202, 0.9812706112861633, 0.3949299156665802, 0.16514700651168823, 0.7341013550758362, -0.06229410320520401, 0.31174716353416443, 0.043918561190366745, -0.899773120880127, 0.012224361300468445, -0.2331574261188507]"
