label,name,embeddings
company,603297,"[0.016620567068457603, 0.20428423583507538, -0.0661720335483551, 0.32047274708747864, -0.21257352828979492, -0.010350964963436127, 0.47982627153396606, 0.4253612160682678, -0.32346653938293457, -0.2046416997909546, 0.3524104952812195, -0.21565844118595123, 0.33464959263801575, -0.052110619843006134, -0.017183596268296242, 0.04253577068448067, 0.126037135720253, -0.22043448686599731, 0.1433560699224472, 0.1179654598236084, -0.287503719329834, 0.3810741603374481, 0.18160982429981232, -0.0062096393667161465, 0.03035222552716732, 0.3796220123767853, 0.12763755023479462, -0.09994020313024521, 0.023767083883285522, -0.12850502133369446, 0.25285956263542175, 0.1788603514432907, -0.5966806411743164, -0.5309430956840515, 0.024370795115828514, 0.4610481858253479, -0.05904223024845123, 0.20273572206497192, 0.24520514905452728, 0.36605799198150635, 0.4891622066497803, -0.2279052883386612, 0.0888320654630661, -0.21214477717876434, -0.16087208688259125, -0.05996051803231239, 0.14073120057582855, -0.12993714213371277, -0.01434437558054924, 0.5065112709999084, 0.34715041518211365, 0.2722373306751251, 0.2649851441383362, 0.38779526948928833, -0.017354082316160202, 0.0014147439505904913, 0.164594367146492, -0.09926560521125793, 0.1912398785352707, -0.14907874166965485, 0.5291646122932434, 0.0009163410286419094, 0.19432133436203003, 0.03793301433324814]"
company,2668,"[0.38725921511650085, -0.0028000660240650177, -0.6810525059700012, -0.5685716271400452, -0.40879306197166443, -0.10242357105016708, 0.3514096140861511, 0.4684818387031555, -0.7118764519691467, -0.2881600558757782, 0.5119256973266602, 0.08810452371835709, -0.41370102763175964, 0.23667952418327332, 0.1883179098367691, 0.4280838370323181, 0.24182403087615967, -0.4110870063304901, -0.19001445174217224, -0.31643611192703247, -0.5866557955741882, 0.2935941517353058, 0.007702044676989317, 0.7964358329772949, 0.048991769552230835, 0.3269796371459961, -0.24589058756828308, -0.05041317269206047, -0.3228333592414856, -0.14895004034042358, -0.39599305391311646, 0.593711793422699, -0.4133041799068451, -0.6293588280677795, -0.6738566756248474, 0.5789733529090881, -0.5716180801391602, 0.012373179197311401, 0.21047884225845337, 0.5938276648521423, -0.2141524851322174, 0.46703335642814636, 0.7583945393562317, -0.8019601106643677, -0.047237642109394073, 0.2948390245437622, 0.23387736082077026, -0.05671975761651993, 0.622402012348175, 0.6019603610038757, 0.6184831261634827, 0.2595813274383545, -0.051878079771995544, 0.49877408146858215, 0.7724217772483826, 0.027812005952000618, 0.18762151896953583, 0.029066797345876694, 0.38224008679389954, 0.6524102687835693, -0.2314891219139099, -0.18891657888889313, 0.9572247266769409, -0.5636417269706726]"
company,601811,"[0.46952635049819946, -0.12011920660734177, -0.06203695014119148, 0.26969292759895325, -0.12806016206741333, 0.013881204649806023, -0.0454154871404171, -0.1744372695684433, -0.8547002077102661, 0.2539946734905243, 0.13549837470054626, -0.5781204104423523, 0.22695322334766388, 0.15794001519680023, 0.15471084415912628, 0.6934595704078674, -0.20934517681598663, -0.5161027908325195, -0.6644620299339294, -0.421548455953598, 0.04804917424917221, 0.19780442118644714, 0.9698420763015747, 0.04791470617055893, 0.2796238660812378, 0.37473127245903015, 0.21774828433990479, -0.6488575339317322, -0.6763364672660828, -0.3583756387233734, 0.5597339272499084, -0.3545220196247101, -0.8219856023788452, -0.2639695703983307, -0.4962894320487976, 0.4482286274433136, -0.48040127754211426, 0.6878030300140381, 0.09965890645980835, 0.2347862422466278, 0.16543933749198914, 0.5240616202354431, -0.8125512003898621, -0.8769936561584473, -0.4458613693714142, 0.03224184364080429, -0.4581149220466614, -0.49307456612586975, 0.34542226791381836, 0.005425999406725168, 0.7541981339454651, 0.21318423748016357, 0.3124348521232605, 0.6235013604164124, 1.2846088409423828, -0.7144337296485901, 0.23386724293231964, -0.2104817032814026, -0.4879630506038666, 0.29500237107276917, 0.3437323570251465, -0.6822686791419983, 1.2442997694015503, 0.12915955483913422]"
company,601595,"[-0.53167724609375, 0.26096174120903015, 0.40005171298980713, 0.1756611466407776, 0.06261836737394333, 0.2437751442193985, 0.49379444122314453, -0.01601855829358101, -0.3014550805091858, 0.12326063960790634, 0.31508901715278625, 0.6162418723106384, -0.03632601723074913, 0.18334068357944489, 0.5285872220993042, 0.631557285785675, 0.00048064033035188913, -0.11359050869941711, 1.0282361507415771, -0.34857526421546936, -0.26965415477752686, 0.20832423865795135, 0.18500378727912903, -0.4200170338153839, 0.32400327920913696, -0.3520558178424835, -0.01662466488778591, -0.011675581336021423, 0.09646368026733398, 0.050025224685668945, -0.0409395806491375, -0.15656720101833344, -0.8739302158355713, -0.7819384932518005, 0.3595518469810486, 0.3113687336444855, 0.2844473719596863, 0.6851629018783569, 0.2552712559700012, 0.10298632085323334, 0.493804931640625, 0.49379679560661316, 0.32483184337615967, -0.652198314666748, 0.19271917641162872, 0.3846285939216614, 0.3297055959701538, 0.26573339104652405, -0.3403531014919281, 0.7509549856185913, 0.5541515946388245, -0.3326203227043152, -0.20183217525482178, 0.5125724673271179, 0.8380900025367737, 0.47638222575187683, 0.42520853877067566, -0.047252777963876724, -0.1617746502161026, 0.5280925035476685, 0.16565410792827606, -0.7413939833641052, 0.19046933948993683, -0.5261897444725037]"
company,600559,"[0.8332584500312805, 0.17277146875858307, 0.04376639798283577, -0.17139871418476105, -0.322369784116745, -0.5945487022399902, 0.04239221289753914, 0.28009095788002014, -0.7858707308769226, 0.8159183859825134, -0.2660243809223175, -0.12038746476173401, -0.45128753781318665, -0.29665517807006836, 0.5677879452705383, 0.9650436043739319, 0.14241382479667664, 0.10205451399087906, 0.2166842371225357, 0.16001304984092712, 0.11181070655584335, 0.714023768901825, 0.32419681549072266, -0.3190828263759613, 0.7149169445037842, 0.2231059968471527, -0.12772268056869507, -0.015350270085036755, 0.43882831931114197, 0.15170900523662567, 0.06134716421365738, -0.03267396613955498, -0.8977725505828857, -0.1554775834083557, -0.2498643547296524, -0.13949324190616608, -0.1043519601225853, 0.3863055109977722, 0.03694942966103554, 0.795806884765625, 0.13076311349868774, -0.1829877495765686, 0.6183511018753052, -0.37076106667518616, -0.6323325037956238, 0.20913539826869965, -0.21791167557239532, -0.2503315508365631, 0.03760572522878647, 0.543039858341217, 0.2925761342048645, -0.04656868427991867, 0.48243069648742676, 0.8787488341331482, 0.5888382792472839, 0.12366324663162231, 0.17679208517074585, -0.664942741394043, -0.7280271053314209, 1.0510810613632202, 0.07097919285297394, -1.1970272064208984, 0.09923108667135239, -0.4865991473197937]"
company,601099,"[-0.14337500929832458, -0.3928799033164978, 0.1694168895483017, -0.43463146686553955, 0.0981573760509491, -0.8011945486068726, 0.38270333409309387, 0.4460493326187134, -0.14551708102226257, 0.6921756863594055, 0.6568440198898315, 0.530776858329773, 0.957562267780304, -0.6214621067047119, -0.05496491119265556, 0.6959119439125061, 0.16926537454128265, 0.8623679280281067, 0.3230857849121094, -0.18079645931720734, 0.47558078169822693, 0.6957507729530334, 0.8189061880111694, -0.420987993478775, -0.15786539018154144, -0.3194849193096161, -0.10462944954633713, 0.6649384498596191, -0.2992275059223175, 0.8462512493133545, 0.28607237339019775, 0.6515641808509827, -1.070554494857788, -0.005777895916253328, -0.3630727529525757, -0.42575329542160034, 0.41787683963775635, 0.01796552911400795, 0.7358943223953247, -0.08996526896953583, 0.49761319160461426, 0.5614480376243591, 0.25229233503341675, 0.013905325904488564, -0.10289467871189117, 0.6573561429977417, 0.11845213174819946, -0.12401176244020462, 0.04781898111104965, 0.029301421716809273, 0.3920920193195343, 0.09139824658632278, 0.2429615706205368, 0.6597290635108948, 1.0094388723373413, 0.18744927644729614, 0.17166776955127716, -0.06599675863981247, 0.03211059048771858, -0.19325396418571472, 1.003846287727356, -0.3522758185863495, 1.141325831413269, -0.04056575521826744]"
company,603708,"[-0.011002231389284134, -0.1946040838956833, 0.07486729323863983, -0.301186203956604, -0.17045214772224426, -0.266048401594162, 0.34400901198387146, 0.2796035706996918, -0.21824000775814056, 0.6123329401016235, 0.36088019609451294, 0.055058836936950684, -0.04439302533864975, 0.1069326102733612, 0.30272993445396423, 0.36458978056907654, 0.46090346574783325, -0.04032187908887863, -0.23091086745262146, 0.36168473958969116, 0.4744294285774231, 0.26342546939849854, 0.015452462248504162, 0.004609976429492235, 0.10536617040634155, -0.23109184205532074, -0.32032305002212524, -0.07883059233427048, -0.022587735205888748, -0.1484619677066803, -0.13574540615081787, -0.29815545678138733, -0.21695704758167267, -0.18857917189598083, -0.30378416180610657, 0.43568289279937744, 0.1473253220319748, 0.07696716487407684, 0.4382668733596802, 0.4725884199142456, 0.07548636198043823, 0.06963653862476349, 0.3974955976009369, -0.6327113509178162, -0.44054514169692993, 0.6751853823661804, -0.3185664117336273, -0.03362250700592995, 0.30857348442077637, 0.06477992981672287, 0.5270139575004578, 0.3135245740413666, 0.22894836962223053, 0.043657537549734116, 0.2392486184835434, 0.26031506061553955, 0.12112269550561905, -0.21809914708137512, 0.42621758580207825, 0.36893653869628906, 0.5029348731040955, -0.4314304292201996, 0.16304178535938263, 0.3818012475967407]"
company,600701,"[0.5001630783081055, -0.06654879450798035, -0.42542797327041626, -0.266391783952713, 0.05448678880929947, -0.4354880452156067, 0.3652563989162445, 0.8209357261657715, -0.28548958897590637, -0.07685677707195282, -0.3637803792953491, -0.03606746718287468, 0.20624825358390808, 0.14839085936546326, 0.017781522125005722, 0.6184042692184448, 0.7610061168670654, -0.3144495189189911, 0.3096749484539032, -0.3297675549983978, 0.3192599415779114, -0.09716297686100006, 0.17289771139621735, -0.24167956411838531, -0.18978793919086456, -0.6127493381500244, -0.1562042087316513, -0.22656716406345367, -0.34778451919555664, -0.1171155571937561, 0.25221022963523865, 0.08955179899930954, -1.0281305313110352, -0.47959309816360474, -0.11028330773115158, -0.04445219412446022, -0.7628044486045837, -0.07645221799612045, 0.7687734961509705, 0.34162697196006775, -0.2638031244277954, 0.45681947469711304, -0.1364784687757492, -0.9939634799957275, -0.5254960656166077, -0.1167137622833252, -0.6742573976516724, -0.6178733110427856, -0.052389632910490036, 1.104986310005188, -0.04879533126950264, 0.3557497560977936, 0.21515055000782013, 0.3681623637676239, 0.888733983039856, 0.2970142066478729, 0.08171696960926056, 0.0594511441886425, -0.008205652236938477, 0.6825129389762878, 0.13342061638832092, -0.7039370536804199, 0.7654982209205627, -0.5616364479064941]"
company,600683,"[-0.2892763614654541, -0.3810223639011383, -0.16576814651489258, -0.47303733229637146, -0.2706497311592102, -0.367178738117218, 0.057790469378232956, 0.09497448801994324, -0.5450531244277954, -0.01104529295116663, 0.8659449219703674, 0.21056120097637177, -0.3312075734138489, 0.10954789072275162, 0.37250590324401855, -0.10169968754053116, 0.26812562346458435, -0.030210979282855988, 0.5131262540817261, -0.19020169973373413, -0.29617342352867126, -0.31273359060287476, 0.43537890911102295, 0.4524593651294708, 0.5059088468551636, 0.30191901326179504, 0.11784501373767853, -0.077104352414608, 0.051293615251779556, -0.2830273509025574, -0.4448219835758209, 0.0914917141199112, -0.5905715227127075, -0.3573262691497803, -0.3143339157104492, 0.2474181205034256, -0.34192708134651184, -0.1849415898323059, 0.7845240831375122, -0.35774853825569153, 0.47142431139945984, 0.6530763506889343, -0.263229638338089, -0.36446425318717957, 0.4441218078136444, -0.0973723977804184, -0.2898920476436615, -0.38739001750946045, 0.29137974977493286, 0.49317094683647156, 0.727367639541626, -0.2244967222213745, 0.08901049196720123, 0.5255337953567505, 0.63483726978302, 0.16254045069217682, -0.1600254476070404, -0.4072808623313904, 0.328814297914505, 0.44403135776519775, 0.6255979537963867, 0.019535614177584648, 0.29924681782722473, -0.08953244239091873]"
company,688012,"[-0.5139442682266235, 0.22964704036712646, 0.3815971910953522, 0.16730962693691254, 0.02196977287530899, 0.24710839986801147, 0.45541295409202576, -0.11404812335968018, -0.25648802518844604, 0.09631786495447159, 0.2813151776790619, 0.5643158555030823, -0.04900221526622772, 0.16126227378845215, 0.461380273103714, 0.5766606330871582, -0.030416889116168022, -0.1490919291973114, 0.9890928268432617, -0.29763057827949524, -0.266105979681015, 0.19287031888961792, 0.19496601819992065, -0.3889973759651184, 0.3053773045539856, -0.3332960307598114, 0.03577035292983055, -0.08666732907295227, 0.04728430137038231, 0.10061066597700119, 0.004469322971999645, -0.22567130625247955, -0.8788797855377197, -0.7356607913970947, 0.3183702826499939, 0.3158648908138275, 0.2853200137615204, 0.6281794905662537, 0.27390503883361816, 0.020685795694589615, 0.4151614010334015, 0.5565630197525024, 0.2643735706806183, -0.6458034515380859, 0.21434086561203003, 0.39363470673561096, 0.28335699439048767, 0.23506830632686615, -0.32060706615448, 0.661376953125, 0.4948984682559967, -0.3452984690666199, -0.23296833038330078, 0.46383675932884216, 0.7549619078636169, 0.45156189799308777, 0.3911711573600769, -0.002428864361718297, -0.16817454993724823, 0.5456034541130066, 0.09938836842775345, -0.7020376920700073, 0.14777490496635437, -0.514039158821106]"
