label,name,embeddings
company,603297,"[0.49129369854927063, 0.2562974989414215, -0.19258429110050201, -0.1494654417037964, -0.09189020842313766, -0.03476787358522415, 0.32528480887413025, 0.8078845143318176, -0.4494403302669525, -0.09935367107391357, 0.818209707736969, -0.6634683012962341, -0.022577820345759392, -0.21641673147678375, 0.17848041653633118, -0.06400410830974579, 0.1304589807987213, -0.06387676298618317, 0.5206614136695862, 0.7303105592727661, 0.17219990491867065, 0.6475027799606323, 0.4273020327091217, 0.014066741801798344, -0.1358574628829956, 0.4987810254096985, -0.12631818652153015, -0.07274641841650009, -0.19595003128051758, 0.2703087329864502, 0.25078970193862915, 0.5477796792984009, -0.2864455282688141, -0.2380184382200241, -0.716640293598175, 0.5562335848808289, -0.1916811615228653, 0.7629170417785645, 0.395459920167923, 0.3213222920894623, 0.33490070700645447, -0.24243952333927155, -0.06655639410018921, -0.620079755783081, -0.5727525949478149, -0.09715908020734787, -0.09761478006839752, -0.25443485379219055, -0.6362947225570679, 0.5144608616828918, 0.42270606756210327, 0.20775745809078217, 0.7178587317466736, 0.5691099762916565, 0.29526466131210327, -0.11565685272216797, 0.4857001006603241, -0.34598273038864136, 0.004586454015225172, -0.5908687710762024, 0.9000667333602905, -0.014819547533988953, 0.2018348127603531, 0.00395310390740633]"
company,2668,"[0.6110957860946655, -0.06522644311189651, -0.3554786741733551, -0.04229564592242241, -0.2755182385444641, -0.19775323569774628, 0.09594264626502991, -0.044279009103775024, -0.5288420915603638, 0.06362008303403854, 0.8152300119400024, -0.11104600876569748, -1.0465028285980225, 0.8760966658592224, 0.19495193660259247, 0.2495926320552826, 0.023921258747577667, -0.867171049118042, 0.44355258345603943, -0.5261109471321106, -0.5190604329109192, -0.409348726272583, -0.12113040685653687, 0.2892470955848694, 0.3427063822746277, 0.3901570439338684, -0.8982140421867371, 0.06041324883699417, 0.11968174576759338, -0.13774660229682922, -0.3033945560455322, 0.4574874937534332, -1.352737307548523, -0.2978450655937195, -0.26321977376937866, 0.7554071545600891, -0.3142045736312866, 0.9087283611297607, 0.23239576816558838, 1.3037947416305542, 0.25870463252067566, -0.07573862373828888, 0.5664929747581482, -0.6752154231071472, 0.4834080934524536, 0.3770919144153595, -0.03296712040901184, 0.16032271087169647, 0.5036640167236328, 0.2091502696275711, 0.1051035150885582, -0.465717613697052, -0.14710532128810883, 0.14530150592327118, 0.7294402122497559, -0.3532835841178894, -0.5595925450325012, -0.22954683005809784, -0.044741906225681305, 1.2168935537338257, 0.3954685628414154, -0.39661040902137756, 0.9308254718780518, -0.41798293590545654]"
company,601811,"[0.9837384223937988, 0.4291771352291107, 0.8847773671150208, 0.5808326601982117, -0.18498992919921875, 0.21310125291347504, -0.08405512571334839, -0.052990034222602844, -0.6424998044967651, 0.7479503750801086, 0.14215993881225586, 0.1002705842256546, 0.3181377649307251, -0.34750378131866455, -0.14116674661636353, 0.8869978189468384, -0.01218970213085413, -0.316416472196579, 0.18806441128253937, 0.0503985695540905, -0.0605347715318203, -0.25530827045440674, 0.515066921710968, 0.34891098737716675, 0.47986671328544617, 0.24549336731433868, 0.34549495577812195, -0.595586895942688, -0.8921675682067871, -0.17524941265583038, 0.6454065442085266, -0.22848278284072876, -0.9311642646789551, -0.2394503802061081, -0.35946300625801086, 0.42126986384391785, -1.288214087486267, 0.4262213110923767, 0.030225630849599838, 0.38201162219047546, 0.6058040261268616, 0.22481553256511688, -0.13970716297626495, -1.1070075035095215, -0.662307858467102, -0.4247998297214508, -0.8144593238830566, 0.28097450733184814, 0.3318513035774231, -0.330837607383728, 1.0158343315124512, 0.16862760484218597, 0.5162069797515869, 0.6946708559989929, 0.8439635038375854, -0.2631396949291229, -0.6993415951728821, 0.15689536929130554, -0.29047080874443054, 0.060901325196027756, 0.270258367061615, -0.7392826080322266, 0.37230417132377625, 0.5650833249092102]"
company,601595,"[-0.2343335598707199, 0.13902372121810913, 0.3444565236568451, 0.6088388562202454, 0.3703042268753052, -0.5253491401672363, 0.3766445219516754, -0.20694781839847565, -0.6116966605186462, 0.2883637845516205, -0.3168480694293976, 0.4386175572872162, -0.2335197627544403, 0.19831344485282898, 0.4037042260169983, 0.7248285412788391, 0.9047144651412964, -0.32177820801734924, 1.247210144996643, 0.31432008743286133, 0.17232486605644226, -0.5482404828071594, 0.24586299061775208, -0.024181203916668892, 0.9127591252326965, -0.10473309457302094, -0.3275631368160248, 0.4352327585220337, 0.12299825251102448, -0.006067533511668444, 0.4375625252723694, 0.323060005903244, -0.8869953155517578, -0.2719014883041382, 0.30141130089759827, -0.07074176520109177, 0.38634300231933594, 0.3640545904636383, 0.6047839522361755, 0.24050188064575195, 0.5944532155990601, -0.030961625277996063, 0.731166660785675, -0.9609225988388062, 0.32209715247154236, -0.40653693675994873, 0.7613484263420105, 0.46451064944267273, -0.37292563915252686, 0.6391382813453674, 0.449895977973938, -0.4496217966079712, 0.5897403955459595, 0.13930805027484894, 0.7473535537719727, 0.424848347902298, 0.17780590057373047, -0.14535680413246155, -0.030775289982557297, 0.03202803060412407, -0.21858945488929749, -0.7465556263923645, 0.006881610956043005, -0.2962617576122284]"
company,600559,"[0.5196462273597717, -0.5975748896598816, -0.03233901783823967, -0.0918554961681366, -0.12565132975578308, -0.6068348288536072, 0.4188337028026581, 0.4224267601966858, -0.7710695266723633, 1.1231937408447266, -0.21583205461502075, -0.35262924432754517, -0.080115407705307, 0.5102388262748718, 0.28375035524368286, 0.9118171334266663, 0.2955380380153656, 0.46892833709716797, 0.2464856654405594, 0.46217674016952515, 0.4431796669960022, 0.9067198634147644, 0.06069551780819893, -0.06414136290550232, 0.5236612558364868, -0.08906100690364838, -0.09866170585155487, -0.01724538952112198, 0.40884101390838623, 0.07665500789880753, 0.5614365339279175, -0.3349059224128723, -0.5253490805625916, 0.41167041659355164, -0.6023795008659363, 0.9221757054328918, 0.039574332535266876, 0.5223676562309265, -0.45472392439842224, 0.9777837991714478, 1.1470867395401, -0.6124600172042847, 0.30367952585220337, -1.0073407888412476, 0.15823742747306824, -0.05448303371667862, 0.07030671834945679, -0.3357044756412506, 0.14232251048088074, 0.11902467906475067, 0.08231808245182037, 0.49283674359321594, 0.10205986350774765, 0.8294315934181213, 0.3194558322429657, -0.20506474375724792, 0.4728635847568512, -0.3477308750152588, -0.20228517055511475, 0.38024190068244934, 0.06916985660791397, -0.966346263885498, -0.4943529963493347, 0.2885538339614868]"
company,601099,"[0.3898105025291443, 0.5709144473075867, 0.5234786868095398, -0.155519038438797, 0.05161118507385254, -0.00288683851249516, 0.11532886326313019, -0.6732766032218933, -0.04659027233719826, 0.6211656332015991, 0.7213579416275024, 0.5083831548690796, 0.08460105955600739, -0.6306285262107849, -0.7797941565513611, 0.5856059193611145, -0.18167518079280853, -0.2120032161474228, 0.17456980049610138, -0.13463036715984344, 0.22929702699184418, -0.31312498450279236, 0.778538703918457, -0.06375157088041306, 0.3763186037540436, 0.14817123115062714, -0.19629548490047455, -0.09341695159673691, 0.07799121737480164, 0.33608195185661316, 0.4755001962184906, 0.21133919060230255, -1.5046457052230835, 0.010299161076545715, -0.3256867527961731, 0.041092388331890106, -0.4721793532371521, 0.7291657328605652, 0.06908943504095078, -0.12319424003362656, 0.582897424697876, 0.4520530700683594, -0.8977805376052856, -1.494898796081543, 0.6288143992424011, -0.09473899751901627, -0.012827286496758461, -0.13960786163806915, -0.5174609422683716, 0.035328783094882965, 0.5924095511436462, 0.4322991669178009, -0.12185981124639511, 0.5332357287406921, 0.3251541554927826, -0.5356468558311462, -0.09560954570770264, 0.4783567488193512, 0.0375441238284111, 0.40481263399124146, -0.32623735070228577, -0.566715657711029, 0.25587013363838196, 0.16141818463802338]"
company,603708,"[0.5005554556846619, -0.07980671525001526, -0.2848256826400757, 0.6409294605255127, 0.4694350063800812, -0.049735505133867264, 0.29564863443374634, 0.06394467502832413, -0.4347634017467499, 1.047245740890503, 0.3332745134830475, -0.24543003737926483, -0.4468488395214081, 0.07847543805837631, 0.3614816665649414, 0.4823411703109741, 0.27377787232398987, -0.3707040846347809, -0.7764715552330017, 0.2942575216293335, 0.5960939526557922, -0.3202044367790222, 0.2500237822532654, -0.03698205575346947, -0.06615444272756577, -0.5220815539360046, -1.0800601243972778, 0.0683748796582222, -0.39328673481941223, -0.03956322744488716, -0.3237670063972473, -0.16486242413520813, 0.03582200035452843, -0.2259390950202942, -0.3769761919975281, 0.2983035743236542, 0.12139961123466492, 0.21755973994731903, 0.5388157367706299, 0.9884228110313416, 0.20358794927597046, 0.1620805859565735, -0.11931129544973373, -1.0733869075775146, -0.40661877393722534, 0.69892817735672, 0.4470928907394409, 0.03831038624048233, 0.15164686739444733, 0.15745243430137634, 0.35024118423461914, 1.0649456977844238, 0.48796382546424866, -0.2134128212928772, 0.8043984770774841, -0.08380655944347382, 0.21410681307315826, 0.032687410712242126, 0.44405001401901245, 0.47863948345184326, 0.5887428522109985, -0.6871473789215088, 0.1312580108642578, 0.7671487331390381]"
company,600701,"[0.9490103721618652, 0.16063766181468964, -0.30606043338775635, -0.10582353919744492, 0.29196444153785706, -0.6666457653045654, -0.03927559405565262, 0.07338550686836243, -0.2912057936191559, -0.22444625198841095, -0.13781096041202545, 0.15050363540649414, 0.16296064853668213, 0.49615687131881714, -0.511964738368988, 0.5761483311653137, 0.5359350442886353, -0.13346503674983978, 0.36212942004203796, -0.04123065248131752, 0.30484285950660706, -0.532500684261322, 0.21707618236541748, -0.24693641066551208, -0.0690780058503151, -0.3039364218711853, 0.017568420618772507, -0.12386073917150497, -0.09283998608589172, 0.05988270044326782, 0.531204342842102, 0.23655183613300323, -1.0545095205307007, -0.3774433135986328, -0.32466423511505127, 0.08520393073558807, -0.17354296147823334, 0.20381991565227509, 0.7419853210449219, 0.8360531330108643, -0.4830121099948883, 0.117102712392807, -0.2994454801082611, -0.9273635745048523, 0.07218062877655029, -0.05409478768706322, -0.45932531356811523, -0.30740126967430115, -0.20110110938549042, 0.3773753046989441, -0.11875107139348984, 0.43678149580955505, -0.010077119804918766, 0.2799619138240814, 0.6405767798423767, 0.13667303323745728, -0.30293598771095276, 0.2369888424873352, 0.2278396189212799, 0.5964128971099854, 0.3450907766819, -0.3789406716823578, 0.35255056619644165, -0.2327975481748581]"
company,600683,"[-0.16678288578987122, -0.7711367607116699, -0.20143599808216095, 0.21175122261047363, -0.16581429541110992, -0.641467273235321, 0.027370033785700798, 0.5896079540252686, -1.0375511646270752, -0.1415548473596573, 0.9471110105514526, 0.11293929815292358, -0.4637632966041565, 0.22241106629371643, 0.4637400805950165, 0.441994845867157, 0.20190805196762085, -0.1441774070262909, 0.10688607394695282, 0.11604318022727966, 0.43758198618888855, -0.6447950005531311, 0.48327240347862244, -0.09748456627130508, 0.6515798568725586, -0.03744875267148018, 0.37898820638656616, 0.042474519461393356, -0.08365319669246674, -0.6945682764053345, -0.30065879225730896, -0.08375375717878342, -0.9750523567199707, -0.1148926392197609, -0.1762789636850357, 0.6600329279899597, 0.16175661981105804, 0.4516479969024658, 0.3933956027030945, 0.09349483996629715, 0.058535389602184296, 0.8091811537742615, 0.11777862161397934, -0.272599458694458, 0.9233078956604004, -0.2196582704782486, -0.29847410321235657, -0.0020865292754024267, 0.48826923966407776, 0.3994697630405426, -0.0531592033803463, -1.0451490879058838, 0.3046017289161682, 0.9306139349937439, 0.9748924374580383, -0.21081554889678955, -0.5447452664375305, -0.1753658503293991, -0.06069277226924896, 0.5945419073104858, 0.43567413091659546, -0.026956608518958092, 0.03678075969219208, -0.38395604491233826]"
company,688012,"[-0.20298700034618378, 0.1906421035528183, 0.06314396858215332, 0.4035411477088928, 0.06366678327322006, -0.4448528289794922, 0.5015935301780701, -0.2522769570350647, -0.7133526802062988, -0.05557543411850929, -0.10694750398397446, 0.43443170189857483, -0.5881789326667786, 0.38444653153419495, 1.0128990411758423, 0.7393547296524048, 0.4934147000312805, -0.6636970043182373, 0.6126126050949097, 0.4024137556552887, 0.1416746973991394, -0.49000072479248047, 0.08979318290948868, -0.5342003703117371, 0.5690569877624512, -0.3330691158771515, -0.4516266882419586, 0.412352979183197, 0.42950525879859924, -0.10120916366577148, -0.13506676256656647, 0.09352312237024307, -1.022513508796692, -0.576845109462738, 0.26294487714767456, 0.37791141867637634, 0.3722822070121765, 0.9531010389328003, 0.21256564557552338, 0.5323759913444519, 0.760684609413147, 0.16663698852062225, 0.7952166795730591, -0.8752279877662659, 0.5814681053161621, 0.16823242604732513, 0.22984468936920166, 0.18326112627983093, 0.3454832136631012, 0.3116244077682495, 0.23302936553955078, -0.3859098553657532, 0.4682692885398865, 0.20551490783691406, 0.6955824494361877, 0.4653507173061371, 0.015256542712450027, 0.17556358873844147, -0.14163802564144135, 0.39151471853256226, -0.1587044894695282, -0.6330785751342773, 0.13017401099205017, -0.30125680565834045]"
