label,name,embeddings
company,603297,"[0.08035135269165039, -0.1563369482755661, -0.00024051711079664528, 0.45552659034729004, -0.06982114166021347, -0.03809872269630432, 0.3840901851654053, 0.536055326461792, -0.28421542048454285, -0.12691283226013184, 0.5998531579971313, -0.1292303502559662, 0.6868301630020142, -0.10496768355369568, 0.16621077060699463, 0.20085181295871735, 0.0577920563519001, -0.15270958840847015, 0.08076626062393188, 0.19848395884037018, -0.17208123207092285, 0.14027191698551178, 0.43084511160850525, -0.11163266748189926, 0.19454029202461243, 0.1621524691581726, 0.1601685732603073, 0.07570955902338028, 0.11117371171712875, 0.20716562867164612, 0.4366706609725952, 0.07181042432785034, -0.43218010663986206, -0.43432357907295227, -0.2800581157207489, 0.7264792323112488, -0.1812366247177124, 0.14742055535316467, 0.4168930649757385, 0.4050551950931549, 0.5212112069129944, -0.263523131608963, 0.2673809826374054, -0.16021423041820526, -0.14652173221111298, -0.1799653023481369, 0.17506732046604156, -0.48781293630599976, -0.09444069862365723, 0.2794748544692993, 0.6098667979240417, 0.6336013674736023, 0.3637144863605499, 0.3265794813632965, 0.18490809202194214, -0.1226237416267395, 0.35090115666389465, -0.0663861483335495, 0.41891101002693176, -0.29943329095840454, 0.2104412317276001, 0.15808352828025818, 0.19160310924053192, 0.2824968099594116]"
company,2668,"[0.5974177718162537, -0.0587482713162899, -0.39407867193222046, -0.5285876393318176, -0.33204343914985657, -0.17939497530460358, -0.13971570134162903, -0.16527698934078217, -0.1156596690416336, -0.2433551698923111, 0.6820140480995178, -0.6360311508178711, -0.03533763810992241, 0.27352002263069153, 0.37274444103240967, 0.8820374011993408, -0.08151911944150925, -0.591777503490448, 0.26905694603919983, -0.0978291854262352, -0.4397592544555664, -0.5494592189788818, 0.3416307866573334, 0.4634171724319458, 0.5157256126403809, 0.11053920537233353, -0.2925891578197479, -0.06084912270307541, 0.0976451113820076, 0.2490476369857788, -0.44695377349853516, 0.5603403449058533, -0.3906291127204895, -0.73268061876297, -0.7324865460395813, 0.7893373370170593, -0.5302963256835938, 0.07294659316539764, 0.32582220435142517, -0.0016505940584465861, -0.15301506221294403, 0.2534939646720886, 0.859898030757904, -0.9246017336845398, 0.027382157742977142, 0.5657637715339661, -0.049970753490924835, -0.27280446887016296, 0.5957390666007996, 0.18674708902835846, 0.09938365966081619, 0.19067364931106567, -0.5548067092895508, 0.5332035422325134, 0.3241043984889984, -0.5027152299880981, -0.29601991176605225, -0.020225074142217636, -0.13206961750984192, 0.06729267537593842, 0.00015510336379520595, -0.35625582933425903, 0.7612879276275635, -0.19277504086494446]"
company,601811,"[0.597343921661377, 0.3273717164993286, -0.20965969562530518, 0.3245616555213928, -0.28975242376327515, 0.14477618038654327, 0.21085906028747559, -0.29537433385849, -0.42077237367630005, 0.4110199809074402, 0.21399465203285217, 0.035305023193359375, 0.4836793839931488, 0.011702878400683403, 0.2585757076740265, 0.6284359693527222, -0.18531696498394012, -0.5131615400314331, -0.19525477290153503, -0.0054106200113892555, 0.1104946956038475, -0.3774394094944, 0.4110621213912964, -0.03270169720053673, 0.4041652977466583, 0.1438262015581131, 0.5630320310592651, -0.5277879238128662, -0.35273897647857666, 0.11865019798278809, 0.0585176981985569, -0.09120345115661621, -0.8701412677764893, -0.16450239717960358, -0.605201780796051, 0.5363592505455017, -0.05088777840137482, 0.11302817612886429, -0.47894299030303955, 0.4404506981372833, 0.5640099048614502, 0.3582801818847656, -0.5325592160224915, -1.0194364786148071, -0.25836995244026184, -0.24882224202156067, -0.4392765164375305, 0.07259546965360641, 0.04838192090392113, -0.22860226035118103, 0.5747294425964355, 0.1275726556777954, -0.03482864424586296, 0.5929957032203674, 0.2837238609790802, -0.7618610262870789, 0.15817919373512268, 0.40991488099098206, -0.28371304273605347, 0.22578880190849304, 0.2493467926979065, 0.10490407049655914, 0.8994836807250977, 0.3928968906402588]"
company,601595,"[0.10633146017789841, -0.09539162367582321, -0.018242761492729187, 0.640755832195282, -0.04702078551054001, -0.14665646851062775, 0.4783003628253937, -0.37723252177238464, -0.12296950817108154, -0.46347326040267944, -0.1872904896736145, 0.3922812044620514, 0.23570287227630615, -0.0665038600564003, 0.3553648591041565, 0.8341382145881653, -0.7545080184936523, -0.43577325344085693, 0.23751579225063324, -0.08717739582061768, 0.2528853416442871, 0.020715933293104172, 0.432415634393692, -0.0613064244389534, 0.538652777671814, 0.009510724805295467, 0.24202115833759308, 0.17245182394981384, 0.2366308569908142, -0.04375748708844185, -0.2623009979724884, -0.03994911536574364, -0.29975953698158264, -0.517536461353302, -0.33513104915618896, 0.618800163269043, 0.16284771263599396, 0.16441062092781067, 0.14715299010276794, 0.275606632232666, 0.36287370324134827, -0.16994409263134003, 0.18371842801570892, -0.7127931714057922, 0.3352840840816498, 0.5013418197631836, 0.7641579508781433, -0.4201990067958832, 0.01946147531270981, 0.06153694912791252, 0.31185412406921387, 0.3241081237792969, 0.0007135334890335798, 0.1738400012254715, 0.22196616232395172, -0.15310446918010712, 0.3924970328807831, 0.145735502243042, -0.11772065609693527, 0.20336101949214935, -0.09994987398386002, -0.6585520505905151, 0.09820953756570816, 0.15173862874507904]"
company,600559,"[0.7824322581291199, -0.22494013607501984, -0.0032712584361433983, 0.02783910743892193, -0.3784782886505127, -0.6522933840751648, 0.2638651132583618, 0.28136637806892395, -0.7482039332389832, 0.4855753779411316, -0.2513737678527832, -0.7106508016586304, 0.020671330392360687, 0.47001534700393677, 0.4023129642009735, 0.7004737257957458, 0.038561347872018814, -0.30515432357788086, 0.19823622703552246, 0.505119800567627, 0.01933731697499752, 0.5699207186698914, 0.4649693965911865, -0.06194349005818367, 0.5140499472618103, 0.1805913895368576, 0.34661155939102173, -0.2007504403591156, 0.095701202750206, -0.09017747640609741, 0.17829185724258423, -0.21253973245620728, -0.5607403516769409, 0.11789873987436295, -0.7410786151885986, 0.10334038734436035, -0.2568049430847168, 0.27368462085723877, -0.1498035043478012, 0.5442997813224792, 0.09428580105304718, -0.007484589237719774, 0.042012397199869156, -0.7925809025764465, -0.4511520266532898, -0.1367589831352234, -0.16191865503787994, -0.8922688364982605, 0.007610981352627277, 0.3468814492225647, 0.2870502769947052, 0.2041866034269333, 0.023262063041329384, 1.2039341926574707, 0.3458714485168457, -0.09234032034873962, 0.135662242770195, -0.11576594412326813, -0.9639409780502319, 0.7336353659629822, -0.09334723651409149, -0.7012013792991638, -0.16925513744354248, 0.027423840016126633]"
company,601099,"[0.20823335647583008, 0.4022660553455353, 0.5008833408355713, 0.024811649695038795, -0.10154750943183899, -0.5764541029930115, 0.4337369203567505, 0.06277506053447723, 0.08309894800186157, 0.25752946734428406, 0.5269289016723633, -0.06861764937639236, 0.4032132923603058, -0.21143220365047455, -0.35585105419158936, 0.3863833248615265, -0.26350048184394836, 0.2589048445224762, 0.23610512912273407, -0.26085421442985535, -0.21132364869117737, 0.3502313196659088, 0.354358434677124, -0.4008440375328064, 0.3537982106208801, 0.04630659893155098, 0.0035484021063894033, 0.41077741980552673, 0.29591551423072815, 0.11594324558973312, -0.09382355958223343, 0.49174267053604126, -0.4767363369464874, -0.13492076098918915, -0.3951260447502136, 0.026875363662838936, 0.08854535222053528, 0.38956353068351746, 0.38589638471603394, -0.11382158100605011, 0.28182533383369446, 0.38880452513694763, -0.21401843428611755, -0.8817689418792725, 0.2463231086730957, 0.5673848986625671, -0.0888814702630043, -0.44235751032829285, -0.12787005305290222, 0.226620614528656, 0.4114924967288971, -0.06719156354665756, -0.39711692929267883, 0.6084389686584473, 0.4629240930080414, -0.5335969924926758, -0.16909043490886688, -0.12247367948293686, 0.03491070121526718, -0.1311851441860199, -0.09578002244234085, -0.456256240606308, 0.29861727356910706, -0.12982837855815887]"
company,603708,"[0.158943310379982, -0.19020235538482666, -0.30462706089019775, -0.21516387164592743, 0.04550781473517418, -0.5367347002029419, 0.5004841089248657, 0.005964471027255058, -0.529940664768219, 0.3388099670410156, 0.4596116542816162, -0.018925532698631287, 0.22349239885807037, -0.020315399393439293, 0.054862987250089645, 0.5354010462760925, 0.1408221423625946, -0.13395579159259796, -0.20862503349781036, 0.1903587281703949, 0.47540345788002014, 0.10695452243089676, -0.09789856523275375, 0.19739367067813873, 0.11417531222105026, -0.30754566192626953, 0.060708917677402496, -0.16959457099437714, -0.0037654503248631954, -0.07257639616727829, -0.21337564289569855, -0.05091935396194458, 0.09545940160751343, -0.06473177671432495, -0.43622681498527527, 0.30894094705581665, 0.29373887181282043, -0.16444160044193268, 0.2176213562488556, 0.42571744322776794, 0.48858195543289185, 0.005712192039936781, 0.39533403515815735, -0.7988923788070679, -0.07130332291126251, 0.7805507779121399, -0.02404876984655857, -0.35202255845069885, 0.47514602541923523, -0.1532081514596939, 0.4315146803855896, 0.42787429690361023, 0.023815281689167023, 0.2920205593109131, 0.6421256065368652, -0.004565193317830563, -0.018589183688163757, -0.08800283819437027, 0.24838677048683167, 0.10787336528301239, 0.2638644874095917, -0.23909980058670044, 0.011595803312957287, 0.40876272320747375]"
company,600701,"[1.0240557193756104, -0.26686903834342957, -0.28055450320243835, -0.3441075384616852, 0.4850073754787445, -0.5341179966926575, -0.33828169107437134, 0.45145297050476074, -0.4534238874912262, -0.26039156317710876, 0.22378391027450562, -0.01996772736310959, 0.45205822587013245, 0.1271580010652542, 0.1715981513261795, 0.5481899380683899, 0.26429376006126404, -0.14994008839130402, 0.08932895958423615, -0.3977726697921753, 0.4734753668308258, -0.24510051310062408, 0.32473379373550415, -0.6111377477645874, 0.18540982902050018, -0.6044811010360718, 0.24114641547203064, -0.350858211517334, -0.5351141095161438, 0.254664808511734, 0.10982303321361542, 0.05117271840572357, -0.8433939218521118, -0.4709857702255249, -0.5270200371742249, -0.06346627324819565, -0.4367033541202545, -0.029483307152986526, 0.47019654512405396, 0.6794849038124084, -0.5141738653182983, 0.09218420088291168, -0.09526977688074112, -1.279434323310852, 0.18777787685394287, 0.14110778272151947, -0.38921353220939636, -0.5999021530151367, -0.34523648023605347, 0.60456383228302, 0.06556008756160736, 0.9486587047576904, 0.03991755470633507, 0.6431722044944763, 0.6323951482772827, -0.21482588350772858, -0.12241528928279877, 0.3302569091320038, -0.24048468470573425, 0.6044922471046448, 0.43703779578208923, -0.44714322686195374, 0.22805844247341156, -0.33647921681404114]"
company,600683,"[0.27607569098472595, -0.5263479948043823, -0.1960429698228836, -0.13557596504688263, -0.34426799416542053, -0.17718598246574402, -0.13205882906913757, 0.12000647187232971, -0.7963048815727234, -0.04057180881500244, 0.6816204190254211, 0.05657348036766052, -0.17070189118385315, -0.14057068526744843, 0.24541912972927094, 0.3428015410900116, 0.2608129382133484, -0.014756863936781883, 0.4208943545818329, -0.34348729252815247, -0.05671831965446472, -0.2873251438140869, 0.5273240804672241, 0.5529839396476746, 0.44507846236228943, 0.1870294213294983, 0.5957971811294556, -0.2168257236480713, 0.15570154786109924, -0.4578726589679718, -0.4953622817993164, 0.0694781243801117, -0.44102850556373596, -0.30602046847343445, -0.2738369107246399, 0.7090045213699341, -0.156493678689003, -0.011652061715722084, 0.42066818475723267, -0.1907237023115158, 0.3126239478588104, 0.3060804009437561, 0.054315149784088135, -0.7749714851379395, 0.46810418367385864, 0.12588346004486084, -0.2297365367412567, -0.4429352283477783, 0.5485888719558716, 0.40362393856048584, 0.6044884324073792, -0.18642689287662506, -0.022623950615525246, 0.5418293476104736, 0.19417954981327057, -0.20044907927513123, -0.3914991319179535, -0.3142002820968628, -0.06068652868270874, 0.5509653091430664, 0.3724263906478882, 0.2728402614593506, 0.45532673597335815, 0.3209950625896454]"
company,688012,"[-0.01623920165002346, -0.061453673988580704, -0.039514582604169846, 0.5847198367118835, -0.019849272444844246, -0.19423538446426392, 0.46083182096481323, -0.40486884117126465, -0.1648191213607788, -0.4561263620853424, -0.0950799286365509, 0.38487356901168823, 0.21797117590904236, -0.04098577797412872, 0.3828059434890747, 0.8370689749717712, -0.8142873048782349, -0.4238196611404419, 0.3100103735923767, -0.0010127105051651597, 0.22422106564044952, -0.04992445930838585, 0.39204612374305725, -0.12121210992336273, 0.515681803226471, -0.09700093418359756, 0.18427421152591705, 0.14214399456977844, 0.2079084813594818, 0.018722008913755417, -0.20487673580646515, -0.0037097290623933077, -0.3749736547470093, -0.5731143951416016, -0.2676999270915985, 0.6756045818328857, 0.1367955356836319, 0.2326383739709854, 0.10138865560293198, 0.26640555262565613, 0.4577520191669464, -0.18249352276325226, 0.18064606189727783, -0.7434285283088684, 0.3281296193599701, 0.5160745978355408, 0.8078430891036987, -0.31665635108947754, 0.01669595204293728, 0.11939997225999832, 0.20477044582366943, 0.2725679874420166, -0.030592728406190872, 0.19736026227474213, 0.33696767687797546, -0.10784191638231277, 0.35077548027038574, 0.19700151681900024, -0.11151670664548874, 0.24986062943935394, -0.1199149489402771, -0.6935305595397949, 0.05566299706697464, 0.02797076478600502]"
